hero,para,rate,matches
outworld-devourer,4.44,55.86,51359
sniper,3.37,56.79,121415
gyrocopter,2.87,49.30,24114
sven,2.85,59.49,90380
anti-mage,2.53,51.83,99983
leshrac,2.39,50.22,12656
razor,2.37,50.16,35914
luna,2.30,59.47,58854
bristleback,2.22,53.16,44706
huskar,2.06,50.61,54459
riki,1.96,58.82,89165
phantom-assassin,1.82,56.74,182097
death-prophet,1.65,50.98,25451
phantom-lancer,1.49,49.63,37043
lina,1.48,48.42,38676
invoker,1.31,50.72,112036
crystal-maiden,1.31,59.28,46487
drow-ranger,1.27,55.42,93275
legion-commander,1.26,53.15,116837
queen-of-pain,1.26,46.09,34209
shadow-fiend,1.21,51.68,56634
enchantress,1.19,43.72,17232
zeus,1.13,58.53,53847
chaos-knight,1.11,54.30,31022
axe,1.10,56.52,87743
kunkka,1.10,52.01,59199
timbersaw,1.10,52.80,56296
viper,1.00,52.87,42079
windranger,0.98,49.01,58482
silencer,0.98,57.60,40841
tiny,0.95,48.87,41715
batrider,0.94,48.80,15497
spectre,0.93,58.91,50308
disruptor,0.92,54.89,22581
sand-king,0.76,53.30,48822
weaver,0.75,52.94,50570
bloodseeker,0.73,54.28,74546
natures-prophet,0.70,44.90,36131
dark-seer,0.69,53.22,16416
pugna,0.65,50.05,18813
troll-warlord,0.63,53.40,38998
tinker,0.55,51.23,61750
undying,0.53,54.32,20613
naga-siren,0.43,49.70,16286
medusa,0.40,55.37,43852
ursa,0.38,58.03,60128
lycan,0.35,49.88,16316
clockwerk,0.21,53.90,24337
jakiro,0.21,56.74,19468
skywrath-mage,0.12,50.14,23834
clinkz,0.12,49.08,46481
slardar,0.11,54.64,50223
arc-warden,0.08,46.88,13964
lifestealer,0.06,52.28,57907
juggernaut,0.05,53.45,120376
centaur-warrunner,0.05,58.68,32031
brewmaster,0.00,50.90,12280
doom,-0.06,46.75,17295
ember-spirit,-0.08,44.85,31310
alchemist,-0.13,52.15,59875
vengeful-spirit,-0.16,55.66,31362
terrorblade,-0.17,52.41,24057
dragon-knight,-0.17,52.73,31632
lich,-0.19,57.88,27059
slark,-0.20,54.17,125188
ogre-magi,-0.29,57.40,32930
rubick,-0.30,49.37,31016
witch-doctor,-0.33,53.18,32697
enigma,-0.39,55.15,22319
faceless-void,-0.46,50.70,64856
venomancer,-0.46,54.66,27596
bane,-0.47,48.96,21117
earthshaker,-0.51,53.10,41432
mirana,-0.53,55.06,88145
pudge,-0.61,55.86,145419
magnus,-0.63,49.78,29838
tusk,-0.63,45.10,19667
meepo,-0.66,50.65,21911
shadow-shaman,-0.72,55.71,30166
necrophos,-0.73,57.78,51726
morphling,-0.78,51.27,60915
spirit-breaker,-0.92,55.44,57798
ancient-apparition,-1.03,53.38,22553
underlord,-1.10,57.18,23417
nyx-assassin,-1.23,52.83,42294
warlock,-1.32,58.08,20838
lion,-1.37,50.54,47274
phoenix,-1.44,54.03,17412
dazzle,-1.56,54.29,25178
storm-spirit,-1.75,51.70,63828
templar-assassin,-1.77,47.76,31005
lone-druid,-1.80,42.45,9707
puck,-1.80,46.56,24494
winter-wyvern,-1.90,48.47,14610
omniknight,-2.15,62.04,41048
oracle,-2.31,44.98,13612
night-stalker,-2.31,52.16,28886
keeper-of-the-light,-2.32,52.35,18728
broodmother,-2.42,41.86,14158
elder-titan,-2.52,56.38,14913
wraith-king,-2.55,57.70,69998
beastmaster,-2.67,48.48,10253
abaddon,-2.72,57.63,28343
bounty-hunter,-3.36,47.81,57265
visage,-3.75,46.02,7377
tidehunter,-3.98,51.78,27464
shadow-demon,-5.06,46.80,13077
earth-spirit,-6.13,42.53,8493
techies,-7.30,45.70,17049
chen,-8.92,41.24,4311
io,-9.99,36.36,6771
