hero,para,rate,matches
phoenix,6.43,51.34,46847
arc-warden,6.35,59.77,28551
lifestealer,6.29,54.01,176895
huskar,5.97,56.67,213096
anti-mage,5.49,55.39,246369
lycan,5.00,56.03,43708
earth-spirit,4.47,60.30,23759
alchemist,3.82,52.79,153695
templar-assassin,3.72,56.46,80508
terrorblade,3.52,52.35,59950
visage,3.37,57.10,13922
io,3.34,64.61,21824
juggernaut,3.24,51.24,317706
sven,3.02,46.54,283485
faceless-void,2.89,53.64,166242
legion-commander,2.88,52.04,398812
clinkz,2.76,55.53,121655
ember-spirit,2.76,59.73,75258
medusa,2.68,49.18,98399
storm-spirit,2.61,51.76,132992
meepo,2.60,53.43,62529
silencer,2.52,47.15,95139
chen,2.42,59.13,13265
phantom-assassin,2.10,48.32,659440
ursa,2.08,46.15,228038
riki,2.05,46.26,316035
lone-druid,1.74,60.79,27615
naga-siren,1.71,54.49,36553
doom,1.61,57.16,44166
undying,1.60,49.82,50140
bloodseeker,1.57,49.95,271792
elder-titan,1.41,45.82,35224
oracle,1.31,57.73,33319
puck,1.20,56.30,61178
kunkka,1.17,52.23,149643
dark-seer,1.00,50.72,38237
tusk,0.88,58.14,62001
pugna,0.78,53.75,49174
bounty-hunter,0.77,54.00,176592
nyx-assassin,0.76,49.96,99212
morphling,0.75,51.78,132211
broodmother,0.74,60.52,36381
shadow-demon,0.74,54.16,38082
night-stalker,0.65,49.99,83288
queen-of-pain,0.63,57.86,81226
beastmaster,0.55,53.55,26691
magnus,0.50,53.24,71565
weaver,0.49,50.76,131965
death-prophet,0.48,53.17,61824
abaddon,0.48,43.96,75511
spirit-breaker,0.45,47.29,194470
drow-ranger,0.32,48.49,293581
rubick,0.26,53.68,88722
sniper,0.25,48.24,393991
underlord,0.22,45.30,57630
warlock,0.05,44.17,56423
treant-protector,-0.07,46.17,43363
ancient-apparition,-0.18,49.04,56125
clockwerk,-0.22,49.16,54407
tidehunter,-0.27,49.00,68907
techies,-0.29,53.61,64643
pudge,-0.47,46.61,443616
razor,-0.48,53.80,95255
zeus,-0.48,44.93,147026
dazzle,-0.50,47.66,79247
skywrath-mage,-0.52,52.71,67383
vengeful-spirit,-0.55,47.03,96524
shadow-fiend,-0.57,51.71,146659
outworld-devourer,-0.61,49.27,105627
leshrac,-0.78,53.59,28330
omniknight,-0.79,39.18,149882
chaos-knight,-0.80,48.96,90254
keeper-of-the-light,-0.83,49.06,56497
wraith-king,-0.85,43.41,201186
brewmaster,-0.87,51.72,26234
dragon-knight,-0.88,49.81,84492
bane,-0.92,53.38,57841
enchantress,-0.99,59.19,48118
luna,-1.12,44.38,149779
spectre,-1.13,44.13,107603
tinker,-1.14,51.52,144885
gyrocopter,-1.16,54.48,59154
natures-prophet,-1.21,57.71,98922
invoker,-1.22,52.35,267111
disruptor,-1.28,48.04,59357
viper,-1.37,50.02,131885
batrider,-1.43,53.93,34449
earthshaker,-1.48,48.95,138596
phantom-lancer,-1.66,53.26,109111
venomancer,-1.66,47.34,74935
necrophos,-1.72,44.04,141474
slardar,-2.47,47.28,135693
lina,-2.52,53.94,115052
winter-wyvern,-2.53,52.30,42064
shadow-shaman,-2.56,45.73,112491
enigma,-2.59,46.45,60746
jakiro,-2.60,45.21,57813
witch-doctor,-2.61,48.42,96457
tiny,-2.87,53.07,116487
timbersaw,-3.14,49.24,148088
slark,-3.15,47.24,322942
lich,-3.21,43.58,79052
mirana,-3.22,46.16,225328
lion,-3.39,50.07,156896
windranger,-3.40,52.66,164557
bristleback,-3.60,49.23,140146
sand-king,-4.29,48.02,129803
centaur-warrunner,-4.32,42.44,83445
ogre-magi,-5.01,43.18,113093
crystal-maiden,-6.75,41.49,161228
axe,-8.86,42.96,284270
