hero,para,rate,matches
broodmother,7.15,42.03,29706
io,4.19,38.33,18194
phantom-lancer,4.17,46.99,83226
gyrocopter,3.97,45.90,45631
enchantress,3.66,40.96,39643
chen,3.00,42.79,11173
tusk,2.90,42.86,51104
axe,2.81,53.60,223180
bristleback,2.66,49.49,111072
techies,2.60,46.69,53925
brewmaster,2.54,48.29,20955
chaos-knight,2.54,51.18,68683
bloodseeker,2.53,51.36,216225
wraith-king,2.46,56.85,149866
doom,2.40,44.06,36256
slardar,2.13,51.87,112034
night-stalker,2.09,50.63,65955
leshrac,2.09,46.20,24377
sand-king,2.08,50.12,110369
razor,2.06,46.14,74871
dragon-knight,1.96,49.97,65980
tiny,1.86,45.46,93624
crystal-maiden,1.79,55.77,138343
keeper-of-the-light,1.77,50.68,50233
abaddon,1.73,56.49,62171
viper,1.59,49.32,105093
lycan,1.56,46.63,34623
spirit-breaker,1.56,53.00,156007
lion,1.56,48.18,142055
jakiro,1.54,53.67,51456
windranger,1.50,45.43,134823
winter-wyvern,1.47,46.28,35932
earthshaker,1.44,50.29,122379
puck,1.42,44.26,54632
magnus,1.33,46.91,58119
shadow-shaman,1.19,52.96,102269
disruptor,1.18,51.20,53256
lina,1.17,44.45,99637
lich,1.15,54.87,68486
enigma,1.06,52.13,49454
huskar,0.99,46.25,160732
naga-siren,0.95,46.12,29121
omniknight,0.89,60.34,134245
tidehunter,0.88,50.57,57338
beastmaster,0.88,46.42,22619
ogre-magi,0.86,54.27,103135
queen-of-pain,0.83,42.12,69531
venomancer,0.83,51.55,63320
dazzle,0.74,51.75,71752
lone-druid,0.72,39.83,22133
natures-prophet,0.71,41.16,82358
treant-protector,0.63,53.40,38998
witch-doctor,0.57,49.84,84044
warlock,0.55,55.43,50117
vengeful-spirit,0.53,52.24,82434
batrider,0.47,44.77,29186
skywrath-mage,0.35,46.45,58650
weaver,0.27,48.88,105001
centaur-warrunner,0.27,55.07,67763
meepo,0.25,47.30,51254
slark,0.25,50.61,234904
legion-commander,0.12,48.75,286483
timbersaw,0.10,48.47,118816
pudge,0.06,52.46,380989
ancient-apparition,0.03,50.15,50262
kunkka,-0.07,47.60,121936
death-prophet,-0.08,46.31,52752
ember-spirit,-0.14,41.10,59894
medusa,-0.16,51.28,72355
bane,-0.17,45.32,51408
dark-seer,-0.17,48.97,31708
sven,-0.25,53.96,197438
necrophos,-0.45,54.22,124419
terrorblade,-0.45,48.48,44745
spectre,-0.49,54.36,72693
phoenix,-0.53,50.76,37970
elder-titan,-0.58,53.78,30218
zeus,-0.60,53.80,128107
sniper,-0.66,50.81,315313
undying,-0.76,49.85,41262
shadow-fiend,-0.95,46.81,121150
underlord,-0.97,53.55,48457
lifestealer,-0.98,47.97,122255
riki,-1.03,53.39,259911
phantom-assassin,-1.09,51.38,427559
templar-assassin,-1.15,44.32,65485
rubick,-1.29,45.14,86039
ursa,-1.30,53.36,161872
oracle,-1.31,41.74,28604
clinkz,-1.34,44.63,97726
bounty-hunter,-1.34,45.07,150957
invoker,-1.39,45.63,231791
earth-spirit,-1.42,40.98,19971
mirana,-1.45,50.83,189210
luna,-1.45,53.60,110693
pugna,-1.67,45.17,42899
nyx-assassin,-1.68,48.85,86003
clockwerk,-1.71,49.14,44836
silencer,-1.71,52.37,84297
tinker,-1.84,46.29,129107
alchemist,-2.04,47.42,119283
drow-ranger,-2.24,49.79,226734
storm-spirit,-2.29,47.70,117416
shadow-demon,-2.30,44.46,32548
outworld-devourer,-2.66,48.37,89757
visage,-2.81,42.80,11717
faceless-void,-2.98,45.73,126283
arc-warden,-3.35,41.63,23461
juggernaut,-3.35,47.96,222574
anti-mage,-3.41,45.16,173798
morphling,-4.26,45.83,94790
