hero,para,rate,matches
arc-warden,8.73,52.78,16424
oracle,4.01,51.32,20265
earth-spirit,3.94,52.06,14759
tinker,3.81,46.13,78733
io,3.63,57.08,12279
shadow-demon,3.44,47.67,24159
nyx-assassin,3.25,43.32,60718
keeper-of-the-light,3.02,43.11,34321
chen,2.96,51.59,7523
drow-ranger,2.91,41.93,140584
skywrath-mage,2.82,46.59,38375
pugna,2.73,46.90,28262
outworld-devourer,2.42,42.96,59856
ancient-apparition,2.25,42.45,34676
bounty-hunter,2.24,46.94,94522
clinkz,2.13,47.35,63471
brewmaster,2.12,45.44,15358
meepo,1.98,45.29,31654
broodmother,1.97,53.55,19569
kunkka,1.92,44.81,88329
lone-druid,1.90,53.17,15233
naga-siren,1.69,46.67,21183
alchemist,1.54,43.86,74964
leshrac,1.48,47.02,17095
invoker,1.45,45.98,143953
night-stalker,1.41,42.63,43903
silencer,1.37,39.02,56650
slark,1.30,41.71,159058
visage,1.30,48.18,7848
bane,1.18,46.74,33803
storm-spirit,1.16,43.30,75573
rubick,1.13,46.38,56058
lina,1.08,48.18,59387
medusa,1.05,40.75,52054
batrider,1.00,47.50,20705
pudge,0.92,39.66,225229
treant-protector,0.81,39.01,25709
ember-spirit,0.78,50.90,42675
death-prophet,0.76,45.58,33460
windranger,0.65,47.14,82418
gyrocopter,0.55,47.71,33348
warlock,0.53,36.94,32129
zeus,0.52,37.89,76126
clockwerk,0.33,41.79,33320
bloodseeker,0.33,41.70,117832
spirit-breaker,0.33,39.67,94826
shadow-fiend,0.31,44.47,77395
morphling,0.29,43.86,74378
witch-doctor,0.28,42.20,54637
sniper,0.26,40.64,176148
mirana,0.20,40.21,130883
faceless-void,0.18,44.54,89940
beastmaster,0.12,45.63,16266
puck,0.11,48.02,36236
phantom-assassin,0.11,39.82,251001
queen-of-pain,0.07,49.90,45729
enchantress,0.01,52.22,25715
abaddon,-0.03,36.36,41594
natures-prophet,-0.06,50.78,55068
earthshaker,-0.07,42.03,76486
doom,-0.08,48.56,26602
vengeful-spirit,-0.15,39.69,55189
magnus,-0.16,45.23,43137
razor,-0.28,46.25,49056
techies,-0.31,45.94,32222
terrorblade,-0.36,42.77,32339
lycan,-0.41,45.49,23790
tiny,-0.42,46.76,62505
lion,-0.47,43.95,87523
crystal-maiden,-0.48,36.89,84196
disruptor,-0.54,40.85,36472
winter-wyvern,-0.55,45.73,22655
slardar,-0.60,40.64,74139
phoenix,-0.60,40.41,26841
underlord,-0.70,37.48,34272
luna,-0.82,37.14,76905
tidehunter,-0.82,41.18,42057
dazzle,-0.89,39.97,44850
venomancer,-0.89,40.20,43373
undying,-0.99,41.01,30940
dark-seer,-1.02,42.14,22644
ogre-magi,-1.05,37.59,65402
necrophos,-1.14,36.95,78399
troll-warlord,-1.19,41.86,62001
jakiro,-1.22,38.43,32530
timbersaw,-1.35,42.61,81230
templar-assassin,-1.37,46.11,42288
weaver,-1.38,42.28,68893
legion-commander,-1.40,42.33,172907
juggernaut,-1.43,41.41,157224
huskar,-1.49,45.11,83797
lifestealer,-1.50,42.51,82442
anti-mage,-1.60,44.12,123924
lich,-1.60,36.98,42898
elder-titan,-1.62,37.11,22045
viper,-1.69,42.34,61501
bristleback,-1.80,42.63,67096
centaur-warrunner,-1.82,36.27,46653
omniknight,-2.08,31.74,77392
ursa,-2.22,36.91,88455
sand-king,-2.34,41.53,76489
axe,-2.46,38.62,132818
spectre,-2.70,36.21,60664
shadow-shaman,-2.78,38.30,55494
enigma,-3.01,38.91,34739
dragon-knight,-3.26,41.22,44086
riki,-3.34,36.60,139699
sven,-3.38,36.45,121278
wraith-king,-3.61,35.09,96736
phantom-lancer,-3.65,44.78,51892
chaos-knight,-3.93,40.09,43427
