hero,para,rate,matches
chen,4.26,35.78,6040
anti-mage,3.98,40.79,107913
luna,3.91,48.54,64185
broodmother,3.17,33.19,15575
medusa,3.14,45.08,45859
jakiro,3.07,46.56,25387
spectre,2.93,48.33,52773
troll-warlord,2.90,42.86,51104
alchemist,2.87,41.99,64808
terrorblade,2.82,42.26,27411
doom,2.79,36.69,20579
lycan,2.64,39.43,19029
juggernaut,2.61,43.10,131041
meepo,2.60,40.67,27328
phantom-lancer,2.48,38.60,44280
sven,2.37,47.51,98203
elder-titan,2.37,47.51,15934
ursa,2.28,47.44,73610
necrophos,2.15,47.79,63326
chaos-knight,2.12,43.18,35478
death-prophet,2.07,39.64,27749
tidehunter,2.06,43.36,29208
abaddon,1.92,48.78,31540
wraith-king,1.74,48.65,78177
dark-seer,1.52,42.07,16870
razor,1.49,38.31,41204
leshrac,1.46,38.35,13699
naga-siren,1.43,38.76,17545
phantom-assassin,1.42,44.90,208835
bristleback,1.41,41.19,49982
undying,1.39,43.18,23518
timbersaw,1.36,41.39,60788
sniper,1.31,44.06,140528
warlock,1.31,48.07,25157
shadow-fiend,1.25,40.21,66554
zeus,1.16,46.98,62493
disruptor,1.15,43.44,27610
gyrocopter,1.07,37.15,27422
enchantress,1.01,32.77,20669
enigma,1.01,44.36,26136
silencer,0.95,46.03,46313
brewmaster,0.93,39.92,11989
shadow-shaman,0.91,45.07,43064
lone-druid,0.89,32.76,12242
morphling,0.84,40.64,64931
weaver,0.79,41.47,56635
dazzle,0.78,44.05,35062
lich,0.76,46.92,32825
underlord,0.75,46.74,25536
omniknight,0.75,52.63,59886
viper,0.70,41.24,50939
witch-doctor,0.68,42.22,41923
keeper-of-the-light,0.58,42.41,26499
dragon-knight,0.54,41.63,34999
natures-prophet,0.44,33.83,42217
huskar,0.41,38.46,67609
outworld-devourer,0.36,42.21,53042
crystal-maiden,0.33,47.26,64270
lifestealer,0.32,40.99,67986
riki,0.29,46.40,111282
tiny,0.19,37.28,51132
ancient-apparition,0.03,42.51,27053
legion-commander,-0.02,41.08,137710
slark,-0.12,42.79,136194
ember-spirit,-0.21,33.88,36589
centaur-warrunner,-0.23,47.14,41066
storm-spirit,-0.23,41.12,66858
axe,-0.28,44.34,97139
vengeful-spirit,-0.36,44.14,42474
io,-0.53,29.81,9293
windranger,-0.54,37.12,66420
night-stalker,-0.61,41.71,33530
sand-king,-0.62,41.23,55157
treant-protector,-0.63,45.10,19667
invoker,-0.65,38.51,122726
phoenix,-0.69,43.07,20563
skywrath-mage,-0.70,38.50,30138
tinker,-0.95,39.23,68786
venomancer,-1.16,42.96,33887
bloodseeker,-1.17,41.96,90803
drow-ranger,-1.19,42.76,106415
magnus,-1.19,38.32,32131
pugna,-1.21,37.98,22776
mirana,-1.27,43.35,101465
earthshaker,-1.28,41.42,56751
queen-of-pain,-1.30,34.08,37970
ogre-magi,-1.41,45.48,47713
lion,-1.52,39.28,66765
clinkz,-1.53,37.20,52339
templar-assassin,-1.60,36.80,36762
beastmaster,-1.68,37.88,12330
faceless-void,-1.71,38.91,66775
puck,-1.73,35.65,29746
slardar,-1.80,42.36,57531
lina,-1.86,35.87,48385
oracle,-2.03,34.30,15879
winter-wyvern,-2.33,37.25,18442
rubick,-2.56,37.27,45364
shadow-demon,-3.09,36.86,17999
pudge,-3.16,43.34,179667
spirit-breaker,-3.26,43.06,68541
clockwerk,-3.30,40.96,24659
techies,-3.70,36.63,25725
batrider,-3.86,35.71,16007
bane,-3.98,36.42,25997
kunkka,-3.98,38.48,64133
arc-warden,-4.28,34.21,13677
nyx-assassin,-4.75,40.06,46361
visage,-4.80,34.89,6168
bounty-hunter,-5.48,36.11,72549
earth-spirit,-6.28,32.18,10870
