hero,para,rate,matches
spirit-breaker,4.82,54.40,111943
riki,4.41,52.34,164703
wraith-king,3.95,50.49,110967
sand-king,3.91,57.12,108566
luna,3.69,51.52,97683
slardar,3.40,55.10,98210
axe,3.30,53.66,180594
beastmaster,3.29,59.91,18713
tidehunter,3.25,55.70,61075
omniknight,3.14,45.56,98230
morphling,3.11,57.93,102118
weaver,3.03,56.99,75477
dragon-knight,3.01,56.71,48697
centaur-warrunner,2.99,50.62,60009
spectre,2.80,50.82,77844
shadow-demon,2.74,60.11,33839
templar-assassin,2.69,60.75,44865
ogre-magi,2.51,51.52,82566
razor,2.36,60.19,58206
phantom-assassin,2.10,53.23,272415
puck,2.06,61.57,40499
chaos-knight,1.88,55.18,47225
abaddon,1.88,49.44,49596
mirana,1.50,53.29,165096
phantom-lancer,1.41,59.72,53540
tiny,1.34,60.16,69872
lion,1.31,57.34,108876
terrorblade,1.29,56.07,36127
nyx-assassin,1.26,55.07,93483
medusa,1.22,53.36,63780
night-stalker,1.21,55.13,48744
elder-titan,0.89,50.43,34274
vengeful-spirit,0.87,52.57,64821
sven,0.85,50.40,143963
legion-commander,0.73,55.78,205242
disruptor,0.53,53.76,51951
silencer,0.51,51.06,81490
winter-wyvern,0.50,58.69,29437
queen-of-pain,0.44,62.40,54004
tusk,0.43,62.52,34272
slark,0.42,53.81,201878
naga-siren,0.38,58.54,25054
lone-druid,0.19,64.41,15762
windranger,0.17,59.34,94680
treant-protector,-0.01,51.01,32209
storm-spirit,-0.04,55.22,117168
venomancer,-0.12,52.89,55526
troll-warlord,-0.18,54.70,57630
undying,-0.19,53.74,40810
clockwerk,-0.20,53.97,46566
warlock,-0.23,48.82,41368
kunkka,-0.28,56.25,116184
shadow-fiend,-0.28,56.62,90886
brewmaster,-0.30,56.78,18117
earthshaker,-0.35,54.30,92284
shadow-shaman,-0.44,51.52,61700
lycan,-0.50,57.82,25309
zeus,-0.61,49.64,96721
invoker,-0.63,57.39,183175
faceless-void,-0.64,56.54,124835
chen,-0.69,61.92,8407
doom,-0.69,60.51,32429
meepo,-0.79,56.41,34855
visage,-0.79,59.46,11787
lifestealer,-0.81,55.16,98899
bloodseeker,-0.81,53.55,131728
bane,-0.89,58.09,40600
dazzle,-0.90,52.24,54183
necrophos,-0.92,49.15,103941
crystal-maiden,-0.98,48.80,91666
oracle,-0.99,61.02,29982
earth-spirit,-1.15,61.62,18823
batrider,-1.31,58.65,30762
jakiro,-1.35,50.54,41223
bounty-hunter,-1.41,57.51,115620
outworld-devourer,-1.44,53.60,95155
broodmother,-1.48,63.64,21565
drow-ranger,-1.49,52.36,154305
clinkz,-1.60,57.83,67199
dark-seer,-1.62,54.13,31064
natures-prophet,-1.65,61.97,60355
keeper-of-the-light,-1.65,53.38,42739
lina,-1.65,59.05,73247
skywrath-mage,-1.81,56.70,48105
io,-1.86,65.67,13277
gyrocopter,-1.89,58.70,34659
bristleback,-2.00,54.74,73629
magnus,-2.01,56.57,55845
ember-spirit,-2.13,61.39,48311
pugna,-2.25,56.78,36176
phoenix,-2.26,51.85,34631
juggernaut,-2.34,53.17,204224
enigma,-2.35,51.26,42131
anti-mage,-2.40,55.91,149466
death-prophet,-2.42,56.28,39838
ursa,-2.44,48.79,100369
tinker,-2.47,55.48,98317
pudge,-2.53,50.34,292383
lich,-2.54,48.56,50614
alchemist,-2.71,54.14,92330
leshrac,-2.72,57.15,20280
arc-warden,-2.81,59.16,21720
ancient-apparition,-2.81,52.42,48725
viper,-3.00,53.85,65490
witch-doctor,-3.07,52.84,67881
rubick,-3.23,56.41,72142
techies,-3.47,56.47,31783
enchantress,-3.52,62.05,27993
huskar,-4.77,55.45,87637
timbersaw,-5.66,52.49,116486
sniper,-7.16,49.14,185709
