hero,para,rate,matches
outworld-devourer,5.02,57.23,86982
storm-spirit,3.85,55.69,108813
nyx-assassin,3.12,56.19,60750
juggernaut,2.90,56.01,183622
pudge,2.80,58.80,221272
huskar,2.59,51.91,71209
bounty-hunter,2.45,51.73,94227
kunkka,2.33,53.67,87623
pugna,2.27,51.89,30598
lina,2.22,49.81,60614
rubick,2.06,51.57,59469
silencer,1.86,59.11,67492
bloodseeker,1.81,55.89,107719
shadow-demon,1.78,51.21,28233
anti-mage,1.72,52.46,143917
skywrath-mage,1.65,51.94,38792
lion,1.48,53.03,86785
witch-doctor,1.40,55.12,53271
sniper,1.40,56.72,173538
mirana,1.27,57.07,132079
spirit-breaker,1.16,57.62,77099
disruptor,1.11,56.01,41870
venomancer,1.10,56.53,44232
slark,1.07,55.88,178757
clinkz,1.00,50.54,56894
ember-spirit,0.95,46.33,43608
riki,0.95,59.24,137415
lifestealer,0.87,53.73,78644
luna,0.86,59.62,87181
chaos-knight,0.78,55.14,37962
tusk,0.75,46.74,25536
viper,0.65,53.70,54560
queen-of-pain,0.63,46.82,46663
night-stalker,0.53,54.69,35300
puck,0.42,48.63,34912
legion-commander,0.42,53.72,164556
sven,0.33,59.02,117909
leshrac,0.28,50.20,16866
ogre-magi,0.26,58.70,60050
ancient-apparition,0.19,55.04,39456
morphling,0.17,52.78,92799
doom,0.10,47.84,23948
zeus,0.09,58.91,80312
naga-siren,0.06,50.53,20983
terrorblade,0.05,53.54,31644
shadow-fiend,-0.01,52.07,82044
death-prophet,-0.03,51.15,33744
earth-spirit,-0.04,46.29,14400
dragon-knight,-0.10,53.77,39252
bane,-0.11,50.15,31566
spectre,-0.13,59.27,70750
alchemist,-0.14,53.15,80068
vengeful-spirit,-0.20,56.64,50215
ursa,-0.28,58.63,79255
invoker,-0.28,50.94,157158
necrophos,-0.28,59.02,78556
tiny,-0.28,49.29,53528
shadow-shaman,-0.33,56.92,48282
gyrocopter,-0.42,48.74,29395
oracle,-0.45,46.84,24501
templar-assassin,-0.48,49.40,40576
beastmaster,-0.60,50.52,13598
faceless-void,-0.66,51.61,82429
earthshaker,-0.68,54.01,65274
razor,-0.68,49.67,47080
sand-king,-0.82,53.47,68788
lycan,-0.83,50.30,21773
wraith-king,-0.91,59.64,90727
weaver,-0.92,53.07,61523
troll-warlord,-0.97,53.55,48457
omniknight,-1.06,63.66,72101
treant-protector,-1.10,57.18,23417
drow-ranger,-1.11,55.11,129559
slardar,-1.23,54.90,58781
undying,-1.23,54.36,29528
phantom-lancer,-1.24,49.30,47260
crystal-maiden,-1.47,58.62,71870
batrider,-1.50,48.62,20293
centaur-warrunner,-1.53,58.72,37219
arc-warden,-1.65,47.06,19033
windranger,-1.71,48.70,75568
tinker,-1.71,51.08,89186
clockwerk,-1.79,53.82,28538
phantom-assassin,-1.93,55.63,237404
warlock,-1.98,58.65,32666
medusa,-2.04,55.00,58135
dazzle,-2.08,54.98,42316
axe,-2.09,55.72,120271
enigma,-2.14,55.16,33151
brewmaster,-2.15,50.80,13647
jakiro,-2.30,56.29,32534
phoenix,-2.38,54.49,24504
natures-prophet,-2.47,44.47,47890
elder-titan,-2.57,57.31,23790
keeper-of-the-light,-2.68,53.14,35317
meepo,-2.69,50.60,30006
enchantress,-2.71,43.00,22474
lich,-2.89,57.27,40123
winter-wyvern,-2.92,48.95,24048
lone-druid,-3.00,42.90,12428
magnus,-3.25,49.45,36543
abaddon,-3.48,58.13,35713
timbersaw,-3.51,51.37,66872
bristleback,-4.10,50.84,48334
broodmother,-4.15,42.08,16218
chen,-4.81,44.06,6786
visage,-5.22,46.28,9706
tidehunter,-5.82,51.73,32901
techies,-6.06,47.26,23920
dark-seer,-6.76,50.22,18942
io,-7.20,38.40,10561
