hero,para,rate,matches
spectre,10.24,50.27,67468
omniknight,8.15,43.71,87584
wraith-king,5.59,47.24,98024
centaur-warrunner,5.44,47.77,53674
abaddon,4.73,46.81,44216
pudge,4.68,50.03,237812
clockwerk,4.39,52.44,37482
tidehunter,3.53,51.87,52790
ogre-magi,3.47,48.03,74068
winter-wyvern,2.87,56.18,25639
shadow-demon,2.86,56.29,27395
lion,2.81,54.27,92883
crystal-maiden,2.77,46.71,83147
dragon-knight,2.57,52.54,44864
treant-protector,2.44,48.32,28619
dazzle,2.34,50.01,50502
bristleback,2.29,53.22,71467
necrophos,2.25,46.80,85423
axe,2.20,49.16,151199
puck,2.19,57.83,33204
earth-spirit,2.14,59.91,14967
sand-king,2.02,52.17,84366
tiny,1.98,56.70,60332
spirit-breaker,1.92,48.97,93799
chaos-knight,1.82,51.24,42617
oracle,1.67,58.90,24721
bane,1.53,55.67,36408
sven,1.46,46.81,119166
ursa,1.36,46.79,84108
slardar,1.35,50.11,79697
outworld-devourer,1.29,51.19,69835
visage,1.29,56.92,10454
storm-spirit,1.25,52.06,85354
vengeful-spirit,1.22,48.85,56965
batrider,1.22,56.35,24131
beastmaster,1.21,54.87,16135
jakiro,1.19,47.95,36162
nyx-assassin,1.18,51.15,66667
morphling,1.07,52.92,76999
slark,1.02,50.25,161673
razor,0.89,55.51,49175
magnus,0.83,54.39,47985
phantom-assassin,0.82,48.69,224792
death-prophet,0.81,54.32,35088
warlock,0.78,45.45,38021
rubick,0.71,54.89,60520
tusk,0.70,58.99,30940
disruptor,0.66,49.96,42504
venomancer,0.64,49.42,45725
lifestealer,0.62,52.10,83724
earthshaker,0.62,50.97,81736
templar-assassin,0.57,55.71,38581
skywrath-mage,0.54,54.24,38966
zeus,0.54,46.35,77897
doom,0.52,57.51,26926
io,0.52,63.76,11428
lich,0.49,46.21,45546
brewmaster,0.47,53.38,16670
lone-druid,0.29,60.86,13560
chen,0.26,58.83,7066
underlord,0.22,46.26,40810
arc-warden,0.07,57.19,18508
invoker,0.04,53.98,145440
night-stalker,-0.05,50.61,42336
leshrac,-0.10,54.92,18789
viper,-0.27,51.55,57611
huskar,-0.43,54.21,73980
mirana,-0.43,48.45,131940
kunkka,-0.44,52.36,92127
witch-doctor,-0.47,50.44,60088
juggernaut,-0.69,50.26,159432
phoenix,-0.87,48.77,29339
keeper-of-the-light,-0.94,49.96,35260
tinker,-1.10,52.49,77725
naga-siren,-1.14,53.92,22688
enchantress,-1.21,59.97,25401
elder-titan,-1.25,45.56,27326
meepo,-1.37,52.32,29421
queen-of-pain,-1.37,57.65,45199
enigma,-1.37,47.98,36868
legion-commander,-1.39,50.83,166273
troll-warlord,-1.54,50.18,50140
broodmother,-1.55,60.05,19440
windranger,-1.56,54.61,79592
terrorblade,-1.71,50.65,31614
alchemist,-1.82,50.88,76083
lina,-1.98,55.18,59054
bounty-hunter,-2.00,53.46,92234
dark-seer,-2.13,50.09,27208
lycan,-2.21,53.12,23171
faceless-void,-2.25,51.90,94266
shadow-fiend,-2.29,51.76,71486
phantom-lancer,-2.46,53.76,47980
shadow-shaman,-2.52,46.69,55138
ancient-apparition,-2.71,48.74,42090
natures-prophet,-2.79,57.70,52772
bloodseeker,-2.98,48.65,105835
timbersaw,-2.98,50.27,89217
techies,-3.02,53.07,26917
riki,-3.37,44.73,128077
silencer,-3.38,45.37,66332
luna,-3.47,44.25,78223
pugna,-3.52,52.38,31657
gyrocopter,-3.55,54.09,33024
drow-ranger,-3.77,47.44,124487
weaver,-4.16,49.34,65911
clinkz,-4.48,52.53,58767
ember-spirit,-4.71,56.29,40703
medusa,-4.75,46.55,55676
anti-mage,-5.35,50.62,118432
sniper,-6.70,45.79,153322
