hero,para,rate,matches
pugna,4.46,48.99,26760
oracle,3.85,44.91,18652
winter-wyvern,3.56,48.24,19923
jakiro,3.24,55.56,29877
outworld-devourer,3.10,52.23,65049
dragon-knight,2.62,51.29,35039
witch-doctor,2.50,51.78,48002
dazzle,2.45,53.62,38571
sniper,2.33,53.33,141974
viper,1.91,50.46,51033
disruptor,1.90,52.55,33257
death-prophet,1.84,48.19,30907
drow-ranger,1.77,52.82,110107
shadow-shaman,1.77,54.25,44248
silencer,1.74,55.19,53064
spirit-breaker,1.73,54.07,64787
clinkz,1.70,46.98,51168
terrorblade,1.67,50.50,27647
kunkka,1.51,49.34,68517
vengeful-spirit,1.41,53.68,43713
storm-spirit,1.41,50.49,79807
tusk,1.39,43.18,23518
luna,1.28,56.05,70035
lina,1.22,45.44,48548
riki,1.20,55.56,101593
sven,1.13,55.68,97812
nyx-assassin,1.11,51.21,49062
juggernaut,1.11,51.16,141209
gyrocopter,1.09,45.60,27809
invoker,1.04,47.73,127827
batrider,1.00,45.98,18215
rubick,0.99,47.15,44972
sand-king,0.97,50.55,62846
chaos-knight,0.93,51.35,34774
brewmaster,0.89,48.49,12803
medusa,0.86,52.78,51640
lion,0.84,48.82,70873
leshrac,0.78,46.58,15490
faceless-void,0.78,48.47,72777
wraith-king,0.72,56.85,79373
ogre-magi,0.70,55.16,50654
warlock,0.64,56.44,30595
night-stalker,0.58,50.86,30903
venomancer,0.57,52.39,39194
slardar,0.57,52.05,56299
treant-protector,0.53,54.32,20613
mirana,0.47,52.79,105634
zeus,0.45,55.33,66101
enchantress,0.39,40.60,20178
tiny,0.31,45.73,46585
crystal-maiden,0.28,55.90,64668
puck,0.27,44.72,30003
huskar,0.24,46.87,59086
arc-warden,0.21,44.12,15592
windranger,0.17,45.79,66980
weaver,0.16,49.80,57760
beastmaster,0.14,47.05,11242
slark,0.10,51.51,145787
alchemist,0.04,49.40,65710
spectre,0.04,55.61,58875
enigma,0.02,52.56,28318
phantom-assassin,-0.08,52.86,197312
anti-mage,-0.09,47.68,111513
shadow-fiend,-0.10,48.18,65192
naga-siren,-0.16,46.58,19690
magnus,-0.17,47.18,33597
ursa,-0.20,54.92,66212
templar-assassin,-0.22,45.69,35168
earthshaker,-0.24,50.42,55075
lich,-0.33,55.02,34594
queen-of-pain,-0.36,42.57,39936
lycan,-0.39,46.69,18402
natures-prophet,-0.52,41.59,40779
lifestealer,-0.53,49.16,65958
phantom-lancer,-0.55,45.82,42136
necrophos,-0.58,55.10,71707
ember-spirit,-0.61,41.84,36604
legion-commander,-0.66,49.32,130686
keeper-of-the-light,-0.67,50.43,28216
visage,-0.69,44.69,8175
ancient-apparition,-0.75,50.72,31377
tinker,-0.75,47.76,71869
troll-warlord,-0.76,49.85,41262
morphling,-0.76,48.47,71348
bloodseeker,-0.81,50.65,82746
chen,-0.83,42.13,5499
broodmother,-0.85,39.81,15397
clockwerk,-0.86,50.52,25642
skywrath-mage,-0.88,46.83,30522
meepo,-0.90,47.72,23956
centaur-warrunner,-0.93,55.36,33924
underlord,-1.23,54.36,29528
phoenix,-1.23,51.36,20552
bounty-hunter,-1.32,46.03,69297
razor,-1.34,45.55,41474
axe,-1.49,52.31,97690
abaddon,-1.75,55.49,31838
pudge,-1.77,52.45,161008
earth-spirit,-1.86,41.72,10388
bane,-1.87,45.49,27523
omniknight,-2.00,59.52,58688
timbersaw,-2.06,48.38,58124
shadow-demon,-2.13,45.48,20046
elder-titan,-2.17,53.85,19369
dark-seer,-2.22,48.91,17776
doom,-2.62,42.82,19696
tidehunter,-2.62,49.76,32112
io,-2.87,36.61,8300
lone-druid,-3.57,39.03,10808
bristleback,-3.66,47.37,45234
techies,-7.15,43.15,19045
