hero,para,rate,matches
lifestealer,4.25,57.96,286837
pudge,4.14,53.78,736157
phoenix,3.73,55.02,73973
juggernaut,3.54,56.36,533459
huskar,3.23,60.10,327339
tidehunter,3.10,55.61,119996
io,3.08,68.97,33849
timbersaw,2.99,57.29,266201
meepo,2.95,58.53,93901
morphling,2.77,57.73,220656
treant-protector,2.63,52.35,70330
zeus,2.62,51.25,232511
legion-commander,2.59,56.80,610463
chen,2.46,63.88,20428
underlord,2.44,51.21,100369
earth-spirit,2.34,63.78,39126
alchemist,2.17,56.85,267201
medusa,2.11,53.82,149369
clinkz,2.05,59.97,186584
ember-spirit,1.85,63.88,114423
shadow-fiend,1.81,57.80,219310
spectre,1.66,50.25,167867
pugna,1.64,59.03,82996
necrophos,1.54,50.36,235834
clockwerk,1.54,54.90,90178
bounty-hunter,1.49,59.19,277812
arc-warden,1.48,61.77,47769
puck,1.47,61.20,94283
anti-mage,1.40,58.07,371446
tusk,1.35,63.09,88455
warlock,1.34,49.58,93700
rubick,1.26,59.02,149446
abaddon,0.99,49.00,122237
silencer,0.97,51.28,158440
keeper-of-the-light,0.86,54.73,95330
kunkka,0.86,56.88,243954
ancient-apparition,0.84,54.38,99459
nyx-assassin,0.78,54.80,165028
disruptor,0.76,53.87,103955
queen-of-pain,0.67,62.54,125549
enchantress,0.65,64.73,74971
elder-titan,0.52,50.23,61161
visage,0.48,60.22,24286
doom,0.44,61.19,68945
luna,0.32,49.83,229280
omniknight,0.30,44.30,253651
bloodseeker,0.28,54.13,431367
phantom-assassin,0.24,52.26,919344
lone-druid,0.21,64.41,41092
spirit-breaker,0.14,51.96,305541
lycan,0.12,58.17,65675
terrorblade,0.10,55.41,91048
dazzle,0.07,52.74,134069
sven,0.06,50.00,433650
tinker,0.03,56.89,237777
faceless-void,-0.02,56.89,274015
axe,-0.08,51.90,488272
storm-spirit,-0.11,55.17,229209
oracle,-0.15,61.53,63526
bane,-0.16,58.51,99136
skywrath-mage,-0.17,57.63,108004
magnus,-0.23,57.59,118338
death-prophet,-0.24,57.53,99469
dark-seer,-0.36,54.81,64418
razor,-0.41,58.55,153910
leshrac,-0.42,58.49,44971
winter-wyvern,-0.55,58.07,73928
witch-doctor,-0.58,54.19,157229
techies,-0.65,58.12,103854
sniper,-0.84,52.48,583580
natures-prophet,-0.86,62.47,156630
earthshaker,-0.92,53.98,214578
vengeful-spirit,-0.94,51.61,152609
brewmaster,-1.06,56.33,42051
drow-ranger,-1.09,52.56,446092
gyrocopter,-1.11,59.16,86460
mirana,-1.15,51.89,364668
undying,-1.16,53.21,84108
invoker,-1.17,57.07,444674
templar-assassin,-1.19,58.45,119390
dragon-knight,-1.19,54.39,130219
night-stalker,-1.21,53.81,126222
viper,-1.22,54.83,209301
centaur-warrunner,-1.31,48.50,135354
riki,-1.40,49.42,492228
beastmaster,-1.55,57.10,41879
lina,-1.57,59.09,181712
broodmother,-1.62,63.54,55810
troll-warlord,-1.72,53.85,228038
lich,-1.80,48.92,129698
enigma,-1.85,51.52,101637
jakiro,-1.85,50.27,94333
slark,-2.01,52.50,520573
tiny,-2.02,58.15,176580
batrider,-2.03,58.21,59970
wraith-king,-2.09,47.55,311379
naga-siren,-2.40,56.91,56481
crystal-maiden,-2.50,48.05,253054
weaver,-2.62,53.85,205365
lion,-2.64,55.10,266654
shadow-shaman,-2.65,50.36,173841
outworld-devourer,-2.67,52.92,188232
shadow-demon,-2.81,56.85,72795
sand-king,-2.96,53.33,218270
ogre-magi,-2.99,48.75,188115
bristleback,-3.24,54.04,222872
venomancer,-3.28,51.21,123450
windranger,-3.37,57.24,258359
slardar,-4.18,51.05,219450
chaos-knight,-4.63,51.65,139456
phantom-lancer,-5.04,55.92,169544
