hero,para,rate,matches
io,5.97,43.84,37896
natures-prophet,4.13,47.46,126705
gyrocopter,3.42,50.61,67693
tiny,2.88,50.84,138825
keeper-of-the-light,2.68,56.06,86606
enchantress,2.53,45.31,58478
crystal-maiden,2.52,60.99,265982
windranger,2.48,50.77,215393
naga-siren,2.44,51.72,45190
shadow-shaman,2.33,58.43,252144
lone-druid,2.32,45.25,32736
tusk,2.28,47.44,73610
winter-wyvern,2.02,51.43,57345
chen,2.02,47.21,16544
leshrac,2.00,51.05,38708
tidehunter,1.95,55.99,93954
dragon-knight,1.89,54.83,95429
centaur-warrunner,1.87,60.74,101634
sand-king,1.68,54.81,184743
razor,1.68,50.84,117922
ogre-magi,1.66,59.51,169986
kunkka,1.64,53.30,203213
spectre,1.61,60.30,113815
broodmother,1.56,44.57,45431
bane,1.44,50.91,86360
weaver,1.40,54.30,159535
wraith-king,1.34,60.98,235950
venomancer,1.30,56.63,102455
bristleback,1.29,53.69,155243
witch-doctor,1.27,55.04,142357
ember-spirit,1.22,46.44,92931
earthshaker,1.18,55.02,184085
dark-seer,1.18,54.49,55205
slardar,1.17,56.23,174273
jakiro,1.15,58.27,82207
chaos-knight,1.15,55.33,96232
timbersaw,1.12,53.82,189816
queen-of-pain,1.10,47.03,111106
medusa,1.04,56.72,112058
alchemist,1.03,53.76,187260
puck,1.02,48.91,87800
viper,0.97,53.87,160335
techies,0.90,50.76,78138
necrophos,0.88,59.70,201377
ancient-apparition,0.87,55.40,89624
invoker,0.85,51.51,397512
death-prophet,0.83,51.58,85191
lina,0.78,49.09,160030
lich,0.76,59.41,113139
rubick,0.73,50.89,151430
visage,0.71,49.17,19793
phantom-lancer,0.69,50.25,121572
axe,0.68,57.29,340085
dazzle,0.66,56.52,122692
legion-commander,0.56,53.79,429467
mirana,0.56,56.66,313267
lion,0.55,52.54,252616
slark,0.53,55.57,366705
skywrath-mage,0.49,51.33,94739
disruptor,0.41,55.61,95185
treant-protector,0.38,58.03,60128
batrider,0.37,49.53,51183
bloodseeker,0.37,55.09,329955
shadow-fiend,0.35,52.25,188771
enigma,0.30,56.52,76234
warlock,0.28,59.99,80624
tinker,0.28,52.11,218502
spirit-breaker,0.18,57.05,237591
brewmaster,0.16,51.98,32481
night-stalker,0.10,54.45,96625
oracle,0.10,47.09,53385
pugna,0.03,50.75,67087
silencer,-0.01,58.02,144438
elder-titan,-0.02,58.80,49724
omniknight,-0.05,64.30,225204
sven,-0.06,58.79,283126
terrorblade,-0.08,53.46,65698
magnus,-0.11,51.04,90792
lifestealer,-0.15,53.17,181262
undying,-0.20,54.92,66212
doom,-0.21,47.68,52552
beastmaster,-0.22,50.71,34002
bounty-hunter,-0.25,50.35,240620
underlord,-0.28,58.63,79255
clinkz,-0.31,49.87,151527
sniper,-0.40,55.71,490177
luna,-0.40,58.87,171217
anti-mage,-0.53,51.28,270116
phoenix,-0.54,55.51,61847
meepo,-0.56,51.70,77769
morphling,-0.73,52.29,158292
vengeful-spirit,-0.73,56.32,133176
nyx-assassin,-0.86,54.01,143837
outworld-devourer,-0.97,53.96,155712
earth-spirit,-0.97,45.85,32941
pudge,-1.16,56.53,609391
clockwerk,-1.18,54.14,72859
phantom-assassin,-1.25,56.00,680208
troll-warlord,-1.30,53.36,161872
arc-warden,-1.51,47.12,39766
zeus,-1.52,57.96,209672
storm-spirit,-1.53,52.80,209742
templar-assassin,-1.54,48.86,100738
abaddon,-1.82,59.12,97302
riki,-1.96,57.52,398556
drow-ranger,-2.16,54.51,333508
huskar,-2.18,49.49,239750
juggernaut,-2.50,53.07,352890
shadow-demon,-3.08,48.75,55173
faceless-void,-3.17,50.29,183803
lycan,-3.39,48.99,47933
