hero,para,rate,matches
omniknight,2.94,43.34,160177
techies,2.40,57.80,50272
io,2.33,66.54,21668
clinkz,2.25,57.99,108891
visage,2.21,59.17,16563
legion-commander,2.13,54.41,318594
anti-mage,2.00,56.30,231704
lycan,1.79,57.04,38389
lifestealer,1.68,54.42,151305
riki,1.67,48.82,251041
slardar,1.39,51.89,141393
juggernaut,1.32,53.03,299563
pudge,1.28,50.17,447046
chen,1.19,61.07,12716
death-prophet,1.06,56.19,58854
ursa,1.02,48.39,152609
bane,0.99,57.11,64409
silencer,0.98,49.17,115090
ancient-apparition,0.97,52.34,73707
tiny,0.96,57.85,108609
spirit-breaker,0.94,50.26,170578
huskar,0.94,56.68,139246
skywrath-mage,0.92,56.18,71008
night-stalker,0.91,52.85,72475
dazzle,0.86,51.04,94324
nyx-assassin,0.75,52.67,117518
batrider,0.71,57.78,47699
pugna,0.65,56.38,51335
timbersaw,0.65,53.89,148773
crystal-maiden,0.59,47.46,168431
weaver,0.53,53.50,119373
necrophos,0.51,47.74,146271
troll-warlord,0.50,52.97,96524
storm-spirit,0.48,53.40,150841
enigma,0.48,50.63,67846
oracle,0.45,59.88,45393
shadow-shaman,0.38,49.82,103989
lion,0.38,54.72,189754
bloodseeker,0.30,52.03,193816
disruptor,0.29,51.52,81339
lina,0.25,58.14,105508
bounty-hunter,0.21,56.38,172651
treant-protector,0.19,48.99,47277
centaur-warrunner,0.17,47.12,87886
alchemist,0.14,53.63,134080
phantom-assassin,0.14,50.10,450100
tusk,0.10,60.31,55189
wraith-king,0.08,46.50,172795
leshrac,0.06,56.72,29595
windranger,0.04,57.21,151358
broodmother,0.02,62.65,33173
dragon-knight,-0.02,52.94,75825
shadow-fiend,-0.04,54.68,137505
brewmaster,-0.06,54.83,26323
doom,-0.10,58.84,43759
morphling,-0.11,54.03,149283
enchantress,-0.16,62.26,43680
ember-spirit,-0.17,60.63,73249
queen-of-pain,-0.17,60.02,81615
witch-doctor,-0.20,52.31,112747
razor,-0.26,56.59,85142
beastmaster,-0.32,55.75,28658
invoker,-0.32,55.51,293464
viper,-0.33,53.24,105735
rubick,-0.40,56.00,115413
natures-prophet,-0.42,60.77,97771
arc-warden,-0.45,58.58,32612
medusa,-0.47,50.37,96265
templar-assassin,-0.48,56.83,73815
sven,-0.48,47.64,222184
abaddon,-0.51,46.19,74515
keeper-of-the-light,-0.54,51.89,69232
gyrocopter,-0.54,57.47,55772
phoenix,-0.55,50.66,50724
bristleback,-0.55,53.46,118630
venomancer,-0.55,50.57,77797
puck,-0.67,57.90,68015
warlock,-0.69,46.51,64913
slark,-0.71,51.11,306578
drow-ranger,-0.72,50.67,251491
faceless-void,-0.76,54.41,198748
ogre-magi,-0.78,47.77,146963
lone-druid,-0.82,61.82,24979
dark-seer,-0.84,52.47,45541
meepo,-0.89,54.29,59705
underlord,-0.95,47.43,64821
earthshaker,-0.99,51.87,144344
jakiro,-1.00,48.63,63526
outworld-devourer,-1.07,51.72,124187
mirana,-1.11,49.84,275322
undying,-1.13,51.15,56965
axe,-1.13,49.27,250428
earth-spirit,-1.17,59.62,28294
kunkka,-1.37,53.58,168136
elder-titan,-1.39,47.21,46732
tidehunter,-1.63,51.00,87094
terrorblade,-1.91,52.25,55302
clockwerk,-1.92,50.98,64569
sniper,-2.02,49.80,310342
lich,-2.02,46.75,82090
zeus,-2.06,46.85,142025
luna,-2.17,46.54,141699
magnus,-2.28,54.39,85881
winter-wyvern,-2.61,54.86,48372
sand-king,-2.70,51.44,148107
shadow-demon,-2.75,54.89,56904
chaos-knight,-2.75,50.63,70948
tinker,-3.46,52.91,164856
naga-siren,-3.57,54.25,37745
spectre,-3.71,45.57,113852
phantom-lancer,-4.69,54.16,84383
