hero,para,rate,matches
lone-druid,6.34,44.83,21985
chen,6.31,46.98,9614
drow-ranger,5.89,56.79,404448
natures-prophet,4.50,45.46,78087
medusa,3.67,56.05,92040
luna,3.59,59.10,173987
beastmaster,3.48,50.41,28216
visage,3.32,48.28,12174
lycan,3.12,50.12,33638
arc-warden,3.11,47.17,27055
broodmother,2.89,43.04,27604
brewmaster,2.77,51.18,22026
faceless-void,2.44,51.05,155015
sniper,2.27,55.07,251755
templar-assassin,2.20,48.57,69451
leshrac,2.18,49.00,21910
abaddon,2.06,59.38,59950
huskar,2.01,49.46,117142
terrorblade,2.00,52.43,49393
witch-doctor,1.89,53.25,63273
tidehunter,1.81,53.79,73633
enchantress,1.78,42.88,32701
dazzle,1.62,54.94,55654
weaver,1.59,52.27,103092
undying,1.41,53.68,43713
viper,1.36,51.95,90980
warlock,1.28,58.53,40042
dragon-knight,1.25,52.36,67199
clinkz,1.24,48.52,92101
jakiro,1.23,56.22,40290
io,1.01,39.74,12899
storm-spirit,0.94,52.01,138154
shadow-fiend,0.88,50.40,125222
meepo,0.73,50.25,52355
sven,0.65,57.14,201691
gyrocopter,0.64,47.13,45247
dark-seer,0.63,52.08,32858
lifestealer,0.55,51.44,124214
oracle,0.53,45.19,26118
troll-warlord,0.53,52.24,82434
alchemist,0.52,51.38,122789
phantom-lancer,0.47,48.03,73959
centaur-warrunner,0.47,57.85,73868
riki,0.44,56.87,189746
phantom-assassin,0.30,54.80,393763
wraith-king,0.22,58.27,153443
naga-siren,0.17,48.47,30437
chaos-knight,0.14,52.69,64334
night-stalker,0.08,52.34,60409
tiny,0.07,47.35,89227
silencer,-0.02,55.95,78209
queen-of-pain,-0.07,44.40,69667
omniknight,-0.10,62.32,98324
enigma,-0.11,54.22,43066
necrophos,-0.16,57.04,105040
treant-protector,-0.16,55.66,31362
bristleback,-0.17,50.82,101406
underlord,-0.20,56.64,50215
windranger,-0.28,47.31,125218
disruptor,-0.30,53.14,41822
razor,-0.36,47.73,73261
tusk,-0.36,44.14,42474
winter-wyvern,-0.38,48.13,26848
spirit-breaker,-0.42,54.64,127599
invoker,-0.42,48.76,256787
mirana,-0.43,54.03,204736
lich,-0.52,56.62,48193
juggernaut,-0.53,52.06,257236
puck,-0.58,46.05,57176
death-prophet,-0.59,48.76,49119
doom,-0.61,45.41,36315
batrider,-0.66,46.94,31993
elder-titan,-0.69,56.37,30779
morphling,-0.72,50.21,133814
ursa,-0.73,56.32,133176
anti-mage,-0.77,49.08,201304
shadow-shaman,-0.79,54.59,60199
clockwerk,-0.87,52.24,50754
keeper-of-the-light,-0.88,52.04,36837
lina,-0.90,46.20,73892
sand-king,-0.90,51.34,108427
pugna,-0.94,48.17,35091
legion-commander,-0.98,50.89,251035
shadow-demon,-1.08,47.67,33865
earthshaker,-1.12,51.70,93332
venomancer,-1.12,53.22,54106
bloodseeker,-1.13,52.20,159587
magnus,-1.17,48.42,65823
axe,-1.19,54.17,205735
slark,-1.28,52.51,255781
slardar,-1.31,52.79,130029
zeus,-1.48,55.96,105939
outworld-devourer,-1.51,51.61,114039
bounty-hunter,-1.51,47.65,120459
ember-spirit,-1.67,43.07,64104
kunkka,-1.70,49.48,128466
ogre-magi,-1.91,55.41,84668
crystal-maiden,-1.96,56.32,84576
tinker,-2.12,48.80,136294
lion,-2.14,49.07,91079
skywrath-mage,-2.17,47.92,44468
spectre,-2.20,56.04,96161
techies,-2.22,47.13,37668
pudge,-2.27,53.87,327929
nyx-assassin,-2.31,51.18,90543
bane,-2.47,46.90,37865
timbersaw,-2.58,49.81,133197
earth-spirit,-2.60,43.07,18631
phoenix,-2.77,52.24,33870
rubick,-2.80,47.07,62032
ancient-apparition,-3.01,51.25,41899
