hero,para,rate,matches
axe,7.12,52.48,207690
templar-assassin,6.20,59.76,62414
slardar,4.54,52.62,103950
ursa,3.69,48.79,123450
sand-king,3.15,53.66,113030
omniknight,2.93,42.49,116276
nyx-assassin,2.75,52.85,97570
outworld-devourer,2.74,52.84,94702
razor,2.61,57.37,70817
puck,2.38,58.83,47166
sven,2.27,48.09,164228
night-stalker,2.23,52.68,57564
tidehunter,2.19,52.11,65923
earth-spirit,2.05,60.74,20446
mirana,2.02,50.55,187356
spirit-breaker,2.01,49.92,127860
batrider,1.96,57.65,32241
bristleback,1.59,53.76,90222
disruptor,1.56,51.31,55810
troll-warlord,1.54,52.66,74935
lion,1.54,54.50,124650
centaur-warrunner,1.53,46.90,68539
riki,1.50,47.88,195477
kunkka,1.47,54.27,124728
bounty-hunter,1.44,56.23,138166
io,1.33,65.11,16094
beastmaster,1.28,55.80,21847
tiny,1.27,57.20,82627
faceless-void,1.21,54.64,133147
lone-druid,1.15,62.24,20023
lich,1.09,47.39,61703
winter-wyvern,0.99,56.05,34171
keeper-of-the-light,0.88,51.77,50521
ogre-magi,0.87,47.72,94619
shadow-demon,0.80,56.06,35282
earthshaker,0.76,51.94,105284
bloodseeker,0.73,51.40,154095
tusk,0.61,59.80,43373
vengeful-spirit,0.56,49.43,77797
dazzle,0.55,50.03,69142
magnus,0.55,55.12,61116
crystal-maiden,0.49,46.56,114119
weaver,0.40,52.58,94480
jakiro,0.37,48.45,48465
queen-of-pain,0.31,59.49,63606
dragon-knight,0.31,52.27,59606
elder-titan,0.28,47.16,36145
ember-spirit,0.23,60.06,57897
morphling,0.16,53.33,108760
underlord,0.13,47.11,55526
silencer,0.11,47.90,91116
treant-protector,0.09,48.10,37911
naga-siren,0.05,55.45,30731
phantom-assassin,0.05,49.21,329322
invoker,-0.06,54.82,204498
visage,-0.07,57.03,13564
leshrac,-0.10,55.80,24846
shadow-shaman,-0.10,48.74,77549
medusa,-0.11,49.71,76207
luna,-0.18,46.64,110431
skywrath-mage,-0.18,54.74,55107
shadow-fiend,-0.22,53.74,104199
chen,-0.32,59.35,10268
necrophos,-0.36,46.49,115800
clockwerk,-0.48,50.88,50825
lifestealer,-0.49,52.41,112928
lina,-0.49,56.89,85010
ancient-apparition,-0.51,50.73,55415
timbersaw,-0.59,52.39,114657
doom,-0.61,57.72,36649
undying,-0.62,50.58,45725
pugna,-0.63,54.83,43332
wraith-king,-0.82,45.25,133606
storm-spirit,-0.84,51.87,122211
juggernaut,-0.90,51.03,227353
bane,-0.96,55.18,49276
techies,-1.02,55.04,40099
rubick,-1.10,54.78,83395
windranger,-1.14,55.71,114353
spectre,-1.17,45.94,89560
death-prophet,-1.23,54.09,48622
enchantress,-1.26,60.78,35326
warlock,-1.35,45.37,48790
gyrocopter,-1.35,56.19,44564
chaos-knight,-1.39,50.50,57420
meepo,-1.49,53.13,41383
zeus,-1.49,46.29,112455
phantom-lancer,-1.54,55.13,68220
clinkz,-1.59,54.99,86554
dark-seer,-1.60,51.24,35467
enigma,-1.64,48.73,48223
drow-ranger,-1.64,49.37,182464
broodmother,-1.66,60.82,27806
tinker,-1.70,53.05,110506
phoenix,-1.81,49.19,39122
witch-doctor,-1.89,50.60,80985
oracle,-1.91,57.68,32891
legion-commander,-2.03,51.37,236227
alchemist,-2.32,51.49,104035
pudge,-2.48,47.48,331342
slark,-2.71,49.26,229194
arc-warden,-2.80,56.40,25239
brewmaster,-2.90,52.46,21949
viper,-2.96,51.02,87637
abaddon,-3.05,44.20,60337
lycan,-3.19,53.44,31416
terrorblade,-3.77,50.45,44919
anti-mage,-3.99,52.19,175162
natures-prophet,-4.02,57.80,75792
sniper,-5.36,47.30,237067
huskar,-6.13,51.93,106970
