hero,para,rate,matches
spectre,3.11,58.23,84970
anti-mage,2.94,50.04,159806
juggernaut,2.69,52.87,210413
pudge,2.47,55.63,251039
centaur-warrunner,2.30,58.06,58002
drow-ranger,1.99,53.84,159140
riki,1.98,56.89,151353
doom,1.74,45.63,29766
storm-spirit,1.64,51.51,105732
sniper,1.58,53.84,187884
wraith-king,1.35,58.09,119936
invoker,1.32,48.76,169957
ursa,1.30,56.63,102455
death-prophet,1.28,48.82,40631
alchemist,1.26,50.90,96011
lifestealer,1.24,50.93,94151
slark,1.12,52.93,202529
underlord,1.10,56.53,44232
pugna,0.98,48.25,31793
troll-warlord,0.83,51.55,63320
chaos-knight,0.81,52.19,51926
natures-prophet,0.77,43.00,56487
tiny,0.73,46.82,70486
luna,0.67,56.60,93692
medusa,0.63,53.55,67232
timbersaw,0.59,50.58,95861
undying,0.57,52.39,39194
abaddon,0.56,57.68,47352
nyx-assassin,0.56,51.83,74797
morphling,0.55,50.01,93738
terrorblade,0.52,50.82,39532
silencer,0.42,55.35,64125
clockwerk,0.31,52.02,40723
clinkz,0.30,47.22,70101
phantom-lancer,0.29,47.09,60901
faceless-void,0.20,49.09,115068
brewmaster,0.18,49.04,18265
dragon-knight,0.16,50.96,53130
lycan,0.14,47.83,26526
leshrac,0.12,47.16,19043
sven,0.06,55.97,148332
night-stalker,0.03,51.47,47971
beastmaster,0.03,47.89,17527
outworld-devourer,0.00,51.55,83519
rubick,-0.03,47.56,51798
jakiro,-0.05,54.67,35423
naga-siren,-0.11,47.49,25896
necrophos,-0.17,56.21,85550
slardar,-0.24,52.52,88742
enchantress,-0.26,41.20,26498
ember-spirit,-0.28,42.85,51764
weaver,-0.28,50.47,76846
windranger,-0.30,46.46,88129
shadow-shaman,-0.30,54.03,53707
omniknight,-0.31,61.39,75173
bloodseeker,-0.33,51.78,125167
mirana,-0.33,53.25,135420
kunkka,-0.35,49.32,98414
lina,-0.36,45.61,62364
phantom-assassin,-0.41,53.57,288318
warlock,-0.43,56.72,34874
treant-protector,-0.46,54.66,27596
shadow-fiend,-0.51,48.87,88026
bristleback,-0.51,49.80,76638
axe,-0.53,53.70,159807
broodmother,-0.55,40.78,22730
legion-commander,-0.56,50.26,191279
witch-doctor,-0.63,51.09,53097
keeper-of-the-light,-0.69,51.30,32114
magnus,-0.70,47.81,49530
spirit-breaker,-0.71,53.65,100512
phoenix,-0.71,52.51,26181
batrider,-0.71,46.08,24473
lone-druid,-0.77,41.02,16545
templar-assassin,-0.77,46.32,47368
sand-king,-0.78,50.56,86102
earthshaker,-0.84,51.00,79169
razor,-0.88,46.64,58243
zeus,-1.09,55.36,88879
vengeful-spirit,-1.12,53.22,54106
tusk,-1.16,42.96,33887
ogre-magi,-1.18,55.00,64870
winter-wyvern,-1.23,46.88,23894
enigma,-1.24,52.77,35497
queen-of-pain,-1.25,43.05,52604
disruptor,-1.27,51.79,35643
lion,-1.41,48.61,80129
dark-seer,-1.43,50.18,25406
bounty-hunter,-1.43,46.85,99470
viper,-1.50,49.65,85018
huskar,-1.53,46.92,88178
oracle,-1.67,43.38,21380
dazzle,-1.70,52.32,41941
elder-titan,-1.73,54.96,26719
meepo,-1.81,48.15,34564
gyrocopter,-1.83,45.15,36470
ancient-apparition,-1.87,51.02,39549
skywrath-mage,-1.92,47.21,37471
shadow-demon,-2.06,46.38,22551
tidehunter,-2.23,50.83,54146
earth-spirit,-2.30,42.39,14523
tinker,-2.30,47.89,93357
arc-warden,-2.36,43.85,20579
bane,-2.37,46.13,33371
lich,-2.43,54.72,41408
crystal-maiden,-3.44,54.67,72383
puck,-3.75,43.77,38467
chen,-3.99,41.63,7528
techies,-4.86,45.06,28848
visage,-5.01,43.58,10139
io,-7.82,35.52,10959
