hero,para,rate,matches
alchemist,5.27,52.78,149150
earth-spirit,5.23,59.99,23825
silencer,5.06,47.57,109603
batrider,4.90,56.64,39106
visage,4.57,57.02,17253
nyx-assassin,4.37,51.00,110724
templar-assassin,4.24,56.00,89484
underlord,3.74,46.15,65490
clockwerk,3.70,50.35,60511
skywrath-mage,3.36,54.02,73312
venomancer,3.28,48.98,87637
tiny,3.24,55.67,118640
death-prophet,3.14,53.84,67598
leshrac,3.04,54.92,32276
razor,2.96,54.93,100847
oracle,2.71,57.80,38335
arc-warden,2.62,56.95,31156
disruptor,2.55,49.17,68440
zeus,2.50,45.55,162345
luna,2.47,45.27,157560
jakiro,2.42,46.81,63312
magnus,2.20,53.41,75423
puck,2.11,56.08,60231
clinkz,2.09,54.44,126377
centaur-warrunner,2.08,44.55,89748
ember-spirit,2.06,58.61,74858
spirit-breaker,2.02,47.30,195599
faceless-void,1.94,52.42,172630
pugna,1.93,53.63,54080
earthshaker,1.93,49.91,142754
doom,1.90,56.60,46615
dragon-knight,1.90,50.47,88189
storm-spirit,1.89,50.67,141024
io,1.89,63.01,20961
night-stalker,1.58,49.72,85719
treant-protector,1.56,46.20,48128
sniper,1.52,48.12,395705
ursa,1.52,45.17,209301
sven,1.52,45.14,257959
elder-titan,1.50,45.14,42922
spectre,1.50,44.59,112211
troll-warlord,1.41,49.98,131885
queen-of-pain,1.39,57.59,87569
tusk,1.28,57.66,61501
tinker,1.18,52.00,145517
lina,1.14,55.25,122577
lone-druid,1.09,59.71,27073
bounty-hunter,1.08,53.44,184618
abaddon,0.93,43.44,79219
beastmaster,0.83,52.97,27764
ancient-apparition,0.76,48.78,63731
lion,0.73,51.48,166695
rubick,0.50,53.10,91365
phoenix,0.41,47.72,47335
techies,0.41,53.27,59823
tidehunter,0.41,48.62,79777
winter-wyvern,0.40,53.15,44054
vengeful-spirit,0.38,46.76,105735
undying,0.29,48.45,57611
outworld-devourer,0.23,48.97,121755
medusa,0.18,47.27,104666
gyrocopter,0.02,54.42,63789
huskar,0.01,52.77,199738
sand-king,-0.04,49.43,140624
bloodseeker,-0.04,48.44,258734
slardar,-0.19,47.67,143574
drow-ranger,-0.23,47.51,290792
bristleback,-0.23,50.23,141182
bane,-0.29,53.01,61794
morphling,-0.33,50.51,132007
axe,-0.34,46.26,307310
broodmother,-0.37,59.16,39381
ogre-magi,-0.46,44.54,122005
shadow-demon,-0.52,52.78,42013
lycan,-0.53,52.36,46511
lich,-0.60,44.05,83852
necrophos,-0.60,43.83,153460
timbersaw,-0.66,49.79,148629
kunkka,-0.75,50.53,157120
weaver,-0.78,49.41,141284
keeper-of-the-light,-0.80,48.36,59151
warlock,-0.82,43.08,65022
riki,-0.86,44.23,306088
mirana,-0.97,46.52,233442
anti-mage,-0.98,51.29,231927
enigma,-1.00,46.50,63498
chen,-1.02,56.46,13058
naga-siren,-1.06,52.30,40069
enchantress,-1.20,58.38,51281
shadow-fiend,-1.22,50.66,143983
brewmaster,-1.33,50.77,29261
dazzle,-1.45,46.50,86383
pudge,-1.50,45.43,433087
dark-seer,-1.61,48.70,43246
shadow-shaman,-1.61,45.47,115714
juggernaut,-1.63,48.12,311448
wraith-king,-1.83,42.29,196481
phantom-assassin,-1.91,45.72,553849
invoker,-1.91,51.28,262689
natures-prophet,-2.10,56.51,100399
terrorblade,-2.26,48.72,62593
lifestealer,-2.40,48.89,168871
witch-doctor,-2.65,47.69,105282
meepo,-2.83,49.91,56803
legion-commander,-2.87,48.43,347365
windranger,-2.88,52.25,166099
crystal-maiden,-3.07,42.44,162346
slark,-3.16,46.54,313373
omniknight,-4.20,37.17,153213
phantom-lancer,-4.83,50.86,108476
chaos-knight,-6.13,45.65,89211
