hero,para,rate,matches
chen,7.62,43.96,11198
broodmother,6.81,41.17,32002
io,4.63,37.80,17037
lone-druid,4.62,40.65,22917
visage,4.62,45.33,13943
lycan,4.05,47.03,38235
drow-ranger,3.68,52.06,244089
winter-wyvern,3.15,46.32,38311
brewmaster,3.14,47.84,23999
abaddon,3.10,56.52,66738
doom,2.95,43.57,39319
phantom-lancer,2.89,45.68,90732
gyrocopter,2.80,44.66,48221
naga-siren,2.38,46.05,32989
batrider,2.20,44.82,31007
warlock,2.18,55.60,55465
jakiro,2.17,53.27,55323
leshrac,2.10,45.48,25994
centaur-warrunner,2.10,55.35,75260
chaos-knight,2.07,50.21,76179
enchantress,2.06,39.63,41332
elder-titan,1.97,54.43,36277
tidehunter,1.92,50.36,66085
undying,1.91,50.46,51033
wraith-king,1.84,55.79,169582
bristleback,1.73,48.31,116003
disruptor,1.72,50.74,59975
troll-warlord,1.59,49.32,105093
tiny,1.55,44.60,95100
dark-seer,1.54,49.08,34209
phoenix,1.53,51.08,38236
natures-prophet,1.52,40.78,82552
ancient-apparition,1.42,50.12,55997
vengeful-spirit,1.36,51.95,90980
spectre,1.32,54.63,95156
axe,1.29,52.08,231624
clockwerk,1.25,49.89,49646
beastmaster,1.22,45.86,23502
lich,1.17,54.16,73740
enigma,1.16,51.45,51601
night-stalker,1.04,49.39,68688
treant-protector,1.00,52.87,42079
ursa,0.97,53.87,160335
razor,0.94,44.92,73554
sand-king,0.92,48.83,119200
techies,0.90,45.20,49878
timbersaw,0.83,48.10,115720
death-prophet,0.83,46.02,49624
dazzle,0.77,51.04,74991
dragon-knight,0.73,48.65,70672
tusk,0.70,41.24,50939
terrorblade,0.67,48.30,50953
omniknight,0.67,59.51,131945
underlord,0.65,53.70,54560
medusa,0.61,50.95,77270
kunkka,0.56,47.19,122184
keeper-of-the-light,0.53,49.34,51522
sven,0.46,53.62,211926
oracle,0.45,41.78,32725
lifestealer,0.23,47.84,136878
juggernaut,0.22,49.02,255947
witch-doctor,0.17,48.92,92442
legion-commander,0.13,48.03,292411
weaver,0.10,48.08,105322
riki,0.10,53.28,254328
luna,0.06,53.71,122896
shadow-shaman,0.04,51.64,100275
anti-mage,-0.02,46.03,202071
lina,-0.11,43.18,94208
slardar,-0.16,49.99,119128
earthshaker,-0.19,48.77,125471
skywrath-mage,-0.31,45.43,59618
crystal-maiden,-0.34,53.89,138421
magnus,-0.41,45.39,54257
pugna,-0.50,45.00,45351
bloodseeker,-0.52,49.12,207640
faceless-void,-0.59,46.14,142148
phantom-assassin,-0.79,50.82,432742
queen-of-pain,-0.90,40.71,61209
necrophos,-0.92,53.26,123493
slark,-1.11,49.22,258320
windranger,-1.20,43.52,120019
spirit-breaker,-1.27,50.81,159949
rubick,-1.37,44.39,83586
zeus,-1.43,52.65,115517
bounty-hunter,-1.44,44.32,157619
shadow-fiend,-1.46,45.86,98176
pudge,-1.48,50.95,340892
venomancer,-1.50,49.65,85018
meepo,-1.53,45.76,45274
silencer,-1.67,51.68,88691
alchemist,-1.74,46.86,111038
earth-spirit,-1.77,40.15,20319
lion,-1.80,45.89,144854
ogre-magi,-1.87,52.11,110805
ember-spirit,-2.24,39.56,57671
templar-assassin,-2.40,43.07,56395
huskar,-2.40,44.00,145920
mirana,-2.44,49.61,174157
nyx-assassin,-2.46,47.76,91897
puck,-2.53,41.85,43787
shadow-demon,-2.59,43.63,36393
sniper,-2.90,48.97,279688
morphling,-3.30,45.60,102808
clinkz,-3.41,43.00,96850
bane,-3.43,43.15,53564
storm-spirit,-4.13,46.11,96629
arc-warden,-4.36,40.52,23815
outworld-devourer,-4.37,46.84,77879
invoker,-5.09,43.24,176129
tinker,-5.19,44.03,100841
