hero,para,rate,matches
tidehunter,8.80,47.78,13747
elder-titan,8.12,43.30,8871
omniknight,7.15,37.06,21619
pudge,6.15,44.22,57565
zeus,5.77,42.32,21830
ancient-apparition,5.63,46.38,12406
necrophos,5.18,41.74,21380
disruptor,4.64,45.47,12308
crystal-maiden,4.63,41.20,23681
riki,4.31,41.92,34663
nyx-assassin,4.07,46.16,18011
techies,4.02,50.47,7601
tinker,3.21,48.37,22556
mirana,3.14,43.83,33305
storm-spirit,2.91,46.52,21934
witch-doctor,2.62,45.65,16654
spirit-breaker,2.59,42.98,24490
lich,2.56,40.92,14072
rubick,2.54,49.52,13630
treant-protector,2.24,41.96,9509
outworld-devourer,2.17,45.31,18128
abaddon,2.07,39.46,14234
sand-king,2.05,45.85,21439
kunkka,2.01,47.31,23786
juggernaut,1.80,45.21,39911
io,1.69,58.46,3796
clockwerk,1.68,44.78,11207
lion,1.60,47.32,24395
dark-seer,1.56,45.68,9017
warlock,1.42,39.60,11429
shadow-shaman,1.29,42.29,16821
skywrath-mage,1.19,48.31,12371
underlord,1.18,40.54,11787
earthshaker,1.12,44.96,20965
shadow-demon,1.10,49.06,6633
slardar,1.08,43.73,19919
morphling,1.05,46.63,18333
invoker,0.90,48.18,36249
wraith-king,0.85,39.03,26012
phoenix,0.46,43.23,7000
jakiro,0.44,41.43,11465
pugna,0.40,48.28,10464
silencer,0.10,40.87,17146
venomancer,0.09,42.97,13564
enigma,0.08,42.52,11479
slark,0.00,43.56,40827
batrider,-0.19,49.37,8699
faceless-void,-0.25,46.77,24354
puck,-0.29,50.26,8488
winter-wyvern,-0.29,48.27,9213
centaur-warrunner,-0.31,39.12,14375
timbersaw,-0.63,45.31,19067
earth-spirit,-0.71,52.15,4303
ursa,-0.72,39.78,24286
magnus,-0.73,47.38,13550
legion-commander,-0.81,44.97,42594
bloodseeker,-0.88,43.56,29275
sven,-0.99,39.65,30862
ogre-magi,-1.12,39.86,15870
templar-assassin,-1.15,48.63,9918
tusk,-1.18,51.82,7848
spectre,-1.46,38.95,14343
undying,-1.66,43.08,10454
phantom-assassin,-1.66,41.44,59373
lifestealer,-1.68,44.81,21928
dazzle,-1.71,41.97,15064
keeper-of-the-light,-1.78,43.45,9213
dragon-knight,-1.96,44.13,13172
weaver,-1.98,44.38,18665
tiny,-2.33,48.25,17302
brewmaster,-2.40,45.80,7040
bounty-hunter,-2.67,47.05,26002
alchemist,-2.70,44.38,21109
bristleback,-2.77,44.55,17933
vengeful-spirit,-3.04,40.83,16563
luna,-3.18,38.50,21582
shadow-fiend,-3.22,45.25,17860
night-stalker,-3.30,42.97,12813
lina,-3.48,48.36,17540
sniper,-3.62,41.36,41163
meepo,-3.91,45.00,8393
anti-mage,-3.92,45.41,31897
troll-warlord,-4.16,42.90,13922
doom,-4.37,48.80,6516
queen-of-pain,-4.40,50.00,13833
arc-warden,-4.65,48.61,7875
windranger,-4.83,46.90,22187
medusa,-5.01,40.56,14630
ember-spirit,-5.19,50.20,10180
terrorblade,-5.28,42.93,10947
huskar,-5.46,45.60,21771
chen,-5.47,49.67,2603
viper,-5.48,42.98,17253
oracle,-5.63,48.87,8990
drow-ranger,-5.66,40.68,35340
leshrac,-6.00,45.84,7901
enchantress,-6.46,51.11,9442
clinkz,-6.57,45.59,18812
gyrocopter,-6.89,46.45,10652
axe,-7.36,38.86,34309
bane,-7.41,45.03,12730
chaos-knight,-8.05,40.58,12946
phantom-lancer,-8.15,44.93,14655
razor,-8.31,44.76,15379
beastmaster,-8.46,43.94,4533
broodmother,-8.73,50.15,8172
death-prophet,-9.10,43.33,12363
lycan,-9.43,43.57,9157
lone-druid,-10.00,49.15,4004
naga-siren,-10.15,43.42,8339
natures-prophet,-11.39,47.18,18155
