hero,para,rate,matches
drow-ranger,10.85,50.65,35114
gyrocopter,9.14,42.62,8545
naga-siren,8.37,43.94,6960
death-prophet,7.76,44.38,9295
lycan,6.95,43.59,7261
natures-prophet,6.06,38.08,13461
sand-king,5.66,46.36,16227
lifestealer,5.17,45.48,18251
magnus,5.09,43.22,10754
night-stalker,4.97,46.57,10691
phantom-lancer,4.78,41.89,12947
viper,4.62,45.33,13943
terrorblade,4.35,45.38,8877
chaos-knight,3.84,46.39,11172
windranger,3.82,41.15,17838
enchantress,3.76,35.92,7609
faceless-void,3.64,43.48,20772
leshrac,3.60,41.57,6120
storm-spirit,3.57,45.16,18666
slark,3.32,46.75,34810
vengeful-spirit,3.32,48.28,12174
razor,3.19,41.35,12292
brewmaster,2.84,43.10,6037
tinker,2.73,43.12,18603
legion-commander,2.67,44.63,33995
lina,2.61,39.86,13019
mirana,2.60,47.53,24709
axe,2.48,48.05,27097
anti-mage,2.41,42.58,28514
broodmother,2.40,35.17,6944
outworld-devourer,2.37,45.52,15586
phantom-assassin,2.12,47.68,50633
huskar,1.91,41.42,17437
kunkka,1.80,43.20,18197
tiny,1.67,40.18,14182
luna,1.67,49.97,17549
sven,1.60,49.63,25865
juggernaut,1.53,45.08,33648
clockwerk,1.47,45.42,9271
slardar,1.44,46.21,16219
bane,1.41,40.83,8725
bloodseeker,1.36,45.47,23437
medusa,1.23,46.69,13211
centaur-warrunner,1.14,50.25,11606
queen-of-pain,0.98,37.13,11434
invoker,0.94,41.49,29564
clinkz,0.80,40.42,14863
wraith-king,0.72,50.62,21779
ursa,0.71,49.17,19793
earthshaker,0.56,44.60,14763
sniper,0.43,46.10,33086
bristleback,0.42,43.18,14786
nyx-assassin,0.39,44.63,14039
batrider,0.17,39.52,7030
templar-assassin,0.08,39.75,8718
shadow-fiend,0.07,42.10,14702
spectre,-0.03,49.38,12764
alchemist,-0.05,43.18,18233
silencer,-0.11,47.98,12624
undying,-0.69,44.69,8175
morphling,-0.80,42.33,16340
bounty-hunter,-0.86,40.19,19124
lion,-0.89,41.88,15667
ember-spirit,-1.02,35.81,9017
jakiro,-1.17,47.04,8222
weaver,-1.24,42.99,15800
enigma,-1.26,45.75,8404
ogre-magi,-1.54,47.82,10692
timbersaw,-1.62,42.51,16136
arc-warden,-1.72,37.36,6999
oracle,-1.90,36.56,7087
dazzle,-2.17,45.12,9760
riki,-2.18,47.64,27959
dragon-knight,-2.25,42.81,11339
spirit-breaker,-2.62,45.71,19326
pudge,-2.62,45.95,43479
necrophos,-2.68,47.91,15693
doom,-2.75,36.92,5466
zeus,-2.80,47.51,16299
troll-warlord,-2.81,42.80,11717
warlock,-2.94,48.43,8322
shadow-shaman,-2.97,45.69,11457
omniknight,-3.00,53.03,14707
dark-seer,-3.02,42.51,7187
skywrath-mage,-3.27,39.77,9212
witch-doctor,-3.30,42.86,11268
disruptor,-3.74,43.67,8572
treant-protector,-3.75,46.02,7377
lich,-3.80,47.14,9875
rubick,-3.89,39.00,9385
beastmaster,-4.71,38.93,3637
tusk,-4.80,34.89,6168
puck,-4.88,36.68,7410
venomancer,-5.01,43.58,10139
underlord,-5.22,46.28,9706
elder-titan,-5.28,46.26,6787
pugna,-5.38,38.58,8353
phoenix,-5.68,43.18,5319
meepo,-6.73,39.17,7444
crystal-maiden,-6.86,46.14,15081
abaddon,-7.63,46.46,11072
lone-druid,-9.33,31.41,3381
keeper-of-the-light,-9.89,40.16,6240
winter-wyvern,-10.42,36.25,7412
shadow-demon,-10.80,36.00,5108
ancient-apparition,-14.04,38.60,9667
earth-spirit,-18.14,29.94,3681
tidehunter,-21.47,35.25,13477
techies,-30.11,28.21,7122
chen,-33.37,24.35,2665
io,-46.72,17.08,4491
