hero,para,rate,matches
chaos-knight,4.58,57.74,47916
enigma,4.10,55.75,43051
axe,3.96,55.11,157115
spectre,3.50,52.27,70821
necrophos,3.40,52.39,96046
meepo,3.12,59.70,36776
centaur-warrunner,3.03,51.73,55334
ogre-magi,2.99,52.86,85316
omniknight,2.51,46.36,101361
dragon-knight,2.34,57.41,47308
outworld-devourer,2.30,56.71,80331
shadow-shaman,2.29,54.01,68563
treant-protector,2.11,53.17,30771
lone-druid,1.86,66.47,14778
winter-wyvern,1.81,60.50,29582
witch-doctor,1.80,56.57,72665
zeus,1.79,51.92,87567
wraith-king,1.77,50.51,110627
slardar,1.77,55.31,87935
beastmaster,1.74,60.06,16771
templar-assassin,1.69,61.20,43399
luna,1.55,51.53,89114
pudge,1.46,53.48,260283
dazzle,1.37,54.51,58560
clockwerk,1.35,55.88,39464
crystal-maiden,1.24,50.97,100155
terrorblade,1.17,57.07,34829
venomancer,1.15,54.63,48790
shadow-demon,1.07,60.18,31872
doom,1.03,62.57,28092
razor,0.99,60.41,53508
lion,0.84,58.13,108539
morphling,0.84,57.70,86938
spirit-breaker,0.78,53.37,101044
disruptor,0.72,54.92,50033
phantom-lancer,0.70,60.34,54255
viper,0.63,56.92,65022
vengeful-spirit,0.61,53.49,64913
night-stalker,0.59,55.85,44237
puck,0.58,61.69,38082
sand-king,0.51,56.30,92516
windranger,0.49,60.56,90531
skywrath-mage,0.47,59.05,43261
tiny,0.43,60.64,65582
earth-spirit,0.36,63.56,16189
queen-of-pain,0.31,63.32,49170
nyx-assassin,0.22,55.56,71877
underlord,0.22,51.18,41368
mirana,0.20,53.67,153547
phantom-assassin,0.16,53.28,265591
bane,0.15,59.73,40449
silencer,0.14,51.94,80715
earthshaker,0.12,55.61,88732
naga-siren,0.07,59.39,23982
keeper-of-the-light,0.03,55.34,40030
troll-warlord,-0.04,55.83,56423
bloodseeker,-0.07,55.00,121868
elder-titan,-0.21,50.94,29259
dark-seer,-0.26,55.92,29075
tusk,-0.31,63.06,32129
tidehunter,-0.33,54.82,59271
abaddon,-0.35,49.42,47335
timbersaw,-0.38,56.47,91468
io,-0.39,67.59,12597
anti-mage,-0.51,58.02,138986
shadow-fiend,-0.54,57.51,80073
tinker,-0.57,57.59,91823
undying,-0.64,54.55,38021
faceless-void,-0.65,57.57,110671
techies,-0.68,59.13,28764
death-prophet,-0.72,58.29,39811
lifestealer,-0.72,56.25,92192
riki,-0.78,50.79,149233
visage,-0.91,60.40,11429
pugna,-0.95,58.56,34166
bounty-hunter,-0.98,58.78,102514
juggernaut,-1.14,54.86,181891
magnus,-1.16,58.09,52100
rubick,-1.16,58.63,90372
huskar,-1.21,58.54,82692
lina,-1.23,60.30,64394
bristleback,-1.23,56.20,74461
phoenix,-1.27,53.42,31194
ursa,-1.29,50.42,93700
invoker,-1.29,58.03,174803
jakiro,-1.40,51.56,40506
kunkka,-1.42,56.64,100255
gyrocopter,-1.49,59.94,34157
arc-warden,-1.50,60.96,20367
oracle,-1.53,61.67,27120
medusa,-1.55,52.94,63620
storm-spirit,-1.56,55.41,94037
chen,-1.76,62.23,8076
legion-commander,-1.99,55.30,190958
ember-spirit,-2.01,62.44,44143
batrider,-2.02,59.22,26006
drow-ranger,-2.05,53.10,152694
leshrac,-2.06,58.54,19548
ancient-apparition,-2.15,53.81,46201
alchemist,-2.17,55.46,82446
enchantress,-2.28,63.80,27403
brewmaster,-2.32,56.64,17982
slark,-2.35,53.36,184926
sven,-2.61,49.71,140353
lycan,-2.64,57.58,23860
lich,-2.68,49.53,54766
weaver,-2.95,54.70,72036
sniper,-3.09,52.32,185835
broodmother,-3.28,63.41,20662
clinkz,-3.39,57.77,65081
natures-prophet,-3.68,61.65,59467
