hero,para,rate,matches
night-stalker,2.89,57.06,37547
spirit-breaker,2.62,59.52,83370
beastmaster,2.57,53.22,13923
drow-ranger,2.57,58.23,131455
doom,2.27,49.97,23113
viper,2.18,55.60,55465
tiny,1.97,51.49,55305
dragon-knight,1.95,55.95,43160
mirana,1.76,58.41,116256
templar-assassin,1.67,51.54,38580
phantom-assassin,1.64,58.71,247934
riki,1.61,60.67,123737
slardar,1.55,57.51,75288
slark,1.50,57.18,171023
bloodseeker,1.44,56.75,102729
tusk,1.31,48.07,25157
vengeful-spirit,1.28,58.53,40042
brewmaster,1.22,53.62,14561
ogre-magi,1.21,60.31,49418
queen-of-pain,1.21,48.16,41820
wraith-king,1.17,61.92,101557
storm-spirit,1.09,55.28,82812
nyx-assassin,1.09,56.15,56853
natures-prophet,1.02,47.13,43948
phantom-lancer,0.98,51.48,49298
clinkz,0.85,51.53,55995
lycan,0.81,52.20,20423
lifestealer,0.70,54.70,81445
anti-mage,0.69,52.99,135812
pudge,0.65,58.62,199378
undying,0.64,56.44,30595
legion-commander,0.59,54.87,162560
troll-warlord,0.55,55.43,50117
huskar,0.49,51.92,70499
chaos-knight,0.47,56.03,42733
bounty-hunter,0.46,51.79,77768
leshrac,0.38,51.32,14347
gyrocopter,0.37,50.19,29319
shadow-shaman,0.31,58.32,41989
windranger,0.29,50.76,73055
ursa,0.28,59.99,80624
tinker,0.27,53.17,77495
centaur-warrunner,0.27,60.82,46919
abaddon,0.23,61.38,37771
luna,0.21,60.26,78573
weaver,0.20,54.73,63293
enchantress,0.12,45.31,20331
razor,0.09,51.12,45486
shadow-fiend,0.02,53.15,70642
sven,-0.06,59.82,132327
puck,-0.06,49.46,32183
bane,-0.10,51.21,24263
bristleback,-0.10,54.02,65029
broodmother,-0.17,44.87,16915
sniper,-0.23,56.86,156899
lina,-0.32,49.63,45092
terrorblade,-0.36,54.37,30552
naga-siren,-0.37,51.37,20142
zeus,-0.38,59.66,69485
juggernaut,-0.40,55.27,168088
venomancer,-0.43,56.72,34874
sand-king,-0.46,54.71,71744
outworld-devourer,-0.49,55.28,68431
arc-warden,-0.52,48.66,16151
pugna,-0.52,51.53,22791
ember-spirit,-0.56,46.69,40088
lone-druid,-0.57,45.02,12318
faceless-void,-0.57,52.70,101074
lion,-0.68,52.96,56663
spectre,-0.76,59.92,71720
necrophos,-0.82,59.72,64259
silencer,-0.83,58.57,49790
rubick,-0.90,51.13,36294
crystal-maiden,-0.91,59.97,51839
earthshaker,-0.91,54.93,59909
death-prophet,-0.98,51.71,32252
medusa,-1.02,56.61,57339
kunkka,-1.03,52.96,82223
disruptor,-1.09,55.83,27925
morphling,-1.09,53.16,79057
invoker,-1.10,51.57,143555
skywrath-mage,-1.11,51.58,27410
alchemist,-1.13,53.67,78332
dazzle,-1.28,56.46,30499
meepo,-1.29,52.38,29443
treant-protector,-1.32,58.08,20838
batrider,-1.35,49.74,19573
magnus,-1.41,51.43,48410
axe,-1.60,57.02,139201
clockwerk,-1.72,54.89,32818
omniknight,-1.78,64.15,56703
phoenix,-1.93,55.77,21474
underlord,-1.98,58.65,32666
witch-doctor,-2.10,54.25,39778
tidehunter,-2.50,54.58,47825
lich,-2.66,58.41,31445
enigma,-2.68,55.87,31966
timbersaw,-2.74,52.81,79280
jakiro,-2.76,57.03,24243
oracle,-2.79,46.77,16120
shadow-demon,-2.85,49.91,17220
visage,-2.94,48.43,8322
keeper-of-the-light,-2.97,54.00,21993
winter-wyvern,-3.12,49.88,17503
techies,-3.38,49.64,20451
dark-seer,-3.38,53.06,23776
earth-spirit,-3.61,45.66,11434
ancient-apparition,-4.38,53.53,26640
chen,-5.15,44.91,5449
elder-titan,-5.22,56.72,20949
io,-11.05,37.73,8098
