hero,para,rate,matches
pudge,5.67,48.95,525762
lifestealer,5.43,53.03,186157
omniknight,5.16,41.01,182172
undying,4.41,50.66,65911
batrider,3.81,56.26,46029
warlock,3.81,45.30,72036
shadow-demon,3.69,55.22,50678
pugna,3.37,54.60,61365
juggernaut,3.27,50.73,366169
ursa,3.25,46.15,205365
phoenix,3.09,49.20,56337
death-prophet,3.01,53.98,73506
lich,2.47,45.61,92556
ancient-apparition,2.39,49.78,78002
abaddon,2.34,44.25,89038
kunkka,2.29,52.28,185805
razor,2.16,54.71,107405
enigma,2.08,48.15,74153
witch-doctor,2.03,50.19,118730
sven,2.03,45.57,277497
timbersaw,1.95,51.31,178012
earth-spirit,1.94,58.32,29719
brewmaster,1.84,52.60,32317
tinker,1.84,52.55,176089
arc-warden,1.82,56.71,36726
jakiro,1.75,46.71,70610
spirit-breaker,1.73,47.38,210080
outworld-devourer,1.64,49.86,139035
visage,1.63,55.62,18665
invoker,1.48,53.26,330638
templar-assassin,1.48,54.72,89874
io,1.39,62.90,24677
meepo,1.15,52.16,68741
lycan,1.14,53.45,48672
lone-druid,1.14,59.93,30970
sniper,1.08,48.11,408477
terrorblade,1.05,50.58,68948
windranger,1.03,54.56,186630
oracle,1.03,57.06,45373
tusk,1.03,57.72,68893
doom,0.95,56.28,55857
chen,0.95,57.78,15187
lina,0.91,55.33,128801
skywrath-mage,0.87,52.93,83869
morphling,0.83,51.30,167363
huskar,0.82,53.40,193001
rubick,0.78,53.45,118503
viper,0.77,50.59,141284
winter-wyvern,0.72,53.53,50192
phantom-assassin,0.66,47.12,606738
queen-of-pain,0.64,57.36,98827
ember-spirit,0.62,57.98,88716
medusa,0.61,47.67,117807
wraith-king,0.55,43.52,218436
beastmaster,0.42,52.96,32796
gyrocopter,0.40,54.83,69035
enchantress,0.34,59.49,53867
clockwerk,0.33,48.91,72282
storm-spirit,0.31,50.08,176483
ogre-magi,0.31,45.08,144831
dark-seer,0.28,49.84,50291
chaos-knight,0.27,48.97,92850
magnus,0.16,52.54,91644
keeper-of-the-light,0.01,48.95,73473
elder-titan,-0.03,44.66,47646
leshrac,-0.11,53.44,35821
sand-king,-0.13,49.59,165194
lion,-0.17,51.22,197513
tiny,-0.18,54.03,133779
bane,-0.36,53.17,74353
venomancer,-0.44,47.42,94480
treant-protector,-0.48,45.47,55809
troll-warlord,-0.50,49.24,131965
dazzle,-0.58,47.11,100933
vengeful-spirit,-0.60,46.50,119373
phantom-lancer,-0.61,53.32,111794
centaur-warrunner,-0.72,43.53,101963
shadow-shaman,-0.81,46.04,126779
necrophos,-0.87,43.91,178781
tidehunter,-0.91,48.18,92280
clinkz,-0.96,53.01,143558
puck,-1.05,54.54,75157
spectre,-1.08,43.65,132392
crystal-maiden,-1.09,43.50,185418
earthshaker,-1.13,48.61,162593
disruptor,-1.20,47.57,82737
anti-mage,-1.22,51.36,281436
natures-prophet,-1.33,57.15,118647
night-stalker,-1.37,48.48,91616
luna,-1.62,43.65,173286
nyx-assassin,-1.67,48.25,136467
alchemist,-1.76,49.45,168167
shadow-fiend,-1.81,50.56,168854
silencer,-2.01,44.56,130904
broodmother,-2.10,58.33,42185
legion-commander,-2.11,49.01,410359
bounty-hunter,-2.25,51.88,232978
dragon-knight,-2.34,48.57,94064
slark,-2.67,46.97,381560
bristleback,-2.82,49.12,149634
slardar,-3.00,46.52,191829
mirana,-3.16,45.69,293094
naga-siren,-3.23,51.35,44827
zeus,-3.34,43.14,175049
drow-ranger,-3.45,46.17,310344
underlord,-3.75,43.01,75477
riki,-3.85,43.09,334969
bloodseeker,-3.95,46.73,275539
axe,-4.09,44.71,310884
techies,-4.75,50.72,64689
faceless-void,-6.80,48.11,211847
