hero,para,rate,matches
drow-ranger,8.28,54.59,257693
wraith-king,3.11,56.69,189077
winter-wyvern,2.89,46.40,45858
chaos-knight,2.71,50.74,77347
brewmaster,2.63,47.81,26364
beastmaster,2.49,46.64,26621
keeper-of-the-light,2.21,50.37,64083
jakiro,2.16,53.47,62589
phantom-lancer,2.09,45.54,89231
shadow-shaman,2.08,52.90,109023
axe,2.00,52.65,266570
bristleback,1.96,48.62,122213
lich,1.95,54.78,81105
lycan,1.94,46.28,39768
lone-druid,1.92,39.80,25169
witch-doctor,1.77,49.91,108279
chen,1.71,41.75,13232
vengeful-spirit,1.59,52.27,103092
naga-siren,1.54,45.88,35949
gyrocopter,1.53,44.31,50908
natures-prophet,1.43,40.95,100136
ursa,1.40,54.30,159535
lion,1.27,47.53,171884
alchemist,1.20,48.47,144119
abaddon,1.18,55.67,77881
enchantress,1.18,39.48,45129
earthshaker,1.12,49.61,147413
spectre,1.09,54.71,98296
dragon-knight,0.98,48.98,77698
doom,0.94,42.92,45947
disruptor,0.89,50.53,71815
tiny,0.89,44.52,108586
dazzle,0.86,51.29,87887
ogre-magi,0.85,53.75,136600
tidehunter,0.85,50.03,75478
bloodseeker,0.83,49.99,217382
rubick,0.79,45.57,109811
tusk,0.79,41.47,56635
treant-protector,0.75,52.94,50570
night-stalker,0.74,49.44,74565
puck,0.70,43.44,61702
lina,0.67,43.72,107073
spirit-breaker,0.66,52.01,170536
phantom-assassin,0.64,51.76,447828
enigma,0.57,51.36,64667
sven,0.52,53.86,221923
crystal-maiden,0.45,54.52,161829
earth-spirit,0.43,41.25,25932
terrorblade,0.32,48.34,51756
leshrac,0.32,44.89,29605
troll-warlord,0.27,48.88,105001
shadow-demon,0.27,45.11,44457
bane,0.22,44.98,63861
warlock,0.20,54.73,63293
legion-commander,0.20,48.27,338566
undying,0.16,49.80,57760
death-prophet,0.16,45.91,59336
windranger,0.10,44.29,141000
viper,0.10,48.08,105322
slardar,0.07,50.31,134548
io,0.02,36.32,19867
techies,0.02,45.00,55887
skywrath-mage,-0.01,45.77,69192
lifestealer,-0.09,47.89,150830
zeus,-0.11,53.55,142125
centaur-warrunner,-0.11,54.35,83829
venomancer,-0.28,50.47,76846
sand-king,-0.36,48.41,137224
clockwerk,-0.45,49.26,55767
medusa,-0.45,50.62,88151
ember-spirit,-0.46,40.47,70728
necrophos,-0.48,53.70,147904
ancient-apparition,-0.50,49.37,71676
tinker,-0.52,46.40,150555
phoenix,-0.54,50.24,44926
invoker,-0.61,45.48,267461
oracle,-0.76,41.48,39604
silencer,-0.76,52.36,108775
batrider,-0.81,43.70,35011
anti-mage,-0.81,45.87,211227
pugna,-0.82,45.05,52851
broodmother,-0.83,38.41,32250
luna,-0.87,53.41,122746
meepo,-0.92,46.25,55854
underlord,-0.92,53.07,61523
storm-spirit,-0.93,47.85,145802
queen-of-pain,-1.01,40.86,79568
huskar,-1.06,44.80,144424
pudge,-1.08,51.36,431942
visage,-1.24,42.99,15800
razor,-1.39,44.08,81179
slark,-1.54,49.21,273842
kunkka,-1.60,46.37,153627
shadow-fiend,-1.60,46.00,130288
juggernaut,-1.61,48.32,270114
omniknight,-1.71,58.30,159643
sniper,-1.73,49.76,281327
elder-titan,-1.79,52.62,42504
dark-seer,-1.80,47.66,38188
timbersaw,-2.17,46.87,132521
riki,-2.31,52.19,246917
morphling,-2.43,46.21,121363
nyx-assassin,-2.49,47.95,102936
magnus,-2.65,44.57,67604
arc-warden,-2.98,41.30,29726
outworld-devourer,-3.34,47.53,112739
faceless-void,-3.35,45.06,151780
mirana,-3.42,49.31,223310
templar-assassin,-4.17,42.48,70703
bounty-hunter,-4.50,43.14,169564
clinkz,-4.71,42.62,95616
