hero,para,rate,matches
huskar,6.22,52.00,253941
lifestealer,4.99,48.60,243942
ursa,4.89,42.76,258359
visage,4.69,53.10,22187
troll-warlord,4.08,47.34,164557
sven,4.00,42.37,381924
enchantress,3.63,57.37,66991
lycan,3.53,50.56,54505
viper,3.36,47.75,166099
meepo,3.19,49.07,96606
chen,2.93,54.82,18975
terrorblade,2.79,47.33,76933
outworld-devourer,2.73,46.29,190342
death-prophet,2.67,49.68,90798
dark-seer,2.49,46.83,63712
io,2.42,59.60,31743
broodmother,2.39,56.99,45077
leshrac,2.38,50.67,41349
brewmaster,2.21,48.69,36932
templar-assassin,2.21,51.02,109355
undying,1.94,45.39,79592
omniknight,1.89,35.92,244008
arc-warden,1.80,52.63,45703
sniper,1.65,44.34,555207
phoenix,1.56,44.42,73265
oracle,1.52,53.30,60569
riki,1.48,41.49,429129
venomancer,1.47,44.29,114353
batrider,1.42,50.91,57312
shadow-shaman,1.35,43.03,163803
clinkz,1.29,50.15,169400
jakiro,1.28,42.49,90412
anti-mage,1.17,48.54,401751
beastmaster,1.15,49.29,38802
pugna,1.12,49.36,76914
earth-spirit,1.09,53.82,40135
gyrocopter,1.08,51.15,76955
elder-titan,1.06,41.18,61493
witch-doctor,1.06,45.67,159739
lone-druid,0.96,55.86,36928
juggernaut,0.95,45.55,490404
drow-ranger,0.94,44.25,419361
techies,0.93,49.70,87059
lina,0.92,51.30,172034
lich,0.82,40.92,119105
ancient-apparition,0.82,44.99,104428
tiny,0.81,50.53,168405
ember-spirit,0.78,54.08,115367
slardar,0.78,44.32,218550
shadow-fiend,0.70,47.81,226337
bounty-hunter,0.64,49.38,272858
dazzle,0.61,43.67,137771
kunkka,0.58,47.38,250302
rubick,0.55,49.29,167578
bloodseeker,0.52,44.90,355638
earthshaker,0.46,45.38,220237
dragon-knight,0.45,45.94,112336
abaddon,0.44,39.52,114279
natures-prophet,0.34,54.14,157692
necrophos,0.33,40.51,238567
spirit-breaker,0.31,42.74,277437
legion-commander,0.22,46.16,565366
magnus,0.18,48.54,121876
faceless-void,0.13,47.67,268309
razor,0.08,49.58,128767
skywrath-mage,0.03,48.47,105240
queen-of-pain,0.03,53.04,128483
enigma,0.03,43.21,96346
bane,-0.02,49.34,96218
night-stalker,-0.04,45.13,108650
vengeful-spirit,-0.06,42.79,151358
doom,-0.12,51.70,65766
treant-protector,-0.13,41.69,68928
puck,-0.16,51.04,103096
invoker,-0.19,48.38,503113
winter-wyvern,-0.22,49.03,65205
storm-spirit,-0.23,45.82,253342
underlord,-0.25,40.66,94680
slark,-0.30,44.14,502130
alchemist,-0.37,46.16,223917
naga-siren,-0.38,48.86,50595
disruptor,-0.44,43.97,107810
crystal-maiden,-0.45,39.89,256621
silencer,-0.50,41.33,171100
chaos-knight,-0.50,44.62,108329
tusk,-0.57,52.86,82418
phantom-lancer,-0.58,49.35,129478
warlock,-0.74,39.44,90531
pudge,-0.79,42.02,747794
phantom-assassin,-0.80,42.50,848824
shadow-demon,-0.90,48.80,68446
luna,-1.01,40.04,214852
lion,-1.13,46.76,272161
weaver,-1.20,45.44,186630
nyx-assassin,-1.26,44.50,169986
sand-king,-1.33,45.04,219317
wraith-king,-1.39,38.84,294616
bristleback,-1.39,45.89,186984
timbersaw,-1.44,45.65,241205
medusa,-1.47,42.77,149232
zeus,-1.63,40.05,236055
tinker,-2.17,46.55,254512
morphling,-2.64,45.63,230518
keeper-of-the-light,-2.93,43.64,100696
tidehunter,-3.01,43.28,118900
mirana,-3.03,41.89,425831
ogre-magi,-3.52,39.57,202147
clockwerk,-4.00,42.97,92998
axe,-4.82,40.60,413546
centaur-warrunner,-6.72,37.25,131417
spectre,-7.31,37.27,172573
