hero,para,rate,matches
broodmother,4.96,36.73,36027
lycan,4.44,43.30,46041
io,4.39,34.12,23773
visage,3.82,41.15,17838
drow-ranger,3.31,47.94,388791
chen,3.21,38.42,15610
techies,2.97,42.28,70825
meepo,2.61,43.82,78569
ursa,2.48,50.77,215393
phantom-lancer,1.76,41.39,114558
wraith-king,1.67,51.83,263034
naga-siren,1.59,41.90,42159
bristleback,1.56,44.38,159763
troll-warlord,1.50,45.43,134823
brewmaster,1.47,43.24,29984
leshrac,1.39,41.39,31777
slark,1.38,46.60,432930
riki,1.32,50.08,367164
crystal-maiden,1.11,50.83,201520
legion-commander,1.04,44.64,488143
abaddon,1.00,51.53,94894
treant-protector,0.98,49.01,58482
lifestealer,0.95,44.37,211345
bloodseeker,0.81,45.94,291041
elder-titan,0.72,49.93,51381
chaos-knight,0.70,45.71,98270
anti-mage,0.60,42.54,339100
slardar,0.54,46.51,184521
natures-prophet,0.54,36.77,128656
shadow-shaman,0.51,48.05,131741
tidehunter,0.46,45.82,95172
night-stalker,0.45,45.29,89454
luna,0.35,50.04,168345
warlock,0.29,50.76,73055
enigma,0.25,47.17,79376
beastmaster,0.24,41.66,31263
undying,0.17,45.79,66980
dark-seer,0.16,44.61,46994
weaver,0.10,44.29,141000
huskar,0.09,41.38,184789
bounty-hunter,0.09,41.27,230978
sven,0.07,49.61,330171
omniknight,0.03,55.40,205909
spirit-breaker,0.03,47.67,222330
disruptor,0.00,46.08,88909
winter-wyvern,-0.01,41.16,54402
alchemist,-0.02,43.90,183731
lich,-0.02,49.71,96768
lone-druid,-0.03,35.29,30196
phantom-assassin,-0.10,47.37,663770
sand-king,-0.18,44.51,178182
dragon-knight,-0.18,44.43,94310
terrorblade,-0.21,44.10,64892
vengeful-spirit,-0.28,47.31,125218
pudge,-0.28,47.77,600132
venomancer,-0.30,46.46,88129
axe,-0.32,47.46,361955
clockwerk,-0.37,45.31,71103
spectre,-0.39,49.92,154165
enchantress,-0.42,35.13,51054
clinkz,-0.46,40.60,126148
faceless-void,-0.47,42.45,219706
tusk,-0.54,37.12,66420
ancient-apparition,-0.58,45.35,86886
witch-doctor,-0.59,44.77,129211
doom,-0.60,38.42,57039
centaur-warrunner,-0.60,50.10,106423
jakiro,-0.79,47.94,73959
gyrocopter,-0.80,39.42,59275
pugna,-0.91,41.10,61006
earthshaker,-0.92,44.65,190416
templar-assassin,-0.95,40.03,79293
phoenix,-1.00,46.04,56246
death-prophet,-1.03,41.45,64795
ogre-magi,-1.06,48.77,175320
skywrath-mage,-1.11,41.36,82310
juggernaut,-1.12,44.61,415513
viper,-1.20,43.52,120019
necrophos,-1.33,49.28,185141
oracle,-1.35,37.43,48875
dazzle,-1.39,46.19,111289
earth-spirit,-1.40,36.73,33206
storm-spirit,-1.41,43.69,171286
nyx-assassin,-1.46,44.51,133396
batrider,-1.57,39.51,42425
medusa,-1.58,46.10,112677
shadow-fiend,-1.60,42.10,160215
zeus,-1.66,48.78,166182
underlord,-1.71,48.70,75568
tiny,-1.73,39.51,134707
mirana,-1.81,46.20,302997
queen-of-pain,-1.91,36.73,86253
ember-spirit,-1.99,36.12,86872
razor,-2.03,39.94,96306
silencer,-2.06,47.75,135759
magnus,-2.14,40.94,85838
bane,-2.21,40.05,78784
lion,-2.33,41.96,219887
sniper,-2.34,45.53,386388
lina,-2.41,38.58,123146
keeper-of-the-light,-2.49,44.15,82512
arc-warden,-2.66,37.67,34254
puck,-2.71,38.19,69837
shadow-demon,-2.75,39.93,56602
timbersaw,-2.86,42.67,184497
rubick,-2.91,40.07,144372
morphling,-3.10,42.04,181202
invoker,-3.83,40.21,334730
outworld-devourer,-4.13,43.31,129213
tinker,-4.17,40.90,174871
kunkka,-4.22,41.33,196442
