hero,para,rate,matches
meepo,15.06,55.71,50181
legion-commander,5.42,49.46,168579
beastmaster,4.29,51.72,12558
riki,3.45,43.16,101518
drow-ranger,3.40,46.21,118166
vengeful-spirit,3.37,45.14,48372
troll-warlord,2.93,47.70,42064
kunkka,2.57,49.20,71755
lifestealer,2.47,48.32,67530
wraith-king,2.27,41.13,75135
invoker,2.18,50.42,123613
enigma,2.12,44.98,30063
sven,2.11,42.46,118040
chaos-knight,2.07,46.65,35827
shadow-shaman,1.97,44.16,44581
crystal-maiden,1.79,41.64,68915
techies,1.73,50.98,20639
bloodseeker,1.16,46.05,88974
tidehunter,1.16,46.01,37882
witch-doctor,0.92,46.48,48073
ogre-magi,0.90,42.23,56384
spirit-breaker,0.87,43.83,69374
slardar,0.84,45.21,62656
elder-titan,0.82,41.93,20443
ursa,0.78,41.93,73928
nyx-assassin,0.76,46.27,50757
jakiro,0.70,43.10,28678
shadow-fiend,0.69,48.68,59327
treant-protector,0.64,42.86,22350
disruptor,0.63,45.30,35116
shadow-demon,0.59,50.40,24337
rubick,0.55,50.16,53963
tiny,0.54,51.27,46334
templar-assassin,0.53,51.05,31244
abaddon,0.50,40.38,33882
mirana,0.49,44.27,113278
faceless-void,0.46,48.70,79836
tusk,0.46,54.27,22655
earthshaker,0.42,46.22,61966
magnus,0.42,49.52,39462
lion,0.36,48.33,78324
broodmother,0.31,56.69,15621
visage,0.27,51.73,9213
windranger,0.21,50.97,65205
io,0.17,59.13,9893
juggernaut,0.12,46.04,130463
night-stalker,0.00,46.02,32146
bristleback,-0.01,47.40,49003
brewmaster,-0.14,48.44,13160
slark,-0.17,45.05,129511
arc-warden,-0.23,52.45,16040
omniknight,-0.27,35.95,74500
phantom-assassin,-0.40,43.52,199205
terrorblade,-0.42,46.71,26106
storm-spirit,-0.44,46.58,67313
dragon-knight,-0.44,46.39,33130
viper,-0.44,46.85,44054
pudge,-0.48,43.00,180897
clinkz,-0.48,50.15,48012
lich,-0.49,41.23,35635
medusa,-0.51,44.04,43022
clockwerk,-0.66,45.32,27770
underlord,-0.71,41.31,29437
earth-spirit,-0.73,53.71,12054
lycan,-0.73,49.34,18264
morphling,-0.77,47.36,61694
centaur-warrunner,-0.81,40.44,38227
weaver,-0.82,46.47,50192
dazzle,-0.83,43.89,43965
ember-spirit,-0.86,54.06,30381
luna,-0.86,40.94,60338
bounty-hunter,-0.89,49.49,72420
silencer,-0.95,41.98,55862
lone-druid,-1.07,55.58,11162
oracle,-1.08,52.79,21503
skywrath-mage,-1.20,48.73,32207
venomancer,-1.24,43.95,34171
razor,-1.35,49.73,37931
necrophos,-1.36,40.65,65459
chen,-1.53,53.30,5790
dark-seer,-1.66,45.78,21115
batrider,-1.70,50.19,19593
lina,-1.73,50.80,45984
ancient-apparition,-1.75,44.68,34644
puck,-1.89,51.01,27488
zeus,-1.92,40.75,59395
keeper-of-the-light,-1.94,44.92,29114
phantom-lancer,-2.00,49.49,36558
doom,-2.12,51.51,19623
outworld-devourer,-2.26,44.88,56266
huskar,-2.37,48.64,62046
queen-of-pain,-2.40,52.60,35770
axe,-2.41,42.46,107824
bane,-2.50,48.96,29411
phoenix,-2.52,43.47,22221
warlock,-2.65,39.50,29582
leshrac,-2.84,48.93,14703
sand-king,-2.98,45.12,62430
naga-siren,-3.04,48.40,17639
sniper,-3.20,43.05,123073
natures-prophet,-3.29,53.02,43700
undying,-3.45,43.82,25639
tinker,-3.47,46.77,67124
alchemist,-3.53,45.53,62358
pugna,-3.54,47.92,24434
spectre,-3.63,39.56,45925
gyrocopter,-3.90,49.47,24293
enchantress,-4.20,53.86,19970
anti-mage,-4.90,46.46,100078
death-prophet,-5.18,46.71,27669
timbersaw,-9.39,42.75,63571
