hero,para,rate,matches
lycan,5.09,44.45,15382
naga-siren,4.91,44.15,15707
anti-mage,4.51,45.08,103707
drow-ranger,3.91,49.12,91706
phantom-lancer,3.87,43.12,34879
death-prophet,3.64,44.29,22500
undying,3.56,48.24,19923
night-stalker,3.53,47.57,27387
terrorblade,3.35,46.56,22881
meepo,3.33,45.01,25573
viper,3.15,46.32,38311
arc-warden,3.06,40.74,13575
outworld-devourer,2.91,47.38,52123
clinkz,2.90,42.84,40622
weaver,2.89,46.40,45858
enchantress,2.85,37.10,15475
slark,2.82,48.15,127844
razor,2.78,42.77,33574
timbersaw,2.73,46.00,62328
alchemist,2.65,45.96,59336
tinker,2.42,44.58,63944
bristleback,2.39,45.63,45642
bloodseeker,2.36,47.53,71979
phantom-assassin,2.20,49.34,173023
tiny,2.11,41.91,40484
pudge,2.06,49.78,152048
morphling,2.05,45.14,61232
ursa,2.02,51.43,57345
slardar,1.80,47.98,53778
templar-assassin,1.79,41.99,28521
ember-spirit,1.70,38.30,31818
sniper,1.66,48.28,110411
doom,1.64,40.12,16932
spectre,1.49,51.74,49909
troll-warlord,1.47,46.28,35932
chaos-knight,1.40,46.90,29245
huskar,1.39,42.77,48999
luna,1.39,51.44,53761
gyrocopter,1.28,41.10,21377
leshrac,1.27,42.19,10970
storm-spirit,1.20,45.71,63566
natures-prophet,1.10,37.79,33123
brewmaster,1.03,43.91,11561
broodmother,0.97,36.14,13493
dragon-knight,0.95,45.79,31279
riki,0.88,50.73,86069
bounty-hunter,0.82,42.42,54277
mirana,0.72,48.26,89461
ogre-magi,0.66,50.49,31248
sven,0.61,50.75,89774
lifestealer,0.51,45.04,57428
juggernaut,0.20,46.07,124102
silencer,0.16,49.70,34254
clockwerk,0.13,46.40,24652
batrider,0.11,41.03,15661
nyx-assassin,0.10,46.08,43034
lone-druid,0.06,36.12,9383
windranger,-0.01,41.16,54402
necrophos,-0.05,50.79,45543
invoker,-0.15,42.59,115304
vengeful-spirit,-0.38,48.13,26848
spirit-breaker,-0.43,48.31,56244
axe,-0.53,48.22,97609
centaur-warrunner,-0.72,50.90,33426
queen-of-pain,-0.79,37.96,31849
legion-commander,-0.90,44.64,111772
wraith-king,-0.99,51.34,69707
venomancer,-1.23,46.88,23894
shadow-fiend,-1.24,43.09,53319
beastmaster,-1.39,41.82,10166
sand-king,-1.51,44.76,50285
abaddon,-1.59,51.06,26891
faceless-void,-1.60,42.81,66593
medusa,-1.88,46.80,40981
treant-protector,-1.90,48.47,14610
omniknight,-1.90,55.17,37614
dark-seer,-2.02,44.48,17189
shadow-shaman,-2.05,47.68,23953
tusk,-2.33,37.25,18442
lina,-2.41,39.39,32934
zeus,-2.50,49.21,47841
earthshaker,-2.51,44.77,43487
kunkka,-2.65,42.84,60364
bane,-2.77,40.64,17232
underlord,-2.92,48.95,24048
warlock,-3.12,49.88,17503
magnus,-3.32,41.26,32329
dazzle,-3.47,46.05,20363
witch-doctor,-3.75,44.18,24816
puck,-4.07,38.45,24470
elder-titan,-4.11,48.36,14983
skywrath-mage,-4.14,40.90,19445
oracle,-4.46,37.03,12067
jakiro,-4.49,46.98,16547
lion,-4.69,41.76,38396
pugna,-4.92,40.24,16413
lich,-5.02,48.05,21312
rubick,-5.43,39.83,25924
shadow-demon,-5.72,39.50,11650
phoenix,-5.86,44.59,15305
crystal-maiden,-5.93,48.10,32940
enigma,-6.31,44.90,20431
disruptor,-6.60,43.84,18054
keeper-of-the-light,-6.82,43.00,15080
earth-spirit,-8.04,35.00,8623
ancient-apparition,-8.88,42.35,19060
techies,-8.94,38.16,15900
tidehunter,-9.99,41.83,32233
visage,-10.42,36.25,7412
chen,-10.72,33.96,4320
io,-22.12,26.05,6713
