hero,para,rate,matches
centaur-warrunner,5.02,46.88,91385
underlord,3.68,47.16,67881
axe,3.57,49.12,279052
necrophos,3.37,46.61,167208
crystal-maiden,3.02,46.13,193271
enigma,2.62,49.23,70340
troll-warlord,2.58,51.58,96457
viper,2.55,52.31,105282
night-stalker,2.41,51.16,71702
dragon-knight,2.36,51.73,76178
huskar,2.36,55.03,141687
wraith-king,2.34,45.10,189264
tiny,2.32,56.20,109730
spirit-breaker,2.29,48.46,177109
venomancer,2.01,49.40,80985
shadow-shaman,1.99,48.16,120700
treant-protector,1.76,47.31,50566
ogre-magi,1.76,46.55,154355
slardar,1.76,49.62,145629
razor,1.66,55.25,89272
beastmaster,1.60,54.40,28713
chaos-knight,1.55,50.41,73688
doom,1.47,57.37,46609
spectre,1.42,45.56,120785
dazzle,1.31,48.82,107041
outworld-devourer,1.26,50.49,130113
sand-king,1.20,51.06,155982
jakiro,1.12,47.23,68606
legion-commander,1.09,51.42,351569
io,1.08,63.47,22905
pudge,1.01,47.60,489285
queen-of-pain,0.98,58.35,80654
bane,0.95,54.67,72326
lone-druid,0.95,60.60,25997
lifestealer,0.94,51.58,157548
alchemist,0.93,51.62,142913
brewmaster,0.89,52.93,26559
batrider,0.86,55.47,41454
pugna,0.85,54.08,55594
anti-mage,0.85,53.25,245402
enchantress,0.78,60.53,45050
templar-assassin,0.76,55.14,72654
ursa,0.69,45.81,157229
gyrocopter,0.57,55.72,52556
clockwerk,0.57,49.84,66807
timbersaw,0.56,51.41,158698
leshrac,0.53,54.59,30121
shadow-fiend,0.53,52.57,142881
undying,0.49,49.56,60088
skywrath-mage,0.46,53.52,74541
lina,0.43,55.86,111475
oracle,0.41,57.50,45983
bloodseeker,0.36,49.64,209148
bristleback,0.35,51.53,124919
sven,0.33,45.61,238776
storm-spirit,0.30,50.89,162447
vengeful-spirit,0.22,47.69,112747
lycan,0.21,53.76,36511
tidehunter,0.19,49.52,94197
dark-seer,0.18,50.59,47170
rubick,0.17,53.93,135101
terrorblade,0.17,50.94,53694
earthshaker,0.16,50.06,155130
earth-spirit,0.13,58.07,29471
zeus,0.13,45.49,150215
disruptor,0.08,48.99,86773
phoenix,0.06,48.56,54298
luna,-0.01,45.17,145851
techies,-0.03,54.03,51851
lion,-0.05,52.09,206670
arc-warden,-0.05,56.46,33155
abaddon,-0.10,43.99,78133
meepo,-0.14,52.30,61914
tusk,-0.20,57.80,54637
omniknight,-0.22,39.68,174827
nyx-assassin,-0.24,49.75,121411
death-prophet,-0.31,53.04,64376
keeper-of-the-light,-0.31,49.60,71966
bounty-hunter,-0.50,53.60,178534
ember-spirit,-0.53,58.10,75345
chen,-0.57,57.69,13348
magnus,-0.59,52.95,86967
puck,-0.64,55.56,65684
tinker,-0.69,52.04,161045
kunkka,-0.69,51.56,173788
juggernaut,-0.70,49.57,318677
elder-titan,-0.72,45.14,47815
invoker,-0.78,52.87,321054
winter-wyvern,-0.79,53.52,48073
windranger,-0.87,54.33,159739
lich,-0.96,44.88,93122
naga-siren,-1.06,53.29,36579
ancient-apparition,-1.06,48.89,81620
medusa,-1.07,47.68,101007
shadow-demon,-1.13,53.45,53667
drow-ranger,-1.78,47.76,255989
broodmother,-1.91,59.20,30497
weaver,-1.97,49.81,118730
slark,-2.03,48.07,323880
phantom-lancer,-2.08,53.31,82001
mirana,-2.08,46.98,271296
visage,-2.10,54.35,16654
silencer,-2.14,45.29,141426
morphling,-2.20,50.55,155655
warlock,-2.25,43.43,72665
clinkz,-2.32,53.06,107578
sniper,-2.58,47.16,314963
phantom-assassin,-3.01,46.18,476294
faceless-void,-3.06,50.82,191912
natures-prophet,-3.37,56.72,105395
riki,-4.24,43.68,252924
