hero,para,rate,matches
meepo,2.71,48.76,51668
undying,2.50,51.78,48002
lone-druid,2.22,40.70,20761
phantom-lancer,2.15,46.37,78908
phantom-assassin,2.03,53.29,448762
night-stalker,2.01,50.89,62031
lycan,2.00,47.12,30823
naga-siren,1.95,46.88,30644
alchemist,1.95,49.65,136944
vengeful-spirit,1.89,53.25,63273
natures-prophet,1.80,41.89,77874
weaver,1.77,49.91,108279
templar-assassin,1.76,45.92,65924
beastmaster,1.76,47.12,22577
storm-spirit,1.76,49.97,148146
slark,1.63,51.60,307620
drow-ranger,1.61,52.05,222967
chaos-knight,1.59,51.00,69922
terrorblade,1.59,49.77,47880
pugna,1.57,46.95,35631
anti-mage,1.43,47.72,239091
underlord,1.40,55.12,53271
dragon-knight,1.30,49.94,71725
abaddon,1.28,56.53,64765
ursa,1.27,55.04,142357
brewmaster,1.21,47.96,22888
luna,1.21,55.34,130555
tiny,1.17,45.45,92629
leshrac,1.08,46.04,21025
chen,1.06,42.27,8311
wraith-king,0.92,56.29,180425
spirit-breaker,0.82,52.90,143899
slardar,0.81,51.49,125885
riki,0.80,54.67,210569
razor,0.76,45.84,76089
clinkz,0.71,45.84,94139
tusk,0.68,42.22,41923
mirana,0.60,52.18,203057
lifestealer,0.60,49.03,139196
death-prophet,0.59,46.91,51908
troll-warlord,0.57,49.84,84044
clockwerk,0.55,50.56,56151
shadow-fiend,0.54,47.80,127345
doom,0.50,43.52,38775
medusa,0.45,51.88,97493
legion-commander,0.39,49.17,297536
necrophos,0.38,54.96,111177
omniknight,0.35,60.30,91165
sniper,0.33,51.61,272526
juggernaut,0.33,50.08,299031
bristleback,0.32,48.64,114386
pudge,0.27,52.86,374177
sven,0.27,54.53,227945
spectre,0.24,55.05,120896
gyrocopter,0.20,44.53,45572
viper,0.17,48.92,92442
shadow-shaman,0.16,52.71,54267
centaur-warrunner,0.14,55.29,78787
arc-warden,0.12,43.41,25818
broodmother,0.07,39.52,25827
huskar,0.05,46.11,119245
dazzle,0.01,51.66,45396
magnus,-0.07,46.55,80707
jakiro,-0.11,53.08,35802
zeus,-0.11,54.35,117729
ogre-magi,-0.15,54.02,74724
treant-protector,-0.33,53.18,32697
ember-spirit,-0.37,41.29,71281
dark-seer,-0.38,49.15,35123
faceless-void,-0.50,47.18,262124
windranger,-0.59,44.77,129211
puck,-0.61,43.66,55724
venomancer,-0.63,51.09,53097
enchantress,-0.64,39.54,31609
bloodseeker,-0.66,50.04,175126
nyx-assassin,-0.67,49.64,93366
batrider,-0.70,44.54,30776
morphling,-0.76,47.79,142518
queen-of-pain,-0.95,41.66,71825
tidehunter,-1.04,49.89,80975
bounty-hunter,-1.06,45.48,129905
outworld-devourer,-1.15,49.40,120570
sand-king,-1.16,48.82,114771
silencer,-1.17,52.94,82307
axe,-1.29,51.75,243372
earth-spirit,-1.40,41.26,18612
tinker,-1.42,46.77,141639
timbersaw,-1.55,47.96,143968
lina,-1.76,43.44,74672
invoker,-1.78,45.73,278816
phoenix,-1.87,50.36,36389
kunkka,-2.08,46.93,141773
warlock,-2.10,54.25,39778
earthshaker,-2.26,48.74,93451
bane,-2.36,44.61,37799
elder-titan,-2.38,53.08,33088
disruptor,-2.60,49.57,40673
enigma,-2.70,50.47,54207
crystal-maiden,-2.80,53.53,78544
rubick,-3.17,44.55,56403
visage,-3.30,42.86,11268
oracle,-3.36,41.15,23113
skywrath-mage,-3.37,45.00,42833
keeper-of-the-light,-3.73,48.22,34146
winter-wyvern,-3.75,44.18,24816
lion,-3.80,45.92,81781
lich,-3.94,52.38,48518
techies,-5.24,43.39,34869
ancient-apparition,-5.81,47.49,40902
shadow-demon,-5.95,43.06,24138
io,-7.85,34.15,12694
