hero,para,rate,matches
techies,5.07,62.92,109389
zeus,5.06,53.98,266269
bloodseeker,4.88,58.10,434393
legion-commander,4.10,59.11,736836
huskar,4.01,62.00,288702
pudge,3.74,55.06,863110
clinkz,3.35,62.17,209085
puck,3.34,63.74,114485
skywrath-mage,3.22,61.04,121510
queen-of-pain,3.02,65.38,143201
tiny,2.94,62.52,200057
axe,2.85,54.89,519786
spirit-breaker,2.63,54.73,336931
centaur-warrunner,2.59,51.89,155980
silencer,2.53,53.55,207740
tinker,2.52,59.75,284365
gyrocopter,2.50,62.73,91629
spectre,2.42,52.10,235758
earth-spirit,2.27,65.12,45615
ember-spirit,2.25,65.50,133036
drow-ranger,2.07,55.70,479949
tusk,2.07,64.91,96736
shadow-fiend,2.03,59.36,265389
sven,2.01,52.44,492907
phantom-assassin,2.00,54.64,1025057
ursa,1.97,52.45,311379
doom,1.87,63.44,84265
luna,1.66,51.96,256805
io,1.57,69.24,37359
necrophos,1.55,51.82,288249
kunkka,1.52,58.69,288229
enchantress,1.45,66.57,76294
viper,1.39,57.71,196481
night-stalker,1.24,56.58,132777
lina,1.13,62.10,192608
storm-spirit,1.07,57.26,279590
clockwerk,1.06,56.08,105157
earthshaker,1.03,56.48,257702
windranger,0.91,61.16,294616
chen,0.85,64.23,22110
enigma,0.84,54.37,117664
bane,0.83,60.49,112038
leshrac,0.74,60.57,48466
magnus,0.73,59.56,143266
venomancer,0.69,54.75,133606
troll-warlord,0.66,56.59,201186
disruptor,0.48,55.16,123690
death-prophet,0.47,59.34,117138
natures-prophet,0.37,64.57,184584
bounty-hunter,0.34,59.92,315748
sniper,0.28,54.50,635628
batrider,0.28,60.97,65320
lifestealer,0.21,57.14,313569
dragon-knight,0.07,56.50,144244
pugna,0.03,59.49,91421
elder-titan,0.02,51.42,72158
vengeful-spirit,-0.07,53.50,172795
templar-assassin,-0.09,60.48,130953
juggernaut,-0.10,55.80,617504
timbersaw,-0.10,56.99,284707
mirana,-0.12,53.87,466738
lone-druid,-0.20,65.46,44679
ancient-apparition,-0.20,55.25,123179
arc-warden,-0.22,62.09,52652
faceless-void,-0.23,58.17,323938
shadow-shaman,-0.32,53.00,193254
bristleback,-0.36,57.06,240760
weaver,-0.42,56.48,218436
visage,-0.54,60.97,26012
lich,-0.66,50.92,154580
razor,-0.66,59.78,156572
lycan,-0.76,59.04,66348
morphling,-1.06,56.97,258122
alchemist,-1.08,56.44,273335
slardar,-1.11,54.10,265618
sand-king,-1.11,55.75,259776
riki,-1.25,50.91,522215
crystal-maiden,-1.32,50.04,296498
phoenix,-1.49,53.66,85114
winter-wyvern,-1.53,58.87,75135
oracle,-1.54,62.01,66525
abaddon,-1.59,49.17,152807
brewmaster,-1.74,57.32,44868
warlock,-1.75,49.49,110627
ogre-magi,-1.76,50.78,236497
witch-doctor,-1.85,54.90,189264
shadow-demon,-2.33,58.49,74337
slark,-2.65,53.55,605825
chaos-knight,-2.80,54.02,141922
medusa,-2.82,52.61,179908
tidehunter,-2.91,53.75,144934
broodmother,-2.96,63.94,54524
naga-siren,-3.11,57.85,62620
rubick,-3.12,57.81,192148
dark-seer,-3.13,54.66,74741
beastmaster,-3.15,57.52,47428
lion,-3.15,56.17,373831
treant-protector,-3.25,50.74,82956
dazzle,-3.38,52.31,157192
jakiro,-3.43,50.85,106053
terrorblade,-3.54,54.76,95202
meepo,-3.58,56.17,110840
nyx-assassin,-3.61,53.79,216693
underlord,-3.73,49.51,110967
outworld-devourer,-4.45,53.31,221749
undying,-4.52,52.76,98024
omniknight,-5.53,43.07,285310
invoker,-5.72,55.76,568316
anti-mage,-7.50,54.27,630037
keeper-of-the-light,-7.60,51.46,158824
phantom-lancer,-10.50,53.94,246042
