hero,para,rate,matches
techies,3.79,53.70,87147
sniper,3.72,59.48,576842
gyrocopter,3.55,52.16,73852
weaver,3.11,56.69,189077
io,3.01,44.06,32488
riki,2.99,61.85,435908
clinkz,2.81,52.91,186725
shadow-fiend,2.78,54.98,236797
kunkka,2.73,55.35,235639
troll-warlord,2.46,56.85,149866
magnus,2.11,53.64,114195
ancient-apparition,2.04,57.50,115104
bloodseeker,2.03,57.44,320710
razor,1.88,52.41,132100
viper,1.84,55.79,169582
tiny,1.74,51.74,150302
tusk,1.74,48.65,78177
enchantress,1.69,46.39,65239
windranger,1.67,51.83,263034
elder-titan,1.66,61.20,58147
lich,1.66,61.36,151221
lina,1.64,50.97,183515
chen,1.59,48.47,17759
huskar,1.57,52.85,223186
phantom-assassin,1.55,59.02,738606
death-prophet,1.54,53.40,113520
jakiro,1.47,59.87,96812
sven,1.38,61.04,300347
venomancer,1.35,58.09,119936
ursa,1.34,60.98,235950
queen-of-pain,1.30,48.57,136418
terrorblade,1.26,55.62,69381
zeus,1.18,60.95,256664
warlock,1.17,61.92,101557
crystal-maiden,1.16,61.58,289360
timbersaw,1.08,55.25,231406
medusa,0.98,58.12,134217
bristleback,0.97,54.96,172495
phoenix,0.96,57.77,79521
sand-king,0.95,55.86,219345
witch-doctor,0.92,56.29,180425
phantom-lancer,0.90,51.81,123588
ember-spirit,0.77,47.68,112991
undying,0.72,56.85,79373
visage,0.72,50.62,21779
earthshaker,0.64,56.16,227353
disruptor,0.64,57.17,116258
tinker,0.60,53.71,275683
axe,0.58,58.64,347125
lycan,0.53,52.43,47560
shadow-shaman,0.48,58.79,179054
skywrath-mage,0.48,52.77,112554
pugna,0.48,52.42,83602
invoker,0.45,52.74,518988
leshrac,0.42,51.71,43700
enigma,0.39,57.99,85680
dark-seer,0.38,55.49,65112
puck,0.32,50.02,110869
spirit-breaker,0.30,58.52,248839
vengeful-spirit,0.22,58.27,153443
abaddon,0.16,61.68,125697
dragon-knight,0.13,55.31,101358
broodmother,0.04,45.33,46531
keeper-of-the-light,0.04,56.04,111884
alchemist,-0.00,54.65,225125
natures-prophet,-0.01,47.01,145684
earth-spirit,-0.04,47.72,38175
beastmaster,-0.16,52.17,36516
mirana,-0.17,57.66,419734
luna,-0.21,60.36,196420
slardar,-0.32,56.81,196799
drow-ranger,-0.54,56.82,387175
bounty-hunter,-0.60,51.61,282797
centaur-warrunner,-0.61,60.63,114056
brewmaster,-0.66,52.98,35342
doom,-0.68,48.89,58979
templar-assassin,-0.68,50.72,116121
ogre-magi,-0.80,59.46,210229
tidehunter,-0.83,55.87,110666
pudge,-0.88,58.08,711488
chaos-knight,-0.89,55.63,97808
night-stalker,-0.91,55.31,100578
lone-druid,-0.91,45.23,32993
underlord,-0.91,59.64,90727
spectre,-0.93,60.16,152988
winter-wyvern,-0.99,51.34,69707
slark,-1.00,56.13,453550
dazzle,-1.03,56.96,152188
bane,-1.10,51.06,104471
lifestealer,-1.16,54.05,179693
clockwerk,-1.18,55.55,86682
rubick,-1.23,51.32,183413
batrider,-1.27,50.14,58183
necrophos,-1.32,59.77,263547
nyx-assassin,-1.38,55.13,172729
legion-commander,-1.42,54.14,425593
lion,-1.47,52.89,285735
silencer,-1.53,58.51,192638
outworld-devourer,-1.74,54.94,194267
meepo,-1.77,52.48,92158
arc-warden,-1.84,48.37,45072
juggernaut,-2.46,54.48,420471
treant-protector,-2.55,57.70,69998
naga-siren,-2.66,50.55,48472
omniknight,-2.73,63.85,262784
morphling,-2.79,52.60,197933
faceless-void,-2.81,51.88,218206
shadow-demon,-3.34,50.01,66486
anti-mage,-3.50,51.14,339474
storm-spirit,-3.90,52.90,257057
oracle,-4.30,46.40,60781
