hero,para,rate,matches
sand-king,5.14,57.85,215945
crystal-maiden,4.04,51.33,228199
axe,3.89,54.02,390689
outworld-devourer,3.63,56.41,182184
mirana,3.63,54.47,397821
shadow-fiend,3.55,58.85,207735
luna,3.55,51.50,208763
morphling,3.48,58.19,206399
timbersaw,3.28,57.51,230646
naga-siren,2.98,60.11,48685
terrorblade,2.79,56.96,75399
weaver,2.69,56.86,175049
slardar,2.49,54.67,203144
drow-ranger,2.29,54.42,396514
puck,2.20,61.70,93688
phantom-lancer,2.14,60.20,127614
tinker,2.01,58.08,244816
enigma,1.91,53.56,86922
vengeful-spirit,1.89,53.15,142025
riki,1.82,51.10,469140
bloodseeker,1.80,55.01,323571
earthshaker,1.71,55.48,207602
bounty-hunter,1.69,59.37,286506
shadow-demon,1.50,59.44,66782
queen-of-pain,1.47,63.10,120328
winter-wyvern,1.37,59.25,59395
sniper,1.36,53.70,532614
gyrocopter,1.35,60.69,72509
leshrac,1.33,59.58,40010
venomancer,1.32,53.71,112455
lich,1.31,50.54,113483
windranger,1.12,59.95,236055
magnus,1.06,58.40,111956
phantom-assassin,1.06,52.74,767583
bane,1.04,59.27,90497
io,1.04,67.66,29210
tiny,0.97,59.98,157320
jakiro,0.95,51.77,85799
ancient-apparition,0.93,54.49,98174
kunkka,0.91,56.98,235204
lone-druid,0.90,64.91,34689
dark-seer,0.79,55.50,60269
earth-spirit,0.75,62.85,38259
lina,0.74,60.54,168314
tidehunter,0.72,54.39,120152
enchantress,0.69,64.81,63829
natures-prophet,0.65,63.47,145000
necrophos,0.64,49.98,226091
keeper-of-the-light,0.64,54.67,94279
omniknight,0.62,44.50,220868
underlord,0.61,50.36,96721
sven,0.47,50.27,335496
faceless-void,0.47,57.23,251329
lion,0.42,56.89,249131
troll-warlord,0.40,55.07,147026
dragon-knight,0.38,55.31,108247
razor,0.29,59.02,126687
disruptor,0.28,53.68,101249
ogre-magi,0.19,50.41,189168
nyx-assassin,0.16,54.52,174666
batrider,0.12,59.55,55089
bristleback,0.10,55.96,175509
death-prophet,0.06,57.77,86837
witch-doctor,-0.11,54.51,150215
beastmaster,-0.13,57.98,37369
shadow-shaman,-0.18,51.70,150862
night-stalker,-0.19,54.42,102304
clinkz,-0.26,58.67,166798
doom,-0.31,60.79,64476
skywrath-mage,-0.32,57.61,99966
tusk,-0.32,62.11,76126
centaur-warrunner,-0.35,49.03,124007
invoker,-0.37,57.59,458006
spirit-breaker,-0.40,51.74,260393
arc-warden,-0.42,60.67,43136
undying,-0.46,53.65,77897
slark,-0.49,53.38,459860
clockwerk,-0.60,53.81,91439
broodmother,-0.68,64.20,45489
dazzle,-0.76,52.37,123898
oracle,-1.17,60.96,57100
techies,-1.21,57.85,106820
brewmaster,-1.23,56.30,34884
elder-titan,-1.28,49.40,61535
legion-commander,-1.32,54.70,496325
pugna,-1.33,57.36,84766
chen,-1.50,61.47,18161
abaddon,-1.55,47.83,106431
medusa,-1.58,51.94,136636
ember-spirit,-1.60,61.78,105624
warlock,-1.86,48.08,87567
silencer,-1.89,49.89,178657
chaos-knight,-1.91,53.18,105510
rubick,-1.96,57.20,171918
viper,-2.00,54.45,162345
phoenix,-2.17,51.95,70565
treant-protector,-2.23,49.93,66409
storm-spirit,-2.31,54.02,233690
spectre,-2.50,48.25,167678
templar-assassin,-2.55,57.70,106766
lycan,-2.56,56.67,51369
ursa,-2.62,48.75,232511
pudge,-2.77,50.27,677066
alchemist,-2.79,54.14,197056
visage,-3.85,57.68,21830
meepo,-4.69,54.24,88334
juggernaut,-4.70,51.93,459080
wraith-king,-5.35,46.02,266269
lifestealer,-7.01,51.76,220404
anti-mage,-7.84,52.84,361519
huskar,-8.05,53.58,229847
