hero,para,rate,matches
spectre,3.20,61.31,204114
centaur-warrunner,2.68,61.28,110630
natures-prophet,2.52,46.80,124964
slark,2.39,56.66,427957
tidehunter,1.87,56.01,104406
riki,1.81,59.80,355854
juggernaut,1.76,55.45,420471
omniknight,1.69,65.48,174870
morphling,1.64,53.60,178859
anti-mage,1.57,52.43,336083
spirit-breaker,1.53,57.88,231896
abaddon,1.51,61.18,93099
mirana,1.43,57.21,270504
necrophos,1.33,60.03,167278
faceless-void,1.28,52.66,232849
legion-commander,1.27,54.23,472087
pugna,1.26,51.44,57176
wraith-king,1.18,60.95,256664
tusk,1.16,46.98,62493
treant-protector,1.13,58.53,53847
io,1.09,41.88,21053
ancient-apparition,0.92,55.50,81642
chen,0.90,46.76,13649
bristleback,0.85,53.52,156694
chaos-knight,0.84,55.23,97818
ogre-magi,0.82,59.09,151446
doom,0.81,48.23,56305
clockwerk,0.73,55.25,74259
dragon-knight,0.63,54.22,90730
night-stalker,0.55,54.76,86488
shadow-shaman,0.49,57.44,114348
clinkz,0.46,50.32,129750
undying,0.45,55.33,66101
rubick,0.45,50.81,121307
enigma,0.44,56.66,70700
bloodseeker,0.42,55.17,331554
nyx-assassin,0.41,54.77,139529
pudge,0.38,57.47,522168
disruptor,0.31,55.62,77684
beastmaster,0.23,51.00,31257
axe,0.22,57.09,359658
silencer,0.18,58.19,125111
sven,0.14,58.96,322035
crystal-maiden,0.13,59.63,184948
keeper-of-the-light,0.10,54.71,75132
underlord,0.09,58.91,80312
bounty-hunter,0.09,50.59,227349
lycan,-0.06,50.74,44814
elder-titan,-0.06,58.84,52414
lifestealer,-0.10,53.27,200665
weaver,-0.11,53.55,142125
witch-doctor,-0.11,54.35,117729
sand-king,-0.14,53.88,178928
dazzle,-0.15,56.12,95816
shadow-demon,-0.15,50.29,50287
phantom-assassin,-0.17,56.67,635303
lion,-0.19,52.21,191754
brewmaster,-0.20,51.86,29078
techies,-0.23,50.25,65308
luna,-0.25,59.02,174677
naga-siren,-0.27,50.41,41794
lone-druid,-0.34,44.13,29409
phantom-lancer,-0.37,49.78,114192
warlock,-0.38,59.66,69485
oracle,-0.38,46.93,44095
bane,-0.39,50.06,71410
timbersaw,-0.42,53.07,186837
earthshaker,-0.43,54.20,177602
troll-warlord,-0.60,53.80,128107
terrorblade,-0.79,53.14,65886
tiny,-0.90,49.04,126182
magnus,-0.95,50.67,82898
enchantress,-1.00,43.81,48154
venomancer,-1.09,55.36,88879
lich,-1.10,58.38,87259
skywrath-mage,-1.25,50.51,71237
phoenix,-1.35,55.11,55025
medusa,-1.41,55.41,112226
jakiro,-1.41,56.85,66309
viper,-1.43,52.65,115517
vengeful-spirit,-1.48,55.96,105939
meepo,-1.51,51.27,66586
ursa,-1.52,57.96,209672
broodmother,-1.54,43.27,36688
gyrocopter,-1.54,48.24,58366
earth-spirit,-1.57,45.64,30406
windranger,-1.66,48.78,166182
puck,-1.80,47.61,50851
razor,-1.92,49.10,96479
storm-spirit,-2.01,52.60,125495
dark-seer,-2.01,52.83,46647
slardar,-2.15,54.44,185538
queen-of-pain,-2.22,45.55,69335
batrider,-2.24,48.31,42136
kunkka,-2.25,51.33,182439
sniper,-2.48,54.60,378996
winter-wyvern,-2.50,49.21,47841
shadow-fiend,-2.79,50.67,125803
visage,-2.80,47.51,16299
leshrac,-2.90,48.66,28233
alchemist,-3.18,51.58,153212
ember-spirit,-3.33,44.41,77148
templar-assassin,-3.37,48.02,66314
lina,-3.67,46.98,109511
drow-ranger,-3.71,53.70,282959
huskar,-3.81,48.72,179168
invoker,-3.96,49.11,241776
outworld-devourer,-4.01,52.36,107053
death-prophet,-4.43,48.94,55246
tinker,-5.30,49.26,121373
arc-warden,-5.82,45.11,29765
