id,result,skill,1,2,3,4,5,6,7,8,9,10
2761900032,1,High,juggernaut,medusa,drow-ranger,alchemist,legion-commander,riki,axe,sven,sniper,slark
2761900093,0,High,sniper,night-stalker,shadow-shaman,arc-warden,faceless-void,warlock,terrorblade,pudge,phoenix,slardar
2761900142,0,High,tiny,wraith-king,slardar,outworld-devourer,crystal-maiden,lifestealer,ogre-magi,invoker,pudge,legion-commander
2761900184,1,High,queen-of-pain,slark,wraith-king,keeper-of-the-light,pudge,earthshaker,phantom-assassin,silencer,batrider,crystal-maiden
2761900187,1,High,shadow-fiend,ancient-apparition,io,silencer,clinkz,nyx-assassin,bloodseeker,huskar,pudge,oracle
2761900215,1,High,slardar,legion-commander,pudge,faceless-void,invoker,omniknight,phantom-assassin,morphling,spirit-breaker,venomancer
2761900228,0,High,slardar,slark,necrophos,skywrath-mage,riki,outworld-devourer,ogre-magi,axe,pudge,luna
2761900232,1,High,terrorblade,pugna,templar-assassin,beastmaster,dazzle,techies,drow-ranger,pudge,sven,doom
2761900276,0,High,skywrath-mage,centaur-warrunner,phoenix,legion-commander,huskar,shadow-fiend,riki,axe,necrophos,ursa
2761900279,1,High,slark,outworld-devourer,riki,ogre-magi,tiny,anti-mage,pudge,legion-commander,alchemist,sand-king
2761900295,1,High,natures-prophet,mirana,invoker,bounty-hunter,slark,drow-ranger,earthshaker,tinker,bristleback,phantom-assassin
2761900360,1,High,invoker,clinkz,sniper,natures-prophet,timbersaw,abaddon,nyx-assassin,zeus,morphling,spirit-breaker
2761900396,1,High,anti-mage,kunkka,crystal-maiden,mirana,invoker,slark,tidehunter,storm-spirit,dark-seer,bounty-hunter
2761900408,0,High,wraith-king,tiny,phantom-lancer,jakiro,storm-spirit,puck,gyrocopter,legion-commander,vengeful-spirit,sand-king
2761900426,1,High,phantom-assassin,slardar,wraith-king,huskar,magnus,enigma,storm-spirit,pudge,mirana,sand-king
2761900508,0,High,windranger,abaddon,puck,pudge,luna,natures-prophet,wraith-king,riki,phantom-assassin,sand-king
2761900513,1,High,faceless-void,invoker,bane,slark,rubick,juggernaut,timbersaw,huskar,axe,sand-king
2761900525,0,High,invoker,anti-mage,phantom-assassin,necrophos,ogre-magi,ember-spirit,disruptor,juggernaut,axe,viper
2761900537,0,High,lion,invoker,spectre,riki,pudge,axe,abaddon,phantom-lancer,legion-commander,anti-mage
2761900539,0,High,phantom-assassin,storm-spirit,omniknight,disruptor,timbersaw,ursa,skywrath-mage,earthshaker,tiny,bounty-hunter
2761900562,1,High,juggernaut,slardar,outworld-devourer,enigma,doom,mirana,dragon-knight,lifestealer,windranger,warlock
2761900574,0,High,clockwerk,terrorblade,invoker,legion-commander,juggernaut,slark,drow-ranger,kunkka,tinker,sand-king
2761900591,0,High,pudge,phantom-assassin,invoker,spirit-breaker,omniknight,alchemist,mirana,lion,rubick,necrophos
2761900608,0,High,witch-doctor,tiny,invoker,juggernaut,sand-king,anti-mage,pudge,clinkz,disruptor,storm-spirit
2761900612,0,High,lich,faceless-void,pudge,wraith-king,sven,juggernaut,sniper,witch-doctor,shadow-fiend,mirana
2761900637,1,High,jakiro,alchemist,slardar,phantom-assassin,legion-commander,pudge,rubick,gyrocopter,juggernaut,tiny
2761900642,0,High,necrophos,pudge,lich,wraith-king,sand-king,clockwerk,anti-mage,dazzle,death-prophet,witch-doctor
2761900662,1,High,sven,tinker,morphling,disruptor,bloodseeker,mirana,pudge,medusa,drow-ranger,bounty-hunter
2761900682,0,High,magnus,witch-doctor,spectre,crystal-maiden,timbersaw,bane,warlock,sven,meepo,naga-siren
2761900686,0,High,storm-spirit,drow-ranger,medusa,natures-prophet,bounty-hunter,mirana,jakiro,bane,axe,chen
2761900694,1,High,faceless-void,alchemist,anti-mage,disruptor,bristleback,invoker,wraith-king,bloodseeker,mirana,ogre-magi
2761900701,1,High,timbersaw,sven,bane,templar-assassin,bloodseeker,enigma,queen-of-pain,crystal-maiden,riki,slark
2761900714,1,High,timbersaw,necrophos,legion-commander,mirana,io,keeper-of-the-light,kunkka,morphling,slark,invoker
2761900730,1,High,mirana,phantom-assassin,timbersaw,medusa,bane,slark,tiny,slardar,lich,lion
2761900737,0,High,witch-doctor,outworld-devourer,slark,bounty-hunter,ursa,legion-commander,alchemist,timbersaw,pudge,ogre-magi
2761900767,0,High,kunkka,necrophos,riki,spirit-breaker,anti-mage,timbersaw,phantom-assassin,lone-druid,earthshaker,outworld-devourer
2761900795,0,High,lifestealer,phantom-assassin,mirana,sniper,tinker,necrophos,invoker,spirit-breaker,juggernaut,gyrocopter
2761900803,0,High,wraith-king,bristleback,luna,invoker,drow-ranger,juggernaut,alchemist,dazzle,slark,legion-commander
2761900852,1,High,ancient-apparition,nyx-assassin,invoker,anti-mage,bounty-hunter,meepo,bloodseeker,juggernaut,rubick,timbersaw
2761900853,0,High,keeper-of-the-light,mirana,doom,storm-spirit,slark,faceless-void,rubick,windranger,anti-mage,oracle
2761900892,1,High,timbersaw,ancient-apparition,anti-mage,phoenix,magnus,sand-king,phantom-assassin,nyx-assassin,crystal-maiden,axe
2761900896,0,High,io,clockwerk,undying,invoker,troll-warlord,kunkka,juggernaut,silencer,pudge,phantom-assassin
2761900920,1,High,shadow-fiend,magnus,legion-commander,slark,slardar,timbersaw,juggernaut,zeus,lycan,outworld-devourer
2761900980,1,High,crystal-maiden,timbersaw,drow-ranger,tinker,mirana,silencer,invoker,arc-warden,vengeful-spirit,slark
2761900997,0,High,tiny,venomancer,weaver,phantom-assassin,skywrath-mage,tidehunter,natures-prophet,ember-spirit,crystal-maiden,wraith-king
2761901044,1,High,windranger,bounty-hunter,lina,abaddon,treant-protector,juggernaut,pudge,necrophos,night-stalker,axe
2761901048,1,High,legion-commander,sven,juggernaut,rubick,winter-wyvern,morphling,bane,sniper,clinkz,pudge
2761901059,0,High,invoker,crystal-maiden,slark,pudge,axe,keeper-of-the-light,sand-king,storm-spirit,bristleback,phantom-assassin
2761901084,1,High,razor,enchantress,lion,nyx-assassin,luna,juggernaut,ember-spirit,shadow-shaman,weaver,wraith-king
2761901113,1,High,tinker,vengeful-spirit,alchemist,legion-commander,sand-king,morphling,juggernaut,nyx-assassin,ancient-apparition,pudge
2761901130,1,High,morphling,bounty-hunter,spirit-breaker,windranger,gyrocopter,phantom-assassin,storm-spirit,lina,silencer,sand-king
2761901154,0,High,ursa,tusk,chen,legion-commander,zeus,sand-king,storm-spirit,juggernaut,drow-ranger,pugna
2761901156,1,High,templar-assassin,oracle,clinkz,earthshaker,phoenix,witch-doctor,pudge,drow-ranger,venomancer,mirana
2761901209,0,High,pudge,venomancer,chaos-knight,oracle,outworld-devourer,rubick,lion,wraith-king,sniper,timbersaw
2761901264,1,High,phantom-lancer,mirana,viper,underlord,lion,slardar,spectre,sand-king,arc-warden,rubick
2761901266,0,High,skywrath-mage,wraith-king,treant-protector,earth-spirit,mirana,tinker,magnus,terrorblade,legion-commander,spectre
2761901282,0,High,ogre-magi,necrophos,abaddon,phantom-assassin,invoker,juggernaut,centaur-warrunner,keeper-of-the-light,silencer,storm-spirit
2761901300,0,High,keeper-of-the-light,spectre,storm-spirit,pudge,dark-seer,drow-ranger,shadow-fiend,shadow-shaman,silencer,juggernaut
2761901313,0,High,lifestealer,zeus,slark,keeper-of-the-light,spectre,phantom-assassin,venomancer,anti-mage,invoker,silencer
2761901333,0,High,queen-of-pain,drow-ranger,underlord,mirana,alchemist,invoker,phantom-assassin,legion-commander,crystal-maiden,bounty-hunter
2761901349,1,High,silencer,sand-king,viper,phantom-assassin,drow-ranger,bounty-hunter,ember-spirit,venomancer,zeus,lich
2761901350,0,High,storm-spirit,chaos-knight,nyx-assassin,juggernaut,wraith-king,legion-commander,axe,leshrac,vengeful-spirit,ursa
2761901374,1,High,invoker,enigma,batrider,kunkka,wraith-king,juggernaut,legion-commander,shadow-fiend,jakiro,bristleback
2761901385,0,High,legion-commander,centaur-warrunner,faceless-void,vengeful-spirit,outworld-devourer,spectre,shadow-fiend,enchantress,nyx-assassin,abaddon
2761901426,1,High,timbersaw,drow-ranger,wraith-king,morphling,lifestealer,invoker,legion-commander,magnus,anti-mage,pudge
2761901436,0,High,legion-commander,slark,bloodseeker,troll-warlord,tiny,luna,faceless-void,pudge,dazzle,mirana
2761901478,1,High,juggernaut,spirit-breaker,medusa,necrophos,alchemist,sven,zeus,bane,pudge,tinker
2761901482,1,High,batrider,phantom-assassin,shadow-demon,ember-spirit,riki,omniknight,legion-commander,slark,vengeful-spirit,zeus
2761901529,0,High,tiny,winter-wyvern,elder-titan,sand-king,juggernaut,tinker,morphling,phantom-assassin,natures-prophet,slardar
2761901555,0,High,elder-titan,spectre,undying,windranger,silencer,sand-king,storm-spirit,natures-prophet,drow-ranger,lina
2761901574,1,High,juggernaut,rubick,timbersaw,legion-commander,storm-spirit,ursa,shadow-demon,invoker,nyx-assassin,pudge
2761901610,1,High,silencer,mirana,omniknight,juggernaut,chen,morphling,drow-ranger,ogre-magi,legion-commander,timbersaw
2761901643,0,High,timbersaw,spectre,lich,keeper-of-the-light,faceless-void,outworld-devourer,pudge,earthshaker,lifestealer,slark
2761901706,0,High,treant-protector,legion-commander,lifestealer,witch-doctor,zeus,shadow-shaman,slark,phantom-assassin,riki,ursa
2761901776,0,High,pudge,skywrath-mage,drow-ranger,tusk,meepo,tinker,axe,phantom-lancer,legion-commander,lich
2761901778,1,High,templar-assassin,axe,nyx-assassin,venomancer,drow-ranger,timbersaw,mirana,centaur-warrunner,bloodseeker,outworld-devourer
2761901782,0,High,disruptor,doom,luna,skywrath-mage,riki,storm-spirit,crystal-maiden,sniper,drow-ranger,underlord
2761901827,0,High,techies,slark,meepo,sven,bloodseeker,puck,alchemist,ursa,gyrocopter,medusa
2761901848,1,High,lifestealer,sniper,medusa,bloodseeker,queen-of-pain,morphling,juggernaut,shadow-shaman,anti-mage,puck
2761901869,0,High,timbersaw,ogre-magi,tiny,mirana,lifestealer,keeper-of-the-light,morphling,silencer,alchemist,axe
2761901909,0,High,axe,underlord,elder-titan,anti-mage,necrophos,witch-doctor,legion-commander,tinker,slark,tidehunter
2761901958,1,High,bloodseeker,juggernaut,weaver,timbersaw,batrider,shadow-demon,tiny,anti-mage,riki,puck
2761902013,1,High,pudge,phantom-assassin,winter-wyvern,sniper,natures-prophet,invoker,juggernaut,ogre-magi,faceless-void,lion
2761902036,1,High,skywrath-mage,juggernaut,alchemist,luna,sand-king,legion-commander,mirana,morphling,meepo,crystal-maiden
2761902149,0,High,underlord,dazzle,shadow-fiend,ursa,silencer,chaos-knight,clockwerk,bounty-hunter,undying,storm-spirit
2761902168,0,High,earthshaker,slark,pudge,invoker,silencer,mirana,phantom-assassin,windranger,ursa,meepo
2761902170,0,High,ogre-magi,slark,venomancer,storm-spirit,nyx-assassin,broodmother,viper,wraith-king,centaur-warrunner,juggernaut
2761902193,1,High,vengeful-spirit,mirana,legion-commander,phantom-assassin,earthshaker,lich,magnus,luna,jakiro,medusa
2761902196,1,High,keeper-of-the-light,storm-spirit,sven,dark-seer,phantom-assassin,anti-mage,clockwerk,riki,warlock,slardar
2761902211,0,High,tidehunter,omniknight,gyrocopter,legion-commander,death-prophet,enigma,sniper,slardar,luna,bane
2761902212,0,High,dazzle,juggernaut,doom,windranger,huskar,legion-commander,lion,mirana,slark,pudge
2761902231,1,High,rubick,tinker,tiny,phantom-assassin,silencer,bounty-hunter,kunkka,omniknight,spectre,morphling
2761902244,1,High,bloodseeker,dazzle,anti-mage,lifestealer,necrophos,legion-commander,sniper,axe,pudge,storm-spirit
2761902271,1,High,sven,spirit-breaker,slark,morphling,lifestealer,phantom-assassin,riki,enigma,anti-mage,omniknight
2761902281,0,High,wraith-king,slark,shadow-fiend,witch-doctor,meepo,sven,phantom-assassin,naga-siren,alchemist,anti-mage
2761902313,1,High,shadow-fiend,outworld-devourer,phantom-assassin,ember-spirit,earthshaker,riki,centaur-warrunner,juggernaut,dazzle,tinker
2761902325,1,High,slark,natures-prophet,sven,necrophos,invoker,timbersaw,lion,pudge,omniknight,alchemist
2761902352,1,High,lion,drow-ranger,tinker,omniknight,windranger,invoker,morphling,phantom-assassin,wraith-king,rubick
2761902429,0,High,kunkka,legion-commander,lina,troll-warlord,timbersaw,earthshaker,juggernaut,mirana,beastmaster,ancient-apparition
2761902431,0,High,faceless-void,anti-mage,shadow-fiend,earthshaker,sand-king,sven,zeus,mirana,spectre,shadow-demon
2761902459,0,High,queen-of-pain,chaos-knight,clinkz,crystal-maiden,phoenix,natures-prophet,viper,riki,broodmother,shadow-demon
2761902498,0,High,outworld-devourer,slark,legion-commander,sven,pudge,axe,queen-of-pain,kunkka,medusa,riki
2761902547,1,High,tinker,clockwerk,drow-ranger,natures-prophet,nyx-assassin,storm-spirit,spectre,rubick,tiny,silencer
2761902565,0,High,bounty-hunter,faceless-void,juggernaut,tinker,bloodseeker,slark,legion-commander,shadow-fiend,lina,pudge
2761902574,0,High,magnus,dazzle,templar-assassin,phantom-assassin,axe,lina,nyx-assassin,pudge,rubick,slark
2761902660,0,High,queen-of-pain,earth-spirit,anti-mage,rubick,sand-king,juggernaut,phantom-assassin,bloodseeker,faceless-void,invoker
2761902681,1,High,magnus,enigma,necrophos,legion-commander,sniper,spectre,shadow-demon,puck,sand-king,ogre-magi
2761902700,0,High,slark,jakiro,underlord,storm-spirit,vengeful-spirit,invoker,lich,faceless-void,shadow-shaman,morphling
2761902757,1,High,enigma,clockwerk,storm-spirit,keeper-of-the-light,razor,drow-ranger,chen,bloodseeker,mirana,timbersaw
2761902766,0,High,pudge,spectre,shadow-fiend,shadow-shaman,razor,clinkz,juggernaut,tinker,sniper,tidehunter
2761902789,0,High,chaos-knight,naga-siren,dragon-knight,bounty-hunter,techies,lion,morphling,rubick,shadow-fiend,tidehunter
2761902842,0,High,ogre-magi,ancient-apparition,tinker,juggernaut,mirana,silencer,night-stalker,morphling,faceless-void,spectre
2761902843,1,High,ogre-magi,pudge,undying,anti-mage,mirana,crystal-maiden,lina,terrorblade,axe,faceless-void
2761902866,1,High,necrophos,spectre,ancient-apparition,batrider,phantom-assassin,lifestealer,enigma,mirana,luna,drow-ranger
2761902869,0,High,templar-assassin,phantom-assassin,storm-spirit,legion-commander,rubick,juggernaut,vengeful-spirit,slardar,mirana,tinker
2761902881,0,High,silencer,kunkka,tiny,phantom-assassin,lina,invoker,pudge,mirana,spectre,lion
2761902884,0,High,dark-seer,puck,pudge,legion-commander,anti-mage,invoker,sniper,ogre-magi,phantom-assassin,clinkz
2761902907,0,High,sven,bane,shadow-fiend,kunkka,pudge,sniper,witch-doctor,juggernaut,tinker,centaur-warrunner
2761902920,1,High,slark,omniknight,juggernaut,tinker,lifestealer,mirana,bloodseeker,clockwerk,zeus,phantom-assassin
2761902938,1,High,lion,sand-king,alchemist,legion-commander,outworld-devourer,invoker,pudge,slark,lina,nyx-assassin
2761902940,0,High,tinker,sven,riki,kunkka,timbersaw,meepo,necrophos,juggernaut,axe,nyx-assassin
2761902973,1,High,sven,invoker,windranger,clockwerk,slardar,riki,faceless-void,drow-ranger,wraith-king,tinker
2761902982,0,High,bloodseeker,axe,shadow-shaman,windranger,pudge,slark,legion-commander,storm-spirit,underlord,necrophos
2761903002,1,High,pudge,riki,natures-prophet,storm-spirit,anti-mage,timbersaw,vengeful-spirit,morphling,bloodseeker,omniknight
2761903004,0,High,storm-spirit,timbersaw,spectre,keeper-of-the-light,mirana,queen-of-pain,lifestealer,skywrath-mage,magnus,slark
2761903017,0,High,morphling,ursa,axe,phoenix,clockwerk,bane,clinkz,tiny,juggernaut,pudge
2761903037,1,High,techies,clinkz,invoker,huskar,pudge,alchemist,tusk,earth-spirit,slardar,slark
2761903052,1,High,invoker,slark,naga-siren,kunkka,lion,centaur-warrunner,rubick,zeus,sven,sand-king
2761903084,1,High,chaos-knight,faceless-void,spirit-breaker,bane,juggernaut,riki,wraith-king,lich,night-stalker,storm-spirit
2761903139,1,High,faceless-void,lone-druid,slardar,silencer,zeus,alchemist,axe,omniknight,mirana,morphling
2761903145,0,High,bane,huskar,kunkka,tinker,ursa,pudge,drow-ranger,phoenix,windranger,zeus
2761903160,0,High,storm-spirit,rubick,bounty-hunter,spectre,ember-spirit,timbersaw,zeus,faceless-void,venomancer,lion
2761903163,1,High,luna,ogre-magi,ancient-apparition,kunkka,invoker,shadow-fiend,beastmaster,legion-commander,sven,silencer
2761903175,1,High,legion-commander,razor,abaddon,phantom-assassin,sniper,meepo,queen-of-pain,axe,anti-mage,ogre-magi
2761903188,1,High,disruptor,tinker,drow-ranger,wraith-king,sniper,invoker,necrophos,dragon-knight,juggernaut,troll-warlord
2761903195,0,High,templar-assassin,shadow-shaman,juggernaut,axe,slardar,kunkka,shadow-fiend,ancient-apparition,ogre-magi,slark
2761903204,0,High,ogre-magi,invoker,slark,legion-commander,riki,sand-king,outworld-devourer,slardar,sven,io
2761903207,0,High,pudge,natures-prophet,lion,arc-warden,ursa,dazzle,shadow-fiend,lich,axe,alchemist
2761903316,1,High,juggernaut,storm-spirit,weaver,sven,legion-commander,kunkka,ursa,mirana,drow-ranger,invoker
2761903325,0,High,rubick,pudge,medusa,faceless-void,zeus,oracle,invoker,sven,slark,crystal-maiden
2761903360,1,High,invoker,juggernaut,clinkz,mirana,lion,drow-ranger,windranger,skywrath-mage,sand-king,wraith-king
2761903371,1,High,lich,juggernaut,clinkz,storm-spirit,treant-protector,drow-ranger,earth-spirit,viper,vengeful-spirit,pudge
2761903427,0,High,crystal-maiden,timbersaw,witch-doctor,phantom-assassin,lycan,omniknight,juggernaut,spirit-breaker,skywrath-mage,storm-spirit
2761903472,0,High,storm-spirit,silencer,axe,slark,juggernaut,lion,anti-mage,slardar,dazzle,invoker
2761903498,0,High,spectre,shadow-demon,kunkka,pudge,alchemist,juggernaut,invoker,sven,storm-spirit,mirana
2761903516,0,High,doom,sniper,phantom-assassin,kunkka,earthshaker,pudge,storm-spirit,slark,riki,legion-commander
2761903521,0,High,meepo,disruptor,riki,faceless-void,razor,slark,medusa,rubick,kunkka,shadow-fiend
2761903555,0,High,wraith-king,shadow-shaman,omniknight,tinker,undying,puck,mirana,bristleback,rubick,spectre
2761903560,0,High,mirana,pudge,queen-of-pain,slark,spirit-breaker,tinker,anti-mage,warlock,brewmaster,visage
2761903575,0,High,ogre-magi,timbersaw,crystal-maiden,luna,mirana,death-prophet,legion-commander,pudge,viper,axe
2761903607,0,High,enigma,meepo,ancient-apparition,shadow-fiend,ember-spirit,legion-commander,rubick,invoker,morphling,alchemist
2761903640,0,High,invoker,naga-siren,dazzle,timbersaw,phantom-assassin,ogre-magi,medusa,bounty-hunter,bane,lifestealer
2761903653,1,High,crystal-maiden,anti-mage,drow-ranger,silencer,mirana,abaddon,wraith-king,slark,kunkka,outworld-devourer
2761903654,1,High,wraith-king,tiny,alchemist,legion-commander,skywrath-mage,invoker,axe,lifestealer,morphling,shadow-fiend
2761903699,0,High,mirana,invoker,pudge,spirit-breaker,batrider,sand-king,puck,morphling,drow-ranger,earthshaker
2761903721,0,High,kunkka,storm-spirit,centaur-warrunner,tusk,ursa,phantom-assassin,pudge,tiny,crystal-maiden,morphling
2761903728,0,High,ogre-magi,vengeful-spirit,faceless-void,luna,pugna,invoker,bristleback,sand-king,riki,sniper
2761903744,0,High,rubick,legion-commander,spirit-breaker,slark,shadow-fiend,medusa,earth-spirit,sven,necrophos,magnus
2761903768,1,High,pudge,enchantress,faceless-void,mirana,drow-ranger,centaur-warrunner,lifestealer,lich,slardar,gyrocopter
2761903798,1,High,wraith-king,alchemist,venomancer,crystal-maiden,enigma,spirit-breaker,ember-spirit,pudge,ursa,ancient-apparition
2761903813,1,High,nyx-assassin,bloodseeker,dragon-knight,oracle,sven,queen-of-pain,pudge,ursa,chaos-knight,medusa
2761903820,1,High,invoker,dazzle,mirana,alchemist,templar-assassin,juggernaut,bounty-hunter,outworld-devourer,sniper,night-stalker
2761903823,0,High,legion-commander,juggernaut,kunkka,centaur-warrunner,morphling,templar-assassin,invoker,troll-warlord,earthshaker,enigma
2761903824,0,High,ursa,razor,pudge,timbersaw,dazzle,juggernaut,faceless-void,legion-commander,invoker,troll-warlord
2761903851,0,High,magnus,slark,silencer,legion-commander,shadow-fiend,phantom-assassin,earthshaker,tusk,drow-ranger,queen-of-pain
2761903879,0,High,invoker,faceless-void,luna,earthshaker,warlock,outworld-devourer,crystal-maiden,ursa,nyx-assassin,rubick
2761903883,0,High,spectre,ember-spirit,lion,ursa,slardar,mirana,juggernaut,ogre-magi,drow-ranger,silencer
2761903888,0,High,invoker,natures-prophet,lycan,underlord,pudge,tidehunter,alchemist,skywrath-mage,slark,shadow-fiend
2761903892,1,High,necrophos,anti-mage,clinkz,faceless-void,storm-spirit,nyx-assassin,silencer,luna,queen-of-pain,bristleback
2761903912,0,High,phantom-assassin,jakiro,anti-mage,winter-wyvern,undying,alchemist,juggernaut,ancient-apparition,batrider,nyx-assassin
2761903921,0,High,legion-commander,phantom-assassin,shadow-fiend,phoenix,mirana,juggernaut,bounty-hunter,huskar,dazzle,tinker
2761903937,1,High,lina,riki,slark,outworld-devourer,tinker,disruptor,abaddon,alchemist,spirit-breaker,bristleback
2761903940,0,High,sniper,wraith-king,silencer,juggernaut,lich,storm-spirit,pudge,axe,kunkka,bloodseeker
