id,result,skill,1,2,3,4,5,6,7,8,9,10
2761927242,1,Normal,meepo,anti-mage,weaver,phantom-assassin,troll-warlord,legion-commander,kunkka,abaddon,bloodseeker,enigma
2761927243,1,High,axe,alchemist,omniknight,bloodseeker,slark,wraith-king,sand-king,necrophos,timbersaw,ember-spirit
2761927244,1,Very High,jakiro,sand-king,phantom-assassin,lion,storm-spirit,timbersaw,alchemist,night-stalker,disruptor,terrorblade
2761927251,1,Normal,jakiro,timbersaw,slark,alchemist,bristleback,lion,ursa,spirit-breaker,mirana,sniper
2761927252,0,Normal,sven,luna,jakiro,juggernaut,legion-commander,sand-king,invoker,phantom-assassin,keeper-of-the-light,mirana
2761927253,0,Normal,legion-commander,juggernaut,venomancer,tiny,sand-king,bristleback,phantom-assassin,sniper,bounty-hunter,outworld-devourer
2761927256,1,Normal,lifestealer,techies,medusa,dazzle,huskar,juggernaut,centaur-warrunner,omniknight,warlock,crystal-maiden
2761927257,0,Normal,mirana,axe,outworld-devourer,legion-commander,juggernaut,alchemist,phantom-lancer,timbersaw,kunkka,invoker
2761927259,0,Normal,witch-doctor,shadow-shaman,windranger,phantom-assassin,dazzle,skywrath-mage,natures-prophet,shadow-fiend,queen-of-pain,timbersaw
2761927260,0,Normal,windranger,zeus,juggernaut,axe,winter-wyvern,lina,mirana,pudge,phantom-assassin,lion
2761927271,0,Very High,spirit-breaker,timbersaw,storm-spirit,drow-ranger,earthshaker,silencer,tinker,slark,ursa,weaver
2761927272,0,High,sven,dazzle,invoker,shadow-shaman,ursa,silencer,slark,axe,meepo,timbersaw
2761927275,1,Very High,abaddon,mirana,lion,rubick,ember-spirit,sven,dazzle,legion-commander,pudge,storm-spirit
2761927276,1,High,mirana,phantom-assassin,timbersaw,ogre-magi,legion-commander,huskar,spirit-breaker,lina,storm-spirit,invoker
2761927277,0,Normal,pudge,bristleback,witch-doctor,drow-ranger,earthshaker,anti-mage,batrider,tidehunter,meepo,tinker
2761927278,1,Normal,juggernaut,keeper-of-the-light,windranger,axe,dark-seer,pudge,sven,ogre-magi,ursa,bloodseeker
2761927279,0,High,kunkka,pudge,bounty-hunter,phantom-assassin,pugna,invoker,mirana,witch-doctor,axe,drow-ranger
2761927285,1,Very High,troll-warlord,arc-warden,invoker,phantom-assassin,slardar,disruptor,tinker,pudge,wraith-king,clinkz
