id,result,skill,1,2,3,4,5,6,7,8,9,10
2761900001,0,Normal,juggernaut,shadow-fiend,mirana,shadow-demon,phantom-assassin,witch-doctor,sniper,invoker,medusa,anti-mage
2761900002,0,Normal,anti-mage,sniper,zeus,magnus,troll-warlord,pudge,necrophos,earthshaker,dragon-knight,juggernaut
2761900006,1,Normal,timbersaw,drow-ranger,lich,shadow-fiend,legion-commander,terrorblade,wraith-king,warlock,magnus,outworld-devourer
2761900008,1,Normal,shadow-demon,pudge,anti-mage,witch-doctor,ursa,necrophos,windranger,crystal-maiden,phantom-assassin,elder-titan
2761900009,1,Normal,bounty-hunter,drow-ranger,juggernaut,arc-warden,nyx-assassin,slardar,tiny,spectre,mirana,riki
2761900010,0,Normal,axe,shadow-shaman,juggernaut,lich,pudge,drow-ranger,timbersaw,doom,alchemist,viper
2761900011,1,Normal,elder-titan,faceless-void,sniper,pudge,invoker,tiny,spectre,medusa,legion-commander,bounty-hunter
2761900013,0,Normal,omniknight,bloodseeker,juggernaut,phantom-assassin,slardar,pudge,clockwerk,nyx-assassin,anti-mage,mirana
2761900022,0,Normal,viper,dazzle,phantom-assassin,slardar,natures-prophet,mirana,legion-commander,pudge,zeus,juggernaut
2761900027,0,Normal,shadow-shaman,lion,centaur-warrunner,medusa,alchemist,witch-doctor,phantom-lancer,lone-druid,kunkka,spirit-breaker
2761900028,1,Normal,mirana,clinkz,legion-commander,necrophos,razor,silencer,keeper-of-the-light,dragon-knight,pudge,shadow-shaman
2761900029,0,Normal,weaver,underlord,lion,tinker,spectre,nyx-assassin,alchemist,wraith-king,rubick,pudge
2761900031,0,Normal,legion-commander,phantom-assassin,pudge,tiny,juggernaut,axe,silencer,mirana,morphling,sniper
2761900034,1,Normal,bloodseeker,sniper,ursa,alchemist,shadow-demon,anti-mage,dazzle,viper,morphling,witch-doctor
2761900045,1,Normal,windranger,sven,riki,phantom-assassin,phantom-lancer,bloodseeker,mirana,juggernaut,sniper,chaos-knight
2761900048,1,Normal,gyrocopter,night-stalker,alchemist,spirit-breaker,wraith-king,sven,elder-titan,death-prophet,juggernaut,vengeful-spirit
2761900049,1,Normal,outworld-devourer,axe,riki,templar-assassin,pudge,legion-commander,ancient-apparition,chaos-knight,slardar,tinker
2761900050,1,Normal,phantom-assassin,necrophos,shadow-shaman,mirana,riki,anti-mage,pudge,juggernaut,legion-commander,lina
2761900053,1,Normal,faceless-void,axe,bloodseeker,ogre-magi,sven,huskar,phantom-assassin,sniper,skywrath-mage,earthshaker
2761900068,0,Normal,alchemist,slardar,vengeful-spirit,pudge,techies,phantom-assassin,windranger,sniper,anti-mage,omniknight
2761900069,1,Normal,lina,huskar,timbersaw,pugna,tinker,alchemist,death-prophet,earthshaker,riki,legion-commander
2761900071,1,Normal,timbersaw,morphling,faceless-void,bounty-hunter,bloodseeker,anti-mage,earthshaker,abaddon,zeus,sand-king
2761900072,1,Normal,bounty-hunter,axe,anti-mage,meepo,mirana,dragon-knight,legion-commander,earthshaker,phantom-assassin,natures-prophet
2761900073,1,Normal,outworld-devourer,slardar,slark,timbersaw,phantom-assassin,centaur-warrunner,dragon-knight,bristleback,beastmaster,huskar
2761900074,1,Normal,lifestealer,timbersaw,shadow-shaman,weaver,jakiro,ursa,kunkka,razor,phantom-lancer,anti-mage
2761900075,1,Normal,slark,anti-mage,sand-king,sniper,legion-commander,pudge,slardar,juggernaut,kunkka,ancient-apparition
