id,result,skill,1,2,3,4,5,6,7,8,9,10
2761900047,1,Very High,ogre-magi,viper,axe,bloodseeker,invoker,outworld-devourer,dark-seer,bounty-hunter,riki,juggernaut
2761900051,0,Very High,underlord,tiny,venomancer,ancient-apparition,phantom-lancer,chaos-knight,riki,morphling,disruptor,abaddon
2761900067,1,Very High,lina,queen-of-pain,outworld-devourer,omniknight,brewmaster,dazzle,tinker,weaver,ogre-magi,treant-protector
2761900088,0,Very High,morphling,warlock,invoker,disruptor,faceless-void,nyx-assassin,juggernaut,pudge,dark-seer,storm-spirit
2761900092,1,Very High,lycan,invoker,mirana,kunkka,razor,tiny,phantom-assassin,legion-commander,bane,puck
2761900121,1,Very High,slark,bounty-hunter,lone-druid,rubick,mirana,omniknight,shadow-shaman,doom,silencer,riki
2761900137,0,Very High,huskar,drow-ranger,naga-siren,luna,magnus,juggernaut,visage,invoker,crystal-maiden,slark
2761900204,1,Very High,bounty-hunter,anti-mage,sniper,shadow-demon,axe,queen-of-pain,ogre-magi,sven,winter-wyvern,abaddon
2761900214,1,Very High,bloodseeker,tiny,vengeful-spirit,axe,wraith-king,invoker,spirit-breaker,lion,kunkka,faceless-void
2761900219,1,Very High,bane,slark,vengeful-spirit,pudge,lifestealer,anti-mage,juggernaut,troll-warlord,invoker,phoenix
2761900250,0,Very High,ogre-magi,juggernaut,timbersaw,tiny,io,tinker,omniknight,earthshaker,sand-king,outworld-devourer
2761900256,1,Very High,earthshaker,winter-wyvern,sand-king,alchemist,slark,necrophos,sven,huskar,rubick,invoker
2761900262,1,Very High,anti-mage,nyx-assassin,mirana,axe,invoker,batrider,ogre-magi,sven,tinker,enigma
2761900313,1,Very High,legion-commander,crystal-maiden,pudge,sven,axe,juggernaut,bane,ursa,clockwerk,mirana
2761900347,0,Very High,kunkka,axe,ursa,zeus,juggernaut,underlord,wraith-king,centaur-warrunner,venomancer,alchemist
2761900353,0,Very High,ogre-magi,tinker,slark,dark-seer,techies,omniknight,morphling,mirana,disruptor,templar-assassin
2761900409,0,Very High,phantom-assassin,witch-doctor,dragon-knight,slark,omniknight,pudge,luna,underlord,oracle,riki
2761900425,0,Very High,timbersaw,sniper,lion,sven,pudge,bloodseeker,faceless-void,alchemist,ancient-apparition,spectre
2761900455,0,Very High,bloodseeker,pudge,phantom-assassin,sand-king,windranger,bounty-hunter,silencer,bristleback,anti-mage,legion-commander
2761900458,0,Very High,sniper,sven,lion,juggernaut,phantom-assassin,clinkz,meepo,legion-commander,dazzle,outworld-devourer
2761900484,0,Very High,luna,axe,windranger,shadow-demon,storm-spirit,ursa,mirana,wraith-king,pudge,templar-assassin
2761900487,0,Very High,tinker,phoenix,chaos-knight,slark,necrophos,riki,mirana,sven,timbersaw,undying
2761900494,0,Very High,slark,invoker,shadow-shaman,pudge,windranger,storm-spirit,wraith-king,oracle,riki,brewmaster
2761900505,1,Very High,invoker,slark,windranger,anti-mage,juggernaut,sven,ember-spirit,timbersaw,zeus,pudge
2761900559,1,Very High,outworld-devourer,earthshaker,legion-commander,dark-seer,drow-ranger,lycan,nyx-assassin,storm-spirit,undying,batrider
2761900561,0,Very High,pudge,outworld-devourer,kunkka,lina,faceless-void,lifestealer,witch-doctor,mirana,earthshaker,riki
2761900568,1,Very High,anti-mage,silencer,ogre-magi,timbersaw,invoker,pudge,juggernaut,axe,sand-king,tinker
2761900577,0,Very High,techies,faceless-void,necrophos,morphling,lion,axe,luna,crystal-maiden,bloodseeker,zeus
2761900621,0,Very High,invoker,slark,pudge,juggernaut,crystal-maiden,sven,windranger,lina,bounty-hunter,rubick
2761900627,1,Very High,outworld-devourer,kunkka,morphling,omniknight,faceless-void,ogre-magi,juggernaut,nyx-assassin,invoker,keeper-of-the-light
