id,result,skill,1,2,3,4,5,6,7,8,9,10
2759627619,0,Normal,bloodseeker,anti-mage,clockwerk,kunkka,mirana,sand-king,phantom-assassin,enigma,rubick,tinker
2759627622,1,Normal,slark,ogre-magi,kunkka,invoker,riki,elder-titan,lina,shadow-shaman,death-prophet,sand-king
2759627624,0,High,invoker,weaver,morphling,necrophos,legion-commander,doom,mirana,anti-mage,silencer,puck
2759627625,0,Normal,juggernaut,spirit-breaker,templar-assassin,phantom-assassin,slardar,zeus,mirana,spectre,sven,huskar
2759627626,0,Normal,riki,disruptor,elder-titan,wraith-king,lifestealer,vengeful-spirit,sven,pudge,nyx-assassin,ember-spirit
2759627627,1,Very High,spectre,natures-prophet,batrider,alchemist,pudge,sniper,nyx-assassin,morphling,necrophos,storm-spirit
2759627628,0,Normal,underlord,phantom-lancer,windranger,vengeful-spirit,medusa,puck,phantom-assassin,gyrocopter,lifestealer,sniper
2759627629,0,Very High,pudge,drow-ranger,puck,vengeful-spirit,sven,phantom-assassin,pugna,legion-commander,sniper,axe
2759627631,1,Unknown,phantom-assassin,tiny,mirana,lifestealer,dazzle,drow-ranger,ogre-magi,timbersaw,sniper,spectre
2759627632,0,Normal,invoker,morphling,slark,chen,crystal-maiden,tiny,viper,necrophos,winter-wyvern,mirana
2759627633,1,Unknown,earthshaker,magnus,lina,razor,ursa,sniper,phantom-assassin,legion-commander,huskar,lifestealer
2759627634,0,Normal,anti-mage,bane,drow-ranger,outworld-devourer,tidehunter,storm-spirit,windranger,spirit-breaker,techies,spectre
2759627637,0,Very High,bloodseeker,chaos-knight,dragon-knight,treant-protector,disruptor,meepo,lone-druid,sniper,spirit-breaker,lich
2759627651,0,Normal,axe,enchantress,omniknight,spectre,viper,sniper,phantom-assassin,huskar,dazzle,sand-king
2759627652,0,High,nyx-assassin,necrophos,troll-warlord,sven,ogre-magi,legion-commander,clockwerk,storm-spirit,underlord,anti-mage
2759627653,0,Normal,legion-commander,faceless-void,pugna,weaver,jakiro,slark,axe,tinker,elder-titan,abaddon
2759627655,0,Very High,invoker,lifestealer,pudge,tidehunter,warlock,lion,dragon-knight,outworld-devourer,bloodseeker,naga-siren
2759627656,1,Normal,alchemist,lifestealer,chen,sniper,windranger,mirana,clinkz,witch-doctor,morphling,bane
2759627657,1,Normal,jakiro,spectre,invoker,bristleback,enigma,drow-ranger,pudge,phantom-assassin,silencer,rubick
2759627658,1,High,storm-spirit,sniper,vengeful-spirit,ember-spirit,lycan,skywrath-mage,rubick,wraith-king,anti-mage,pudge
2759627660,1,Normal,legion-commander,templar-assassin,death-prophet,bounty-hunter,bloodseeker,pudge,viper,troll-warlord,axe,phantom-assassin
2759627661,0,High,abaddon,vengeful-spirit,puck,wraith-king,tinker,pudge,pudge,alchemist,slardar,rubick
2759627662,0,Normal,sniper,skywrath-mage,legion-commander,sven,riki,pudge,tinker,nyx-assassin,slark,faceless-void
2759627665,0,Normal,omniknight,kunkka,morphling,storm-spirit,drow-ranger,ember-spirit,shadow-fiend,sniper,legion-commander,chaos-knight
2759627666,0,Normal,invoker,legion-commander,windranger,sand-king,juggernaut,ember-spirit,drow-ranger,sniper,dazzle,slark
2759627675,0,Normal,drow-ranger,juggernaut,axe,riki,morphling,storm-spirit,timbersaw,huskar,spirit-breaker,zeus
2759627676,0,Normal,crystal-maiden,shadow-fiend,anti-mage,clockwerk,earthshaker,sven,tinker,winter-wyvern,ursa,weaver
2759627677,1,Normal,viper,pudge,lich,kunkka,legion-commander,axe,medusa,drow-ranger,clinkz,keeper-of-the-light
2759627678,0,High,timbersaw,terrorblade,disruptor,brewmaster,windranger,troll-warlord,phantom-assassin,skywrath-mage,treant-protector,bloodseeker
2759627679,0,High,shadow-fiend,pudge,morphling,legion-commander,storm-spirit,timbersaw,spirit-breaker,earthshaker,invoker,crystal-maiden
2759627681,0,Normal,lifestealer,spirit-breaker,morphling,dark-seer,omniknight,magnus,axe,earthshaker,queen-of-pain,slark
2759627683,0,Normal,phoenix,bristleback,tinker,phantom-lancer,juggernaut,phantom-assassin,pudge,spirit-breaker,silencer,abaddon
2759627684,1,Normal,lifestealer,riki,sniper,timbersaw,storm-spirit,wraith-king,nyx-assassin,legion-commander,morphling,windranger
2759627685,0,Unknown,sniper,phantom-assassin,sven,bounty-hunter,legion-commander,riki,faceless-void,huskar,spectre,ursa
2759627686,0,Normal,phantom-assassin,anti-mage,sniper,pudge,slardar,alchemist,bloodseeker,axe,juggernaut,tinker
2759627687,1,Normal,drow-ranger,invoker,phoenix,treant-protector,mirana,clockwerk,templar-assassin,bane,undying,morphling
2759627688,1,Normal,tusk,phantom-assassin,timbersaw,zeus,ursa,anti-mage,riki,bloodseeker,dazzle,magnus
2759627690,0,Normal,slardar,lion,legion-commander,invoker,chaos-knight,lifestealer,medusa,clinkz,necrophos,luna
2759627691,0,Normal,phantom-assassin,pudge,pudge,winter-wyvern,outworld-devourer,windranger,omniknight,juggernaut,lycan,shadow-shaman
2759627692,0,Very High,sven,zeus,riki,pudge,storm-spirit,anti-mage,tinker,rubick,puck,lion
2759627695,0,Normal,ursa,shadow-fiend,phantom-lancer,shadow-demon,phantom-assassin,dragon-knight,legion-commander,axe,omniknight,earthshaker
2759627696,1,Normal,zeus,legion-commander,juggernaut,ursa,phantom-assassin,phantom-lancer,luna,bounty-hunter,wraith-king,arc-warden
2759627698,1,Normal,outworld-devourer,spectre,axe,morphling,lion,slark,sniper,treant-protector,bloodseeker,oracle
2759627712,1,Normal,tinker,mirana,phantom-assassin,lion,wraith-king,sniper,spirit-breaker,dragon-knight,keeper-of-the-light,legion-commander
2759627714,1,Normal,tidehunter,crystal-maiden,brewmaster,techies,weaver,clinkz,abaddon,sven,drow-ranger,troll-warlord
2759627715,0,Normal,legion-commander,faceless-void,riki,silencer,sniper,storm-spirit,zeus,lion,spirit-breaker,templar-assassin
2759627716,1,Normal,omniknight,juggernaut,anti-mage,puck,keeper-of-the-light,axe,storm-spirit,phantom-assassin,venomancer,natures-prophet
2759627718,0,Normal,riki,windranger,anti-mage,troll-warlord,weaver,alchemist,legion-commander,pudge,kunkka,bristleback
2759627719,0,Normal,disruptor,slardar,juggernaut,gyrocopter,alchemist,shadow-fiend,riki,mirana,drow-ranger,enchantress
2759627721,0,Normal,earthshaker,morphling,shadow-fiend,outworld-devourer,pudge,sniper,lion,drow-ranger,invoker,sand-king
2759627722,1,Normal,pudge,warlock,alchemist,juggernaut,sniper,sven,faceless-void,queen-of-pain,winter-wyvern,chaos-knight
2759627723,1,Normal,wraith-king,morphling,chen,centaur-warrunner,clockwerk,shadow-shaman,outworld-devourer,lifestealer,timbersaw,mirana
2759627724,0,Normal,pudge,axe,winter-wyvern,huskar,legion-commander,slardar,mirana,juggernaut,ogre-magi,night-stalker
2759627728,0,Normal,phantom-assassin,sniper,morphling,juggernaut,bristleback,sven,viper,lina,huskar,timbersaw
2759627729,1,Normal,shadow-shaman,medusa,juggernaut,sniper,legion-commander,abaddon,pudge,mirana,phantom-assassin,sand-king
2759627732,0,Unknown,mirana,phantom-assassin,slark,pudge,rubick,lifestealer,zeus,legion-commander,vengeful-spirit,sniper
2759627735,1,Normal,visage,crystal-maiden,slark,nyx-assassin,ursa,silencer,jakiro,ember-spirit,wraith-king,tidehunter
2759627737,0,Unknown,razor,anti-mage,phantom-assassin,juggernaut,huskar,ursa,troll-warlord,sven,viper,axe
2759627738,1,Normal,crystal-maiden,wraith-king,riki,legion-commander,phantom-lancer,winter-wyvern,sniper,huskar,axe,rubick
2759627739,1,Normal,lone-druid,windranger,bounty-hunter,clinkz,queen-of-pain,legion-commander,juggernaut,phantom-assassin,riki,sniper
2759627751,0,Normal,slark,phantom-assassin,legion-commander,spirit-breaker,alchemist,tinker,shadow-shaman,wraith-king,ursa,viper
2759627752,0,High,ursa,pudge,legion-commander,keeper-of-the-light,morphling,storm-spirit,mirana,techies,timbersaw,lifestealer
2759627754,1,High,storm-spirit,anti-mage,keeper-of-the-light,earthshaker,treant-protector,bloodseeker,phantom-assassin,pudge,mirana,kunkka
2759627755,0,Normal,luna,pudge,pudge,slardar,chaos-knight,bounty-hunter,death-prophet,lina,brewmaster,dragon-knight
2759627756,0,High,wraith-king,zeus,phantom-assassin,pugna,pudge,shadow-fiend,mirana,troll-warlord,clockwerk,phoenix
2759627761,1,Normal,juggernaut,pudge,shadow-shaman,anti-mage,riki,outworld-devourer,slardar,terrorblade,phantom-assassin,enigma
2759627762,0,Normal,anti-mage,windranger,timbersaw,sand-king,venomancer,sniper,faceless-void,riki,viper,luna
2759627766,0,High,tinker,drow-ranger,rubick,pudge,legion-commander,lifestealer,ogre-magi,clockwerk,puck,juggernaut
2759627767,1,Normal,ancient-apparition,lina,chen,slark,clinkz,drow-ranger,sniper,mirana,meepo,crystal-maiden
2759627768,0,Normal,templar-assassin,spirit-breaker,techies,morphling,legion-commander,pudge,sven,phantom-assassin,doom,sniper
2759627769,1,Normal,ogre-magi,lifestealer,axe,sniper,troll-warlord,pudge,tiny,phantom-assassin,omniknight,necrophos
2759627775,0,Normal,lion,spirit-breaker,kunkka,magnus,alchemist,warlock,anti-mage,storm-spirit,sand-king,axe
2759627776,0,Normal,alchemist,gyrocopter,lifestealer,ogre-magi,broodmother,night-stalker,vengeful-spirit,necrophos,kunkka,razor
2759627777,0,Normal,legion-commander,earthshaker,slark,phantom-assassin,rubick,pudge,axe,invoker,juggernaut,natures-prophet
2759627779,0,Normal,invoker,legion-commander,necrophos,tiny,faceless-void,ancient-apparition,keeper-of-the-light,phantom-assassin,witch-doctor,chaos-knight
2759627781,0,Normal,necrophos,earthshaker,juggernaut,anti-mage,pudge,mirana,legion-commander,slark,drow-ranger,centaur-warrunner
2759627782,0,Very High,bounty-hunter,morphling,pudge,kunkka,tiny,dazzle,mirana,slark,sniper,axe
2759627783,1,Normal,phantom-assassin,alchemist,death-prophet,troll-warlord,axe,juggernaut,spectre,chaos-knight,legion-commander,shadow-shaman
2759627784,0,Normal,pudge,enigma,spectre,omniknight,pugna,legion-commander,phoenix,phantom-assassin,windranger,wraith-king
2759627785,1,Unknown,sniper,anti-mage,phantom-lancer,mirana,shadow-shaman,shadow-fiend,weaver,bloodseeker,wraith-king,sven
2759627786,1,Unknown,keeper-of-the-light,legion-commander,phantom-assassin,sniper,medusa,huskar,necrophos,mirana,dragon-knight,puck
2759627787,1,Normal,sniper,pudge,sven,juggernaut,death-prophet,tidehunter,alchemist,axe,weaver,clockwerk
2759627789,1,High,juggernaut,underlord,ursa,alchemist,earthshaker,slark,sand-king,doom,kunkka,drow-ranger
2759627790,0,Normal,night-stalker,chaos-knight,shadow-fiend,phantom-lancer,spirit-breaker,juggernaut,lion,pudge,sniper,undying
2759627810,0,Very High,sven,pugna,invoker,legion-commander,legion-commander,axe,lion,tiny,bounty-hunter,templar-assassin
2759627811,1,High,spectre,earthshaker,clinkz,mirana,disruptor,omniknight,pudge,bloodseeker,zeus,juggernaut
2759627813,0,Normal,phantom-assassin,bounty-hunter,storm-spirit,slark,earthshaker,wraith-king,jakiro,drow-ranger,clinkz,lina
2759627814,0,Normal,riki,wraith-king,death-prophet,pudge,underlord,bristleback,phantom-assassin,axe,tiny,juggernaut
2759627815,0,Normal,sven,legion-commander,keeper-of-the-light,slardar,mirana,drow-ranger,lion,lifestealer,anti-mage,chaos-knight
2759627818,0,Normal,pudge,lich,medusa,tinker,faceless-void,legion-commander,zeus,windranger,batrider,templar-assassin
2759627819,1,Normal,phantom-assassin,invoker,weaver,slark,disruptor,outworld-devourer,pudge,omniknight,legion-commander,shadow-demon
2759627820,1,Normal,slark,dazzle,clockwerk,drow-ranger,lycan,kunkka,skywrath-mage,dragon-knight,faceless-void,alchemist
2759627835,0,Very High,necrophos,tidehunter,juggernaut,outworld-devourer,riki,faceless-void,pudge,batrider,axe,natures-prophet
2759627836,0,High,clinkz,spirit-breaker,storm-spirit,spectre,lich,kunkka,natures-prophet,lifestealer,shadow-demon,legion-commander
2759627837,0,Normal,treant-protector,invoker,enchantress,omniknight,huskar,death-prophet,sniper,spirit-breaker,earthshaker,juggernaut
2759627838,1,High,elder-titan,phantom-assassin,kunkka,nyx-assassin,pudge,beastmaster,shadow-fiend,viper,riki,phoenix
2759627839,1,Unknown,zeus,mirana,alchemist,lifestealer,pudge,wraith-king,storm-spirit,timbersaw,keeper-of-the-light,natures-prophet
2759627841,0,Normal,razor,sniper,kunkka,juggernaut,silencer,pudge,bane,necrophos,slark,mirana
2759627842,1,Normal,batrider,ember-spirit,bounty-hunter,spectre,disruptor,underlord,storm-spirit,legion-commander,anti-mage,necrophos
2759627845,1,High,juggernaut,invoker,rubick,magnus,nyx-assassin,zeus,axe,sniper,underlord,anti-mage
2759627849,1,Normal,legion-commander,ursa,zeus,puck,sven,bloodseeker,timbersaw,slark,axe,shadow-shaman
2759627850,1,Normal,sniper,windranger,storm-spirit,terrorblade,troll-warlord,spectre,slark,shadow-fiend,lich,bounty-hunter
2759627851,0,Very High,riki,ursa,shadow-fiend,earthshaker,morphling,legion-commander,bounty-hunter,alchemist,bloodseeker,meepo
2759627862,1,Normal,pudge,phantom-assassin,earthshaker,spirit-breaker,riki,juggernaut,shadow-fiend,axe,storm-spirit,vengeful-spirit
2759627863,1,Normal,sniper,treant-protector,legion-commander,naga-siren,shadow-fiend,medusa,tidehunter,drow-ranger,pudge,templar-assassin
2759627864,1,Very High,kunkka,shadow-demon,legion-commander,sand-king,luna,invoker,nyx-assassin,slark,centaur-warrunner,enigma
2759627865,1,Normal,death-prophet,pudge,axe,lina,ursa,shadow-shaman,centaur-warrunner,legion-commander,invoker,disruptor
2759627866,0,Normal,spirit-breaker,sven,mirana,sniper,sand-king,natures-prophet,tusk,treant-protector,vengeful-spirit,viper
2759627867,0,High,bloodseeker,spirit-breaker,juggernaut,tinker,dazzle,phantom-assassin,ogre-magi,invoker,magnus,pudge
2759627869,1,Normal,beastmaster,silencer,pudge,riki,troll-warlord,weaver,natures-prophet,invoker,slark,spirit-breaker
2759627870,0,Normal,timbersaw,morphling,doom,invoker,pudge,disruptor,axe,phantom-assassin,mirana,spirit-breaker
2759627872,0,Normal,dazzle,sven,mirana,axe,elder-titan,venomancer,legion-commander,naga-siren,wraith-king,alchemist
2759627873,0,High,slark,pudge,spirit-breaker,lina,lich,bloodseeker,clockwerk,sniper,timbersaw,queen-of-pain
2759627874,0,Normal,techies,bloodseeker,morphling,drow-ranger,anti-mage,windranger,invoker,clinkz,zeus,bristleback
2759627893,0,Normal,legion-commander,sniper,dragon-knight,phantom-assassin,slark,pudge,faceless-void,natures-prophet,huskar,bristleback
2759627894,1,Normal,spectre,omniknight,pudge,storm-spirit,lina,phantom-assassin,kunkka,jakiro,shadow-shaman,legion-commander
2759627898,1,Normal,slark,sniper,lina,legion-commander,timbersaw,shadow-shaman,phantom-assassin,necrophos,mirana,pudge
2759627899,1,Normal,storm-spirit,lion,morphling,sniper,riki,pudge,shadow-fiend,ursa,tiny,drow-ranger
2759627900,0,Normal,lifestealer,anti-mage,sand-king,pugna,windranger,storm-spirit,ogre-magi,magnus,slark,weaver
2759627901,1,Normal,lich,invoker,sven,slark,silencer,chaos-knight,axe,phantom-assassin,dark-seer,omniknight
2759627902,0,Normal,tusk,pugna,necrophos,sniper,phantom-assassin,outworld-devourer,sven,shadow-fiend,ogre-magi,tidehunter
2759627903,0,Normal,ogre-magi,outworld-devourer,rubick,broodmother,ember-spirit,tinker,timbersaw,omniknight,kunkka,crystal-maiden
2759627905,0,Normal,slark,lifestealer,phantom-assassin,disruptor,lich,axe,ursa,slardar,shadow-fiend,clinkz
2759627906,1,Normal,sniper,queen-of-pain,anti-mage,dazzle,phantom-assassin,troll-warlord,legion-commander,wraith-king,riki,spectre
2759627907,0,Normal,zeus,bloodseeker,spectre,kunkka,drow-ranger,lycan,spirit-breaker,huskar,phantom-assassin,sniper
2759627908,1,Normal,slardar,pudge,slark,troll-warlord,riki,luna,alchemist,bloodseeker,elder-titan,lifestealer
2759627910,1,Normal,zeus,mirana,natures-prophet,dark-seer,tiny,venomancer,sven,slardar,clinkz,keeper-of-the-light
2759627927,1,Unknown,razor,terrorblade,pudge,slark,lion,shadow-fiend,dragon-knight,skywrath-mage,ursa,zeus
2759627929,1,Normal,natures-prophet,omniknight,broodmother,sniper,legion-commander,witch-doctor,alchemist,bounty-hunter,axe,legion-commander
2759627931,0,Normal,storm-spirit,wraith-king,timbersaw,shadow-shaman,spirit-breaker,lifestealer,phantom-assassin,rubick,natures-prophet,luna
2759627932,1,Normal,pudge,invoker,bounty-hunter,bane,mirana,shadow-fiend,legion-commander,chaos-knight,sven,sniper
2759627933,0,Normal,pudge,lion,slark,lich,sniper,legion-commander,razor,bloodseeker,anti-mage,witch-doctor
2759627934,0,Normal,zeus,riki,sand-king,viper,anti-mage,tidehunter,slark,lion,legion-commander,outworld-devourer
2759627935,1,Very High,natures-prophet,pudge,pudge,rubick,juggernaut,invoker,doom,morphling,magnus,bounty-hunter
2759627938,1,Normal,morphling,treant-protector,broodmother,slark,witch-doctor,riki,zeus,anti-mage,ogre-magi,alchemist
2759627944,0,Normal,bristleback,sniper,slark,pudge,dazzle,omniknight,outworld-devourer,dragon-knight,weaver,tinker
2759627945,1,Very High,mirana,ogre-magi,invoker,morphling,natures-prophet,juggernaut,ursa,pudge,kunkka,ancient-apparition
2759627947,1,Normal,windranger,techies,omniknight,pudge,axe,legion-commander,bloodseeker,warlock,night-stalker,phantom-assassin
2759627949,0,Normal,pudge,juggernaut,rubick,viper,phantom-assassin,kunkka,sand-king,dark-seer,alchemist,spectre
2759627950,0,Normal,silencer,tidehunter,sniper,clinkz,omniknight,anti-mage,lifestealer,ursa,nyx-assassin,lion
2759627962,1,High,juggernaut,pudge,magnus,ursa,lion,sniper,weaver,mirana,shadow-demon,kunkka
2759627963,0,Very High,pudge,phoenix,spirit-breaker,juggernaut,tinker,crystal-maiden,lion,clockwerk,venomancer,spectre
2759627966,1,High,invoker,slardar,axe,juggernaut,sniper,pudge,slark,windranger,lion,riki
2759627969,0,Normal,drow-ranger,invoker,sven,sand-king,magnus,anti-mage,storm-spirit,pudge,mirana,lina
2759627972,1,Very High,slark,phantom-assassin,pugna,juggernaut,wraith-king,shadow-fiend,bloodseeker,mirana,bristleback,earth-spirit
2759627973,0,Very High,crystal-maiden,centaur-warrunner,invoker,pudge,pudge,abaddon,kunkka,naga-siren,weaver,phoenix
2759627977,0,High,medusa,timbersaw,pudge,pudge,bloodseeker,underlord,elder-titan,rubick,kunkka,slark
2759627978,1,Normal,windranger,juggernaut,tinker,natures-prophet,lone-druid,lich,dazzle,axe,bristleback,phantom-assassin
2759627979,0,Unknown,phantom-assassin,chaos-knight,silencer,techies,legion-commander,sniper,troll-warlord,bloodseeker,huskar,drow-ranger
2759628000,1,Normal,pudge,phantom-lancer,sniper,anti-mage,legion-commander,phantom-assassin,windranger,wraith-king,spirit-breaker,slark
2759628003,0,Normal,omniknight,sniper,spectre,storm-spirit,wraith-king,razor,pudge,bristleback,phantom-assassin,legion-commander
2759628006,1,Normal,pudge,crystal-maiden,chaos-knight,night-stalker,spirit-breaker,huskar,sniper,luna,phantom-assassin,elder-titan
2759628007,1,Normal,drow-ranger,tinker,sven,doom,earthshaker,crystal-maiden,chaos-knight,invoker,legion-commander,morphling
2759628008,0,Normal,riki,bounty-hunter,terrorblade,invoker,techies,shadow-fiend,faceless-void,phantom-assassin,morphling,ursa
2759628011,0,Normal,skywrath-mage,rubick,sven,riki,magnus,enigma,death-prophet,ursa,outworld-devourer,ogre-magi
2759628012,1,Normal,juggernaut,keeper-of-the-light,timbersaw,razor,nyx-assassin,bane,invoker,legion-commander,pudge,spectre
2759628024,0,Unknown,viper,alchemist,lich,legion-commander,sniper,bloodseeker,weaver,juggernaut,timbersaw,pudge
2759628025,0,Unknown,sven,lone-druid,bloodseeker,razor,viper,ursa,huskar,pudge,phantom-assassin,zeus
